symbol,known_at,effective_from,effective_to,sector,industry,subindustry,taxonomy_version,source,quality_flag
0GUSDT,2026-06-28T00:00:00Z,2025-09-17T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000BONKUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000FLOKIUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000LUNCUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000PEPEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000RATSUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000SATSUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1000SHIBUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
1MBABYDOGEUSDT,2026-06-28T00:00:00Z,2024-09-16T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
2ZUSDT,2026-06-28T00:00:00Z,2025-10-02T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
4USDT,2026-06-28T00:00:00Z,2025-10-08T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AAVEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ACHUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ACTUSDT,2026-06-28T00:00:00Z,2024-11-11T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ADAUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AERGOUSDT,2026-06-28T00:00:00Z,2024-09-10T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AEVOUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AGLDUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AIGENSYNUSDT,2026-06-28T00:00:00Z,2026-04-29T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AIOTUSDT,2026-06-28T00:00:00Z,2025-04-30T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AIXBTUSDT,2026-06-28T00:00:00Z,2024-12-20T19:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ALCHUSDT,2026-06-28T00:00:00Z,2025-01-07T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ALGOUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ALLOUSDT,2026-06-28T00:00:00Z,2025-11-11T15:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ALPINEUSDT,2026-06-28T00:00:00Z,2025-05-06T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ANIMEUSDT,2026-06-28T00:00:00Z,2025-01-23T18:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
APEUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
API3USDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
APTUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ARBUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ARCUSDT,2026-06-28T00:00:00Z,2025-01-17T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ARIAUSDT,2026-06-28T00:00:00Z,2025-09-03T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ARKUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ARUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ASTERUSDT,2026-06-28T00:00:00Z,2025-09-19T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
ATUSDT,2026-06-28T00:00:00Z,2025-10-29T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AUCTIONUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AVAXUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AVNTUSDT,2026-06-28T00:00:00Z,2025-09-09T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AXSUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
AZTECUSDT,2026-06-28T00:00:00Z,2026-02-11T05:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BABYUSDT,2026-06-28T00:00:00Z,2025-04-05T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BANANAS31USDT,2026-06-28T00:00:00Z,2025-03-22T10:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BARDUSDT,2026-06-28T00:00:00Z,2025-09-18T12:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BASEDUSDT,2026-06-28T00:00:00Z,2026-03-30T11:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BASUSDT,2026-06-28T00:00:00Z,2025-08-26T14:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BBUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BCHUSDT,2026-06-28T00:00:00Z,2024-06-01T01:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BEATUSDT,2026-06-28T00:00:00Z,2025-11-12T13:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
BERAUSDT,2026-06-28T00:00:00Z,2025-02-06T16:00:00Z,,,,,reviewed_v1,manual_review,REVIEW
