check_id,check_name,status,notes
E01,signal-walkthrough.html exists,PASS,
E02,signal_walkthrough.json exists,PASS,
E03,signal_walkthrough.md exists,PASS,
E04,timestamp documented,PASS,2026-06-13 08:00:00 UTC
E05,long-side symbol shown,PASS,BCHUSDT
E06,short-side symbol shown,PASS,HUSDT
E07,neutral symbol shown,PASS,DOGEUSDT
E08,all 6 core factors shown,PASS,vol_5h/40h/downside_vol/vol_of_vol/rsi_7h/rsi_28h
E09,risk_pressure_component shown,PASS,
E10,oscillator_exhaustion_component shown,PASS,
E11,raw_core_score shown,PASS,0.60*risk+0.40*osc
E12,signal_v0_core_only shown,PASS,z-score values shown
E13,paper weight shown,PASS,+0.0625/-0.0625
E14,formulas link to factor-formula-cards,PASS,all href links present
E15,no real execution,PASS,
E16,no alpha claim,PASS,
E17,no production claim,PASS,
E18,phase13 not started,PASS,NOT STARTED in doc
E19,no research results changed,PASS,
E20,index.html links to walkthrough,PASS,
