check_id,check_name,status,notes
G01,factor-library-operating-manual.html exists,PASS,
G02,universe-data-contract.html exists,PASS,
G03,label-horizon-contract.html exists,PASS,
G04,signal-panel-explainer.html exists,PASS,
G05,signal-evaluation-protocol.html exists,PASS,
G06,cost-liquidity-vs-backtest.html exists,PASS,
G07,paper-monitoring-explainer.html exists,PASS,
G08,deployment-model.html exists,PASS,
G09,master-factor-registry.html exists,PASS,
G10,index.html links to all new pages,PASS,10-step reading path
G11,Phase numbers paired with readable explanations,PASS,
G12,survivorship bias NOT PASS,PASS,corrected to PARTIAL
G13,factor-level ICIR NOT_COMPUTED,PASS,
G14,no fabricated metrics,PASS,
G15,no real execution,PASS,
G16,no alpha claim,PASS,
G17,no production claim,PASS,
G18,phase13 not started,PASS,
G19,trust-metrics-checklist survivorship fixed,PASS,PASS→PARTIAL
G20,9 JSON files created,PASS,
G21,9 MD files created,PASS,
