entry_mode,exit_config,market_cost_bps,mean_total_return,median_total_return,positive_asset_ratio,mean_trades,mean_win_rate,confirmed_at_close_ratio,preview_only_ratio,mean_lead_minutes,mean_delay_penalty_bps,median_delay_penalty_bps,mean_delay_pct_of_tp175,max_delay_pct_of_tp175
official_close,atr_tp1.25_sl1.00_to120,10.0,0.15419585978596861,0.14239583447385873,1.0,79.88888888888889,0.677017021630483,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,atr_tp1.25_sl1.00_to120,10.0,0.43395434406532574,0.37797439455847015,1.0,81.94444444444444,0.8631938508135214,0.8508474576271187,0.14915254237288136,9.242711864406779,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,atr_tp1.25_sl1.00_to120,10.0,0.4058889500185525,0.35254286849152094,1.0,81.88888888888889,0.8482112351871535,0.8507462686567164,0.14925373134328357,9.23134328358209,4.4933596418061885,1.8943079508870753,4.6291207369606715,939.4610258882952
official_close,atr_tp1.50_sl0.75_to120,10.0,0.12871711579010306,0.11778911296656913,0.8888888888888888,80.77777777777777,0.5658913282621982,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,atr_tp1.50_sl0.75_to120,10.0,0.41767090803807455,0.35106506139052573,1.0,84.27777777777777,0.7601129053763539,0.8523401450230719,0.14765985497692816,9.251153592617007,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,atr_tp1.50_sl0.75_to120,10.0,0.38288470807201763,0.3207151736941306,1.0,84.05555555555556,0.7391715160242418,0.8512888301387971,0.14871116986120292,9.253139458030404,4.595905625859669,2.11014982063773,4.712456156434911,939.4610258882952
official_close,atr_tp1.50_sl1.00_to120,10.0,0.14692589620965968,0.13240707182860256,0.8888888888888888,79.61111111111111,0.6173116212585195,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,atr_tp1.50_sl1.00_to120,10.0,0.4473857854221156,0.379178152674696,1.0,81.44444444444444,0.8088124981595691,0.849931787175989,0.15006821282401092,9.231923601637108,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,atr_tp1.50_sl1.00_to120,10.0,0.4294056271226639,0.3821006352562123,1.0,81.33333333333333,0.7948374133491317,0.8510928961748634,0.1489071038251366,9.217213114754099,4.563351749484357,2.0330642195143245,4.682773870223089,939.4610258882952
official_close,atr_tp1.75_sl1.00_to120,10.0,0.16123645155636224,0.14036760631037304,0.8888888888888888,79.44444444444444,0.590099790660802,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,atr_tp1.75_sl1.00_to120,10.0,0.4816435875062306,0.40248057236785806,1.0,81.27777777777777,0.7773038443349936,0.849624060150376,0.15037593984962405,9.227614490772385,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,atr_tp1.75_sl1.00_to120,10.0,0.45961287384974825,0.40012561764852184,1.0,80.83333333333333,0.7563155376274759,0.8494845360824742,0.15051546391752577,9.20893470790378,4.558932686194366,1.9513464290366045,4.672043988362952,939.4610258882952
official_close,atr_tp2.00_sl1.00_to120,10.0,0.16486594654043682,0.17503457273154877,0.9444444444444444,79.22222222222223,0.5565686517778343,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,atr_tp2.00_sl1.00_to120,10.0,0.5006287558349223,0.41348505363187704,1.0,80.94444444444444,0.7466199734840379,0.848318462594372,0.151681537405628,9.220315717227178,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,atr_tp2.00_sl1.00_to120,10.0,0.45014488776249834,0.4006979099557293,1.0,80.5,0.7227944669291326,0.8488612836438924,0.15113871635610765,9.197377501725327,4.6075167648013124,1.9513464290366045,4.713090719412638,939.4610258882952
official_close,fixed_hold_120m,10.0,0.14806724875078695,0.08223175637663005,0.9444444444444444,74.44444444444444,0.5335674640362149,1.0,0.0,0.0,0.0,0.0,0.0,0.0
preview_unclosed15m,fixed_hold_120m,10.0,0.530721955414951,0.4054032070904766,1.0,74.77777777777777,0.7005727357763842,0.8462109955423477,0.1537890044576523,9.144130757800891,0.0,0.0,0.0,0.0
preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.46766680625829427,0.388946675176162,1.0,74.77777777777777,0.6745304255299639,0.8462109955423477,0.1537890044576523,9.144130757800891,4.515527614663549,1.873912400415234,4.561186655736823,939.4610258882952
