asset,symbol,bucket_start,live_preview_ts,live_preview_dir,live_signal_price,live_fast_slope,live_slow_slope,live_prev15_close,live_prev15_fast,offline_preview_ts,offline_preview_dir,offline_signal_price,preview_atr14,preview_slope_strength,offline_fast_slope,offline_slow_slope,status
PIPPIN-USD,PIPPINUSDT,2026-03-24T17:00:00Z,2026-03-24T17:02:00Z,long,0.0815,0.000670773684489312,0.0002762009289074552,0.08093,0.08093,2026-03-24T17:02:00Z,long,0.0815,,0.0009469746133967671,0.000670773684489312,0.0002762009289074552,match
PIPPIN-USD,PIPPINUSDT,2026-03-24T17:30:00Z,2026-03-24T17:44:00Z,short,0.08057,-0.0004236465375720977,-0.00017444269194155648,0.0816,0.08099380952380952,2026-03-24T17:44:00Z,short,0.08057,,0.0005980892295136542,-0.0004236465375720977,-0.00017444269194155648,match
PIPPIN-USD,PIPPINUSDT,2026-03-24T20:30:00Z,2026-03-24T20:41:00Z,short,0.08017,-0.0005678092563370374,-0.00030996538109961946,0.08087,0.0806717124552013,2026-03-24T20:41:00Z,short,0.08017,0.0011464285714285721,0.0008777746374366568,-0.0005678092563370374,-0.00030996538109961946,match
PIPPIN-USD,PIPPINUSDT,2026-03-25T01:45:00Z,2026-03-25T01:54:00Z,short,0.07981,-0.0006102446524808292,-0.0003982123987908981,0.08096,0.08038519205515708,2026-03-25T01:54:00Z,short,0.07981,0.0010485714285714254,0.0010084570512717272,-0.0006102446524808292,-0.0003982123987908981,match
PIPPIN-USD,PIPPINUSDT,2026-03-25T02:15:00Z,2026-03-25T02:21:00Z,short,0.0798,-0.0005912762183110098,-0.0003921479782970083,0.08071,0.08033771344672942,2026-03-25T02:21:00Z,short,0.0798,0.001108571428571427,0.0009834241966080182,-0.0005912762183110098,-0.0003921479782970083,match
PIPPIN-USD,PIPPINUSDT,2026-03-25T04:30:00Z,2026-03-25T04:43:00Z,short,0.07999,-0.0004988335918749698,-0.0003109100928487818,0.08116,0.0804824906208461,2026-03-25T04:43:00Z,short,0.07999,0.0011114285714285718,0.0008097436847237516,-0.0004988335918749698,-0.0003109100928487818,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T07:30:00Z,2026-03-26T07:43:00Z,short,0.05815,-0.0007936608592347127,-0.005306495923476762,0.05989,0.05875783678677988,2026-03-26T07:43:00Z,short,0.05815,0.0021,0.0061001567827114744,-0.0007936608592347127,-0.005306495923476762,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T12:00:00Z,2026-03-26T12:09:00Z,short,0.05769,-0.0008834374217930874,-0.004672114738507704,0.05884,0.05828822938404882,2026-03-26T12:09:00Z,short,0.05769,0.0019485714285714295,0.005555552160300792,-0.0008834374217930874,-0.004672114738507704,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T12:45:00Z,2026-03-26T12:49:00Z,short,0.05787,-0.0005890391134739659,-0.004564334484105204,0.05833,0.058239657955477385,2026-03-26T12:49:00Z,short,0.05787,0.001745,0.0051533735975791695,-0.0005890391134739659,-0.004564334484105204,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T13:00:00Z,2026-03-26T13:03:00Z,short,0.05801,-0.0004127706629836192,-0.004335922181150198,0.05857,0.05829179937468362,2026-03-26T13:03:00Z,short,0.05801,0.0016421428571428574,0.004748692844133817,-0.0004127706629836192,-0.004335922181150198,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T13:45:00Z,2026-03-26T13:54:00Z,short,0.05782,-0.000723351798465055,-0.004450163780490568,0.06045,0.05847084699373124,2026-03-26T13:54:00Z,short,0.05782,0.0017942857142857146,0.005173515578955623,-0.000723351798465055,-0.004450163780490568,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T15:00:00Z,2026-03-26T15:07:00Z,short,0.05757,-0.0010523877066077603,-0.0043021054208450815,0.05858,0.058248188215039035,2026-03-26T15:07:00Z,short,0.05757,0.0020771428571428577,0.005354493127452842,-0.0010523877066077603,-0.0043021054208450815,match
PIPPIN-USD,PIPPINUSDT,2026-03-26T17:00:00Z,2026-03-26T17:03:00Z,short,0.05766,-0.000936145638104624,-0.0039813306296376805,0.05858,0.0582655020902938,2026-03-26T17:03:00Z,short,0.05766,0.0021800000000000005,0.0049174762677423045,-0.000936145638104624,-0.0039813306296376805,match
PIPPIN-USD,PIPPINUSDT,2026-03-27T08:15:00Z,2026-03-27T08:18:00Z,short,0.05402,-0.0010724033528941579,-0.0036178275485629907,0.05487,0.054657566665385515,2026-03-27T08:18:00Z,short,0.05402,0.001480000000000001,0.004690230901457149,-0.0010724033528941579,-0.0036178275485629907,match
