asset,official_close_fixed_hold_corrected,preview_unclosed15m_fixed_hold_corrected,delta_preview_minus_official
AAVE-USD,0.401055489892143,0.9917376554838417,0.5906821655916987
ADA-USD,0.03570521582594588,0.3266330913920632,0.2909278755661173
AVAX-USD,0.056140182915527914,0.40116944598233495,0.34502926306680703
BCH-USD,0.07255469534288017,0.38909248715610345,0.3165377918132233
BNB-USD,0.08162079038105508,0.24460881612200636,0.16298802574095128
BTC-USD,0.05088697488239635,0.20064725368999747,0.14976027880760112
DOGE-USD,0.15620074657485028,0.47807289910520323,0.32187215253035295
DOT-USD,0.008073948193364267,0.467835452670319,0.45976150447695474
ETH-USD,0.11685125603688151,0.3697892830870144,0.2529380270501329
LINK-USD,0.05923234028246882,0.4096369681986183,0.35040462791614946
LTC-USD,0.056918831454616514,0.351415799472663,0.2944969680180465
NEAR-USD,0.18841608384683917,0.6946957555530873,0.5062796717062481
SOL-USD,0.48671253697841,0.864247355158255,0.377534818179845
SUI-USD,0.14666050025190103,0.6504399122559998,0.5037794120040988
UNI-USD,-0.007302331027233655,0.3213260499367787,0.32862838096401237
WLD-USD,0.19434799214502796,0.8582767296610709,0.663928737516043
XRP-USD,0.08284272237220502,0.3230900626752511,0.24024734030304606
ZEC-USD,0.4782925011648864,1.2102801798685117,0.7319876787036252
