asset,mode,market_cost_bps,asset_return,trades,win_rate,active
BTC-USD,clean_baseline_fixed_hold,6.0,0.08856762721652589,44,0.5,1
BTC-USD,clean_baseline_fixed_hold,10.0,0.05088697488239635,44,0.4772727272727273,1
BTC-USD,clean_baseline_fixed_hold,15.0,0.005595070070438579,44,0.45454545454545453,1
BTC-USD,clean_baseline_fixed_hold,20.0,-0.037766043733064136,44,0.4318181818181818,1
ETH-USD,clean_baseline_fixed_hold,6.0,0.17181259771323076,60,0.5833333333333334,1
ETH-USD,clean_baseline_fixed_hold,10.0,0.11685125603688151,60,0.55,1
ETH-USD,clean_baseline_fixed_hold,15.0,0.051731919322156816,60,0.5166666666666667,1
ETH-USD,clean_baseline_fixed_hold,20.0,-0.009620358431006837,60,0.45,1
SOL-USD,clean_baseline_fixed_hold,6.0,0.5661321255336995,65,0.5384615384615384,1
SOL-USD,clean_baseline_fixed_hold,10.0,0.48671253697841,65,0.5076923076923077,1
SOL-USD,clean_baseline_fixed_hold,15.0,0.39303661341216056,65,0.47692307692307695,1
SOL-USD,clean_baseline_fixed_hold,20.0,0.30522054635775553,65,0.46153846153846156,1
LTC-USD,clean_baseline_fixed_hold,6.0,0.11605647562423349,68,0.5882352941176471,1
LTC-USD,clean_baseline_fixed_hold,10.0,0.056918831454616514,68,0.5,1
LTC-USD,clean_baseline_fixed_hold,15.0,-0.012646547053608903,68,0.5,1
LTC-USD,clean_baseline_fixed_hold,20.0,-0.07766465364894326,68,0.4264705882352941,1
NEAR-USD,clean_baseline_fixed_hold,6.0,0.27358156712195547,88,0.6022727272727273,1
NEAR-USD,clean_baseline_fixed_hold,10.0,0.18693778062375044,88,0.6022727272727273,1
NEAR-USD,clean_baseline_fixed_hold,15.0,0.08683147291939686,88,0.5227272727272727,1
NEAR-USD,clean_baseline_fixed_hold,20.0,-0.004875788969951778,88,0.4772727272727273,1
UNI-USD,clean_baseline_fixed_hold,6.0,0.0731147580734246,91,0.5054945054945055,1
UNI-USD,clean_baseline_fixed_hold,10.0,-0.002290252359195888,91,0.4945054945054945,1
UNI-USD,clean_baseline_fixed_hold,15.0,-0.08917707348575032,91,0.3956043956043956,1
UNI-USD,clean_baseline_fixed_hold,20.0,-0.16853519166083863,91,0.37362637362637363,1
XRP-USD,clean_baseline_fixed_hold,6.0,0.121423611875765,56,0.44642857142857145,1
XRP-USD,clean_baseline_fixed_hold,10.0,0.07225412440628642,56,0.4107142857142857,1
XRP-USD,clean_baseline_fixed_hold,15.0,0.013787180648652475,56,0.4107142857142857,1
XRP-USD,clean_baseline_fixed_hold,20.0,-0.04151864681620987,56,0.39285714285714285,1
DOGE-USD,clean_baseline_fixed_hold,6.0,0.2228500587428739,70,0.5285714285714286,1
DOGE-USD,clean_baseline_fixed_hold,10.0,0.15620074657485028,70,0.4857142857142857,1
DOGE-USD,clean_baseline_fixed_hold,15.0,0.07793998716592898,70,0.45714285714285713,1
DOGE-USD,clean_baseline_fixed_hold,20.0,0.004941252107254712,70,0.45714285714285713,1
BNB-USD,clean_baseline_fixed_hold,6.0,0.12040343583564872,44,0.6590909090909091,1
BNB-USD,clean_baseline_fixed_hold,10.0,0.08162079038105508,44,0.5909090909090909,1
BNB-USD,clean_baseline_fixed_hold,15.0,0.03500429683658535,44,0.5227272727272727,1
BNB-USD,clean_baseline_fixed_hold,20.0,-0.009624938566391683,44,0.4772727272727273,1
ADA-USD,clean_baseline_fixed_hold,6.0,0.08597188877859052,73,0.547945205479452,1
ADA-USD,clean_baseline_fixed_hold,10.0,0.02431959036254283,73,0.5342465753424658,1
ADA-USD,clean_baseline_fixed_hold,15.0,-0.04787865382498735,73,0.5068493150684932,1
ADA-USD,clean_baseline_fixed_hold,20.0,-0.11502046924085318,73,0.4657534246575342,1
AVAX-USD,clean_baseline_fixed_hold,6.0,0.11166836554564763,64,0.578125,1
AVAX-USD,clean_baseline_fixed_hold,10.0,0.056140182915527914,64,0.5625,1
AVAX-USD,clean_baseline_fixed_hold,15.0,-0.009414578739899926,64,0.515625,1
AVAX-USD,clean_baseline_fixed_hold,20.0,-0.07093016772712957,64,0.453125,1
LINK-USD,clean_baseline_fixed_hold,6.0,0.11939530647471619,69,0.5217391304347826,1
LINK-USD,clean_baseline_fixed_hold,10.0,0.05923234028246882,69,0.5072463768115942,1
LINK-USD,clean_baseline_fixed_hold,15.0,-0.011475568466217334,69,0.4782608695652174,1
LINK-USD,clean_baseline_fixed_hold,20.0,-0.07749536993540851,69,0.4492753623188406,1
BCH-USD,clean_baseline_fixed_hold,6.0,0.1437004768278125,84,0.5952380952380952,1
BCH-USD,clean_baseline_fixed_hold,10.0,0.06931176771205672,84,0.5833333333333334,1
BCH-USD,clean_baseline_fixed_hold,15.0,-0.016944695409524813,84,0.5,1
BCH-USD,clean_baseline_fixed_hold,20.0,-0.0962813174139866,84,0.4523809523809524,1
DOT-USD,clean_baseline_fixed_hold,6.0,0.07997446774833161,91,0.5714285714285714,1
DOT-USD,clean_baseline_fixed_hold,10.0,0.004087443182822614,91,0.5274725274725275,1
