factor,label,IC_mean,RankIC_mean,spread_mean,IC_sign,RankIC_sign,spread_sign,direction_consistent,notes
mom_20h,ret_fwd_1h,0.0035997301683255425,-0.014664083358395695,0.0003521791866373676,+,-,+,False,IC↔RankIC conflict
mom_20h,ret_fwd_4h,-0.0021960986523711684,-0.021266392031673007,0.0014763659842845177,-,-,+,False,IC↔spread conflict
mom_20h,ret_fwd_24h,0.002163322942767153,-0.00826001120747644,0.009774746032690788,+,-,+,False,IC↔RankIC conflict
mom_20h,ret_fwd_72h,0.002461860838016163,0.01303234396880796,0.01234885288629022,+,+,+,True,OK
reversal_5h,ret_fwd_1h,-0.0063609491341093515,0.02428870018104599,-0.00015839744919268523,-,+,-,False,IC↔RankIC conflict
reversal_5h,ret_fwd_4h,-0.005904780156161609,0.023817515872041232,-0.0010864449971527117,-,+,-,False,IC↔RankIC conflict
reversal_5h,ret_fwd_24h,0.0016662828115964687,0.015577590159811302,-0.004195231609578067,+,+,-,False,IC↔spread conflict
reversal_5h,ret_fwd_72h,-0.0035913456621061747,-0.0003864524834208966,-0.0071144184318961325,-,-,-,True,OK
volatility_20h,ret_fwd_1h,0.005645890830617827,-0.016708211547005403,0.0007720442273438924,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_4h,0.016905397498029436,-0.019142087002398726,0.0032265128198818494,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_24h,0.024529221606722124,-0.017770923617342168,0.016832770353320745,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_72h,0.04022309639644767,-0.017702096922023302,0.03996453676861613,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_1h,0.009489276035405645,-0.01294206463073034,0.000496169148168743,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_4h,0.012548615178813937,-0.014225609351132363,0.0015726899178370353,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_24h,0.02236014997961657,-0.0008147943904324906,0.008378949721751136,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_72h,0.02861824732777944,0.020263449262558117,0.014117575988182904,+,+,+,True,OK
bb_zscore_20h,ret_fwd_1h,0.0035220251498822635,-0.01850694743013484,0.00037339374811069435,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_4h,0.005866185515849471,-0.019971020290825193,0.0014403988839018123,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_24h,0.014163052001983367,-0.006395230526159492,0.006608064770318138,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_72h,0.01168154231957109,0.007139278979503838,0.00865468482303922,+,+,+,True,OK
