factor,label,mode,IC_mean,RankIC_mean,spread_t,n_timestamps
mom_20h,ret_fwd_24h,full,0.002163322942767153,-0.00826001120747644,10.494456339510338,4276
mom_20h,ret_fwd_24h,nonoverlap,0.011229344962354613,-0.013530625733439442,2.9082050995980455,178
mom_20h,ret_fwd_72h,full,0.002461860838016163,0.01303234396880796,7.867863329766909,4228
mom_20h,ret_fwd_72h,nonoverlap,0.015441556953151839,0.03504528127040289,1.9770081972409546,57
reversal_5h,ret_fwd_24h,full,0.0016662828115964687,0.015577590159811302,-4.664249586886975,4291
reversal_5h,ret_fwd_24h,nonoverlap,-0.01726617766264945,0.004532248653651416,-1.0309726264299734,179
reversal_5h,ret_fwd_72h,full,-0.0035913456621061747,-0.0003864524834208966,-4.596612376686582,4243
reversal_5h,ret_fwd_72h,nonoverlap,-0.021897477699880517,-0.017240654882642717,-1.1940665012504414,58
volatility_20h,ret_fwd_24h,full,0.024529221606722124,-0.017770923617342168,18.730823802682757,4276
volatility_20h,ret_fwd_24h,nonoverlap,0.016048894332228367,-0.014550662961813942,3.4845613958322956,178
volatility_20h,ret_fwd_72h,full,0.04022309639644767,-0.017702096922023302,25.108503349140214,4228
volatility_20h,ret_fwd_72h,nonoverlap,0.046822479330992345,-0.010342242160021902,2.7232317384982916,57
rsi_14h,ret_fwd_24h,full,0.02236014997961657,-0.0008147943904324906,10.325482330228851,4282
rsi_14h,ret_fwd_24h,nonoverlap,0.028359499735994647,0.0013876674265211736,1.3834034813474274,178
rsi_14h,ret_fwd_72h,full,0.02861824732777944,0.020263449262558117,9.428879487571972,4234
rsi_14h,ret_fwd_72h,nonoverlap,0.04153124427821635,0.02964501590109728,1.3486376162394713,57
bb_zscore_20h,ret_fwd_24h,full,0.014163052001983367,-0.006395230526159492,8.174541323447862,4277
bb_zscore_20h,ret_fwd_24h,nonoverlap,0.02418146113841098,-0.0021343593617222127,1.6634138909270737,178
bb_zscore_20h,ret_fwd_72h,full,0.01168154231957109,0.007139278979503838,5.778131530767925,4229
bb_zscore_20h,ret_fwd_72h,nonoverlap,0.04035368641184847,0.02898232977401487,1.4725196521254604,57
