factor,label,symbol,mean_forward_return,mean_factor_exposure,n_q5,n_q1,spread_contribution
mom_20h,ret_fwd_1h,1000PEPEUSDT,-5.528453102861881e-05,-0.0009125700194162041,502,573,0.0002734425571728143
mom_20h,ret_fwd_1h,ADAUSDT,-0.00017126025215344467,-0.00337951280957498,258,324,6.482731251416791e-05
mom_20h,ret_fwd_1h,AIOUSDT,0.0002850116484403558,0.006801600124262381,1580,1387,0.0012366716448352407
mom_20h,ret_fwd_1h,ALLOUSDT,0.0004446065045400739,0.011508274414564746,1209,1370,0.0009688307456182589
mom_20h,ret_fwd_1h,ARBUSDT,-0.00017237189522573357,-0.003507399678408586,489,604,-0.0007380849566724394
mom_20h,ret_fwd_1h,AVAXUSDT,-0.00013491228663554126,-0.0026356753544738505,234,229,-0.00017568211952661043
mom_20h,ret_fwd_1h,BCHUSDT,-0.0002125889180891117,-0.004233438394090215,681,669,1.3779237141115289e-05
mom_20h,ret_fwd_1h,BEATUSDT,0.0006579080000839406,0.01567188945516284,1823,1677,0.00035696580325406525
mom_20h,ret_fwd_1h,BNBUSDT,-7.76976128633225e-05,-0.0015300141605362938,242,208,0.00021167594871358613
mom_20h,ret_fwd_1h,BTCUSDT,-6.883808324996204e-05,-0.001340935587750487,233,138,-0.0005183290120697797
mom_20h,ret_fwd_1h,CHZUSDT,1.0858627957555043e-05,0.0003403190980587991,1070,1036,0.0006274841530390877
mom_20h,ret_fwd_1h,CRVUSDT,-6.340884323618045e-05,-0.0011656977266560208,688,758,-8.690046316352175e-06
mom_20h,ret_fwd_1h,DOGEUSDT,-7.955669295605496e-05,-0.0015452237533205313,323,331,-0.00042554329579881645
mom_20h,ret_fwd_1h,DOTUSDT,-0.00013705085665352857,-0.0026737195984915733,391,468,-0.0005677101095336256
mom_20h,ret_fwd_1h,ENAUSDT,-0.0001932850804491189,-0.003990752768013579,645,1142,-0.0002890302152708723
mom_20h,ret_fwd_1h,EPICUSDT,0.0001760831302076448,0.0034099802520083894,1053,1174,0.00030552180698893526
mom_20h,ret_fwd_1h,ESPORTSUSDT,0.0004405615241000599,0.008474736356864847,1427,1456,0.0006249918180888771
mom_20h,ret_fwd_1h,ETHUSDT,-0.00012723623023935883,-0.0024359786232503264,327,288,0.00013434247833529696
mom_20h,ret_fwd_1h,FILUSDT,-8.616762129961618e-05,-0.0016916773805117746,580,604,-0.0008520980776057683
mom_20h,ret_fwd_1h,HMSTRUSDT,0.00017374767356278668,0.0030967391572535546,791,806,-9.066563389561203e-05
mom_20h,ret_fwd_1h,HOMEUSDT,0.00017674892021216922,0.0035393627211585564,1379,1165,-0.000988908095606055
mom_20h,ret_fwd_1h,HUSDT,0.0007141131124890932,0.01660233399927782,1709,1461,0.0018395164454559233
mom_20h,ret_fwd_1h,HYPEUSDT,0.00022157987808489162,0.0043821925717340655,1190,951,0.00033782615529016804
mom_20h,ret_fwd_1h,IDUSDT,-0.00013669900254304723,-0.0022710036146058234,661,972,0.0006046533635619949
mom_20h,ret_fwd_1h,INJUSDT,5.520040258831834e-05,0.0011153480477710147,732,618,0.00035245980601436957
mom_20h,ret_fwd_1h,LABUSDT,0.001813786148120311,0.032976134770579466,1837,1427,-0.0027909694045693636
mom_20h,ret_fwd_1h,LINKUSDT,-0.0001033527215782081,-0.0020375652752962726,151,111,-0.001444901911020388
mom_20h,ret_fwd_1h,LTCUSDT,-0.00012956105870866053,-0.0026175291021439963,207,207,-0.0016051572985425662
mom_20h,ret_fwd_1h,NEARUSDT,0.00011204766622086731,0.002322772111202108,778,562,0.0008573473213853809
mom_20h,ret_fwd_1h,ONDOUSDT,3.650710128139976e-06,5.441724600556992e-05,676,697,8.503837596093149e-05
mom_20h,ret_fwd_1h,PAXGUSDT,-3.217225617623493e-06,-3.990658752879555e-05,965,752,-9.46869549915469e-05
mom_20h,ret_fwd_1h,PLAYUSDT,0.0005221979851783225,0.011942893336749874,1584,1765,0.0005237769067152107
mom_20h,ret_fwd_1h,SIRENUSDT,0.0018305332496204568,0.03756668464117669,1719,1308,0.002088574250318008
mom_20h,ret_fwd_1h,SKYAIUSDT,0.0008713194335982163,0.01728374129500403,1796,1438,0.00016777624023534086
mom_20h,ret_fwd_1h,SOLUSDT,-0.00013508369761819637,-0.002635861295233114,251,269,-0.001464680193174508
mom_20h,ret_fwd_1h,SPACEUSDT,7.330501713512726e-06,0.001230057884805168,1133,1339,0.00040139542138253734
mom_20h,ret_fwd_1h,STGUSDT,0.0004994175287867772,0.010180021890657321,1275,1139,0.0002679892285796104
mom_20h,ret_fwd_1h,SUIUSDT,-0.00013195002425215073,-0.0025895167523529213,375,539,-0.000472066085939916
mom_20h,ret_fwd_1h,TAOUSDT,-1.129921109928488e-05,-0.0003020995767182864,871,852,0.00047437538390266245
mom_20h,ret_fwd_1h,TONUSDT,6.740026520974301e-05,0.0012855842436669802,895,756,0.0005517474819557409
mom_20h,ret_fwd_1h,TRUMPUSDT,-0.00018006436296751633,-0.0043579475671741705,389,703,0.00042356940870077423
mom_20h,ret_fwd_1h,TRXUSDT,2.7427237333789737e-05,0.0006308459459967188,1079,614,-0.00012981913430241027
mom_20h,ret_fwd_1h,UNIUSDT,-0.00013898810302359716,-0.0028103250631572917,439,584,-5.294538529137159e-05
mom_20h,ret_fwd_1h,VELVETUSDT,0.0007139269812680341,0.014929815776096728,1451,1438,0.001903464976004549
mom_20h,ret_fwd_1h,WLDUSDT,4.155070445094198e-05,0.0009946084007927654,764,816,0.0004660567982906908
mom_20h,ret_fwd_1h,XLMUSDT,-3.3429937325909407e-06,-7.291321897046855e-05,442,486,0.0005678402592263112
mom_20h,ret_fwd_1h,XMRUSDT,3.354205208886509e-05,0.0004894409590528356,1055,947,-0.00034529920584998514
mom_20h,ret_fwd_1h,XPLUSDT,-7.780124785112814e-06,-0.001245911879704782,1103,1401,0.00015958937431525175
mom_20h,ret_fwd_1h,XRPUSDT,-0.00010990167981646273,-0.002143571655265152,245,198,0.00022889436589355525
mom_20h,ret_fwd_1h,ZECUSDT,0.00010413627007489366,0.002491179013070218,1293,1275,0.0009517042386551262
mom_20h,ret_fwd_4h,1000PEPEUSDT,-0.00022033957459068222,-0.0009278211290157943,502,573,0.0006490895083438103
mom_20h,ret_fwd_4h,ADAUSDT,-0.0006827604171137497,-0.003406182627619174,258,324,-0.0020554992727645134
mom_20h,ret_fwd_4h,AIOUSDT,0.0010944899021379522,0.007014081758490678,1580,1384,0.003961983649732996
mom_20h,ret_fwd_4h,ALLOUSDT,0.001896366633430555,0.01152152039693634,1209,1370,0.002821471847643182
mom_20h,ret_fwd_4h,ARBUSDT,-0.0006985557090289028,-0.0035394087830944373,489,604,-0.003249040984162163
mom_20h,ret_fwd_4h,AVAXUSDT,-0.0005385850111325074,-0.0026462594963466276,234,229,-0.0031859872190988076
mom_20h,ret_fwd_4h,BCHUSDT,-0.0008529352858147113,-0.004252144587895552,681,669,0.0004977600664161968
mom_20h,ret_fwd_4h,BEATUSDT,0.002638091888778458,0.015749741524490216,1823,1674,-0.00011056774040725742
mom_20h,ret_fwd_4h,BNBUSDT,-0.00030901075871014736,-0.0015390496568070925,242,208,0.0020866105350782955
mom_20h,ret_fwd_4h,BTCUSDT,-0.00027211234874180684,-0.001351721725093276,233,138,3.4714558692269457e-05
mom_20h,ret_fwd_4h,CHZUSDT,4.616003970613072e-05,0.0003678180537742838,1070,1034,0.0029640943153361734
mom_20h,ret_fwd_4h,CRVUSDT,-0.00026395203345815364,-0.0011492854507411637,688,756,-0.0004169894969280157
mom_20h,ret_fwd_4h,DOGEUSDT,-0.0003184751599626394,-0.001561649490910421,323,331,-0.0011334163882107116
mom_20h,ret_fwd_4h,DOTUSDT,-0.0005425457212645115,-0.0026898713828735054,391,468,-0.0017228450908023532
mom_20h,ret_fwd_4h,ENAUSDT,-0.0007885317199152548,-0.004023160808167739,645,1142,-0.000977678069887042
mom_20h,ret_fwd_4h,EPICUSDT,0.0006598988743812312,0.0034658507767677846,1053,1171,0.0012369584199823753
mom_20h,ret_fwd_4h,ESPORTSUSDT,0.001998743016302104,0.007812778810397849,1424,1456,0.00034026871205083563
mom_20h,ret_fwd_4h,ETHUSDT,-0.0005053966827819276,-0.002449967714061022,327,288,-0.001058081885589873
mom_20h,ret_fwd_4h,FILUSDT,-0.0003378952173562813,-0.0016959611848891153,580,604,-0.003975069987050296
mom_20h,ret_fwd_4h,HMSTRUSDT,0.0007422081559896863,0.0030936793917082984,790,804,-0.0013830013791020633
mom_20h,ret_fwd_4h,HOMEUSDT,0.0007005480665075183,0.003631434132196717,1379,1162,-0.0015956467177769135
mom_20h,ret_fwd_4h,HUSDT,0.003102652910883957,0.016499609186861063,1706,1461,0.006327144841516648
mom_20h,ret_fwd_4h,HYPEUSDT,0.0008652386231459304,0.004355322511064465,1190,951,0.0016638313516117466
mom_20h,ret_fwd_4h,IDUSDT,-0.0005240853588481879,-0.0021976828355502356,661,969,0.0023834467460417726
mom_20h,ret_fwd_4h,INJUSDT,0.00022165043620789754,0.0010892064093236012,732,618,0.0029595169344862975
mom_20h,ret_fwd_4h,LABUSDT,0.006467205605024401,0.03292413305615936,1834,1427,-0.006944012270847381
mom_20h,ret_fwd_4h,LINKUSDT,-0.0004133493711193543,-0.0020501689297662148,151,111,-0.005063252667585067
mom_20h,ret_fwd_4h,LTCUSDT,-0.0005225624207777401,-0.0026309770901421004,207,207,-0.0031723434114692382
mom_20h,ret_fwd_4h,NEARUSDT,0.0004464390049183235,0.002291359939596859,778,562,0.002090639542891531
mom_20h,ret_fwd_4h,ONDOUSDT,1.1941070315799739e-05,2.2466169548380515e-05,676,697,0.0004722052111755476
mom_20h,ret_fwd_4h,PAXGUSDT,-1.072708107572556e-05,-6.0959300984773926e-05,965,752,0.0003166548199023011
mom_20h,ret_fwd_4h,PLAYUSDT,0.002279025588061902,0.012107584985105578,1584,1762,0.0020135244610390013
mom_20h,ret_fwd_4h,SIRENUSDT,0.007454331444760503,0.037687877199582144,1719,1305,0.011333039786098106
mom_20h,ret_fwd_4h,SKYAIUSDT,0.003591307990749971,0.01707258453728866,1793,1438,-0.0005761209558011915
mom_20h,ret_fwd_4h,SOLUSDT,-0.0005380359355221486,-0.002653638986811509,251,269,-0.003871341706766094
mom_20h,ret_fwd_4h,SPACEUSDT,0.00014397576871150316,0.0010980418915994801,1131,1339,0.002272935622608222
mom_20h,ret_fwd_4h,STGUSDT,0.0020077902233589734,0.010059712589831172,1272,1139,0.0024570155849294793
mom_20h,ret_fwd_4h,SUIUSDT,-0.000521192810409497,-0.002598314795727546,375,539,-0.00010557600176116838
mom_20h,ret_fwd_4h,TAOUSDT,-4.7583948833060713e-05,-0.00031943316315559086,871,852,0.002113299183474543
mom_20h,ret_fwd_4h,TONUSDT,0.0002570063401976603,0.001242422695456276,893,756,0.0035786882558002803
mom_20h,ret_fwd_4h,TRUMPUSDT,-0.0007367471815096243,-0.004505148759457359,386,703,-0.00010876715849776446
