factor,label,month,IC_mean,RankIC_mean,spread_mean,spread_t,n_timestamps
mom_20h,ret_fwd_1h,2025-12,0.0032549362894190473,-0.029624777351861684,,,399
mom_20h,ret_fwd_1h,2026-01,-0.021626967954196417,-0.036196272176717836,,,744
mom_20h,ret_fwd_1h,2026-02,-0.011915289232672906,-0.010839091712101876,,,672
mom_20h,ret_fwd_1h,2026-03,0.027820291580910792,-0.014898643303516096,,,744
mom_20h,ret_fwd_1h,2026-04,-0.005383397069161163,-0.024737838069231088,,,720
mom_20h,ret_fwd_1h,2026-05,0.01381766380277401,-0.0012002219104105876,,,744
mom_20h,ret_fwd_1h,2026-06,0.04047632616219632,0.04624737833259067,,,276
mom_20h,ret_fwd_4h,2025-12,-0.0102215238189174,-0.05779554064237678,,,399
mom_20h,ret_fwd_4h,2026-01,-0.025054841974736904,-0.04233735116362857,,,744
mom_20h,ret_fwd_4h,2026-02,-0.032159530591042346,-0.02304611797663759,,,672
mom_20h,ret_fwd_4h,2026-03,0.030088423696034483,-0.026521014204774828,,,744
mom_20h,ret_fwd_4h,2026-04,-0.010160990969181818,-0.041449573317398104,,,720
mom_20h,ret_fwd_4h,2026-05,0.0040518298404542555,0.007534135000053463,,,744
mom_20h,ret_fwd_4h,2026-06,0.061580659509924876,0.08300866267064866,,,273
mom_20h,ret_fwd_24h,2025-12,-0.022886547636906777,-0.042444514387449526,,,399
mom_20h,ret_fwd_24h,2026-01,-0.011092324936639386,-0.03970223552954162,,,744
mom_20h,ret_fwd_24h,2026-02,-0.05044634902233256,-0.03151659638560991,,,672
mom_20h,ret_fwd_24h,2026-03,-0.015997583491081647,-0.00804765001939672,,,744
mom_20h,ret_fwd_24h,2026-04,0.011977106117371017,-0.05231889798976521,,,720
mom_20h,ret_fwd_24h,2026-05,0.02783233918067984,0.0456395745141714,,,744
mom_20h,ret_fwd_24h,2026-06,0.17038009118062103,0.16623991736789537,,,253
mom_20h,ret_fwd_72h,2025-12,0.005934511274651403,-0.010569215146332564,,,399
mom_20h,ret_fwd_72h,2026-01,0.055134937896827205,0.042779530799389745,,,744
mom_20h,ret_fwd_72h,2026-02,-0.016988477714057496,-0.02620043259676061,,,672
mom_20h,ret_fwd_72h,2026-03,-0.03896581704676256,-0.019030270997104238,,,744
mom_20h,ret_fwd_72h,2026-04,-0.07054105150430484,-0.010694965519645475,,,720
mom_20h,ret_fwd_72h,2026-05,0.0345919206754448,0.07588174500853469,,,744
mom_20h,ret_fwd_72h,2026-06,0.1584413504220173,0.05134965603390336,,,205
reversal_5h,ret_fwd_1h,2025-12,-0.022721535645001713,0.035011512659208745,,,414
reversal_5h,ret_fwd_1h,2026-01,0.009536498102675265,0.03151334936394115,,,744
reversal_5h,ret_fwd_1h,2026-02,0.0013235023497679475,0.012290061451942638,,,672
reversal_5h,ret_fwd_1h,2026-03,-0.02620117317392027,0.019960599642344524,,,744
reversal_5h,ret_fwd_1h,2026-04,0.011694227573105762,0.027997346101089202,,,720
reversal_5h,ret_fwd_1h,2026-05,-0.006645125534779669,0.025106527385608833,,,744
reversal_5h,ret_fwd_1h,2026-06,-0.03623610358085102,0.017792997795867627,,,276
reversal_5h,ret_fwd_4h,2025-12,-0.03371040108609032,0.04048499631080095,,,414
reversal_5h,ret_fwd_4h,2026-01,0.011192728931581174,0.01927217446180851,,,744
reversal_5h,ret_fwd_4h,2026-02,0.010372937008062896,0.003613926408831828,,,672
reversal_5h,ret_fwd_4h,2026-03,-0.025379652943251278,0.03547943060925032,,,744
reversal_5h,ret_fwd_4h,2026-04,0.03368730205369532,0.03737698991004401,,,720
reversal_5h,ret_fwd_4h,2026-05,-0.0238528919230315,0.020759705237026926,,,744
reversal_5h,ret_fwd_4h,2026-06,-0.05283241500451358,0.0015098180613109507,,,273
reversal_5h,ret_fwd_24h,2025-12,-0.014959320637510959,0.024989081448564637,,,414
reversal_5h,ret_fwd_24h,2026-01,0.019718759661536227,0.025671737789305815,,,744
reversal_5h,ret_fwd_24h,2026-02,0.04849065209395041,0.03223562725767876,,,672
reversal_5h,ret_fwd_24h,2026-03,-0.019561978267088217,0.015171556986443478,,,744
reversal_5h,ret_fwd_24h,2026-04,0.009651424427392306,0.05039168569113881,,,720
reversal_5h,ret_fwd_24h,2026-05,-0.012629889291643707,-0.014606789114735048,,,744
reversal_5h,ret_fwd_24h,2026-06,-0.06684416296780066,-0.08296281582908038,,,253
reversal_5h,ret_fwd_72h,2025-12,-0.008885178627003106,0.010947207874798219,,,414
reversal_5h,ret_fwd_72h,2026-01,-0.0163824802130983,-0.01613968029755782,,,744
reversal_5h,ret_fwd_72h,2026-02,0.020522073551916695,0.0156379618922868,,,672
reversal_5h,ret_fwd_72h,2026-03,0.0009596521909609993,0.01798472775582843,,,744
reversal_5h,ret_fwd_72h,2026-04,0.029274341606252415,0.017661202235670373,,,720
reversal_5h,ret_fwd_72h,2026-05,-0.021121966180954573,-0.029275642676049353,,,744
reversal_5h,ret_fwd_72h,2026-06,-0.09384706433671518,-0.043809632015275934,,,205
volatility_20h,ret_fwd_1h,2025-12,-0.004611719111194435,-0.016352036697311077,,,399
volatility_20h,ret_fwd_1h,2026-01,-0.02599112698665467,-0.03130560838174765,,,744
volatility_20h,ret_fwd_1h,2026-02,-0.01096298884983104,-0.012948759094525805,,,672
volatility_20h,ret_fwd_1h,2026-03,0.02973988716529552,-0.019229566009103305,,,744
volatility_20h,ret_fwd_1h,2026-04,0.0137065247509831,-0.019890616493589454,,,720
volatility_20h,ret_fwd_1h,2026-05,0.015943237695470194,-0.013068098805534773,,,744
volatility_20h,ret_fwd_1h,2026-06,0.03246139447185739,0.018414442331878264,,,276
volatility_20h,ret_fwd_4h,2025-12,0.002275270283338165,-0.01073471532368612,,,399
volatility_20h,ret_fwd_4h,2026-01,-0.0542423341992732,-0.050941519816906325,,,744
volatility_20h,ret_fwd_4h,2026-02,0.0013295761111570474,-0.014479343476296171,,,672
volatility_20h,ret_fwd_4h,2026-03,0.0509141734043191,-0.02478639079303859,,,744
volatility_20h,ret_fwd_4h,2026-04,0.026052673493317066,-0.023444655636972397,,,720
volatility_20h,ret_fwd_4h,2026-05,0.041882925977507764,-0.010445597056549268,,,744
volatility_20h,ret_fwd_4h,2026-06,0.08564692106511647,0.04670786595523596,,,273
volatility_20h,ret_fwd_24h,2025-12,-0.02287732246482588,-0.016884041369013943,,,399
volatility_20h,ret_fwd_24h,2026-01,-0.1173774281987272,-0.09578415053648502,,,744
volatility_20h,ret_fwd_24h,2026-02,0.004341230640765813,-0.014805510459185888,,,672
volatility_20h,ret_fwd_24h,2026-03,0.06538087215916485,-0.01354646061418926,,,744
volatility_20h,ret_fwd_24h,2026-04,0.07823859318432907,-0.004693710434847334,,,720
volatility_20h,ret_fwd_24h,2026-05,0.08424818657613715,-0.0032187687435098577,,,744
volatility_20h,ret_fwd_24h,2026-06,0.12162330455053784,0.10988790608978334,,,253
volatility_20h,ret_fwd_72h,2025-12,-0.04865867534113456,0.000760833133793588,,,399
volatility_20h,ret_fwd_72h,2026-01,-0.1893538963235153,-0.1487352316241117,,,744
volatility_20h,ret_fwd_72h,2026-02,0.04713163243602695,-0.018682117890966916,,,672
volatility_20h,ret_fwd_72h,2026-03,0.062125905199177205,-0.010050368204368682,,,744
volatility_20h,ret_fwd_72h,2026-04,0.18169932735634625,0.0509428577950823,,,720
volatility_20h,ret_fwd_72h,2026-05,0.12792892571747422,0.008457180291145993,,,744
volatility_20h,ret_fwd_72h,2026-06,0.1290760731435164,0.061317248850759815,,,205
rsi_14h,ret_fwd_1h,2025-12,0.009239297397063185,-0.02726713943821626,,,405
rsi_14h,ret_fwd_1h,2026-01,-0.011102469722829418,-0.03183756780343998,,,744
rsi_14h,ret_fwd_1h,2026-02,0.006832003936937276,-0.00475159336221319,,,672
rsi_14h,ret_fwd_1h,2026-03,0.012199174056264323,-0.01720516595032089,,,744
rsi_14h,ret_fwd_1h,2026-04,0.000963915004192134,-0.023056719887502207,,,720
rsi_14h,ret_fwd_1h,2026-05,0.021859346881073948,0.0030033715414349914,,,744
rsi_14h,ret_fwd_1h,2026-06,0.05342387802310126,0.033791615011795444,,,276
rsi_14h,ret_fwd_4h,2025-12,0.0026760895457580234,-0.0510044940153642,,,405
rsi_14h,ret_fwd_4h,2026-01,-0.012266848911159686,-0.0341391403815406,,,744
rsi_14h,ret_fwd_4h,2026-02,0.004841152474399414,-0.010224067484788827,,,672
rsi_14h,ret_fwd_4h,2026-03,0.012435921496810203,-0.02421323242930967,,,744
rsi_14h,ret_fwd_4h,2026-04,-0.010127946365213272,-0.030584413702264165,,,720
rsi_14h,ret_fwd_4h,2026-05,0.04039297712956173,0.020995647848426346,,,744
rsi_14h,ret_fwd_4h,2026-06,0.09802574419510919,0.05910408114732601,,,273
rsi_14h,ret_fwd_24h,2025-12,0.00196928343042069,-0.02368443725419539,,,405
rsi_14h,ret_fwd_24h,2026-01,-0.005038632204141464,-0.03269390094727298,,,744
rsi_14h,ret_fwd_24h,2026-02,-0.0003625772647760703,-0.030276222880790904,,,672
rsi_14h,ret_fwd_24h,2026-03,0.004597451077173034,-0.014856428856100452,,,744
rsi_14h,ret_fwd_24h,2026-04,-0.004992001336679477,-0.03278570392046757,,,720
rsi_14h,ret_fwd_24h,2026-05,0.06703437147854276,0.06957016444237263,,,744
rsi_14h,ret_fwd_24h,2026-06,0.19462909757377556,0.13311308441544387,,,253
rsi_14h,ret_fwd_72h,2025-12,-0.01344538985282951,-0.022230426485068455,,,405
rsi_14h,ret_fwd_72h,2026-01,0.08606921177610176,0.06121646572658033,,,744
rsi_14h,ret_fwd_72h,2026-02,0.013848283617044469,-0.01215101702195012,,,672
rsi_14h,ret_fwd_72h,2026-03,-0.015323937040487052,-0.02655284024777994,,,744
rsi_14h,ret_fwd_72h,2026-04,-0.04593616639328162,-0.004438825370278405,,,720
rsi_14h,ret_fwd_72h,2026-05,0.06799605836345725,0.09746945562158144,,,744
rsi_14h,ret_fwd_72h,2026-06,0.2300462607951876,0.03834298597487776,,,205
bb_zscore_20h,ret_fwd_1h,2025-12,0.009079262116097948,-0.026374603427181887,,,400
bb_zscore_20h,ret_fwd_1h,2026-01,-0.01522438492741991,-0.03268098549631186,,,744
bb_zscore_20h,ret_fwd_1h,2026-02,0.0017348987348304742,-0.011269371198396666,,,672
bb_zscore_20h,ret_fwd_1h,2026-03,0.0045619634682448245,-0.021069308616620718,,,744
bb_zscore_20h,ret_fwd_1h,2026-04,-0.005019950387836038,-0.027313390977826757,,,720
bb_zscore_20h,ret_fwd_1h,2026-05,0.012834414645841612,-0.008831120840410656,,,744
bb_zscore_20h,ret_fwd_1h,2026-06,0.0447302633935164,0.01702692336889292,,,276
bb_zscore_20h,ret_fwd_4h,2025-12,-0.00113745193924777,-0.055436809261281327,,,400
bb_zscore_20h,ret_fwd_4h,2026-01,-0.01590483555456936,-0.03023719192413611,,,744
bb_zscore_20h,ret_fwd_4h,2026-02,0.00040842616612104426,-0.012118226532881088,,,672
bb_zscore_20h,ret_fwd_4h,2026-03,0.005992121583768536,-0.02941842505582146,,,744
bb_zscore_20h,ret_fwd_4h,2026-04,-0.012781934880666881,-0.03382331979924786,,,720
bb_zscore_20h,ret_fwd_4h,2026-05,0.027778636340395048,0.0038301519269436433,,,744
bb_zscore_20h,ret_fwd_4h,2026-06,0.07801562060356411,0.037927098377400326,,,273
bb_zscore_20h,ret_fwd_24h,2025-12,0.0017826946252496546,-0.03620410470492866,,,400
bb_zscore_20h,ret_fwd_24h,2026-01,-0.016695661297672745,-0.03132923633645412,,,744
bb_zscore_20h,ret_fwd_24h,2026-02,-0.006741491312827147,-0.02020347362352611,,,672
bb_zscore_20h,ret_fwd_24h,2026-03,0.013404323356070065,-0.01951942379001765,,,744
bb_zscore_20h,ret_fwd_24h,2026-04,-0.019769818181512126,-0.04075607188444325,,,720
bb_zscore_20h,ret_fwd_24h,2026-05,0.05187025752845853,0.04974100047821446,,,744
bb_zscore_20h,ret_fwd_24h,2026-06,0.1679214649907938,0.12207794906091783,,,253
bb_zscore_20h,ret_fwd_72h,2025-12,-0.010649690802714853,-0.027874375719617036,,,400
bb_zscore_20h,ret_fwd_72h,2026-01,0.02139730930373726,0.026602412154777422,,,744
bb_zscore_20h,ret_fwd_72h,2026-02,-0.0054840576892383934,-0.016616303220466172,,,672
bb_zscore_20h,ret_fwd_72h,2026-03,-0.014780174340450794,-0.02515563925846477,,,744
bb_zscore_20h,ret_fwd_72h,2026-04,-0.02744798483662393,-0.016102494268133153,,,720
bb_zscore_20h,ret_fwd_72h,2026-05,0.04525897788415439,0.06440493591123324,,,744
bb_zscore_20h,ret_fwd_72h,2026-06,0.18786891064191955,0.07373712411793987,,,205
mom_6h,ret_fwd_1h,2025-12,0.01994824900383217,-0.03369143555987243,,,413
mom_6h,ret_fwd_1h,2026-01,-0.009188247737309765,-0.024852879643163874,,,744
mom_6h,ret_fwd_1h,2026-02,0.0012596882555209294,-0.006796769513455914,,,672
mom_6h,ret_fwd_1h,2026-03,0.01889852517108077,-0.022827767567653503,,,744
mom_6h,ret_fwd_1h,2026-04,-0.005137149363083179,-0.026100473648542462,,,720
mom_6h,ret_fwd_1h,2026-05,0.01369240848408865,-0.01927861615599964,,,744
mom_6h,ret_fwd_1h,2026-06,0.03765613387111091,-0.016765818675951043,,,276
mom_6h,ret_fwd_4h,2025-12,0.03611530356715615,-0.03814855954464663,,,413
mom_6h,ret_fwd_4h,2026-01,-0.013670176841894558,-0.022542434072784077,,,744
mom_6h,ret_fwd_4h,2026-02,-0.007053112112056942,-0.0027604855144240407,,,672
mom_6h,ret_fwd_4h,2026-03,0.019323476979073745,-0.03397306430983838,,,744
mom_6h,ret_fwd_4h,2026-04,-0.031469495261307844,-0.03643668694079982,,,720
mom_6h,ret_fwd_4h,2026-05,0.025272362121754578,-0.02057153709900867,,,744
mom_6h,ret_fwd_4h,2026-06,0.058111510342692844,0.007660425126910006,,,273
mom_6h,ret_fwd_24h,2025-12,0.012925934202728528,-0.026204067500667293,,,413
mom_6h,ret_fwd_24h,2026-01,-0.02247506747615485,-0.02568227304318382,,,744
mom_6h,ret_fwd_24h,2026-02,-0.05427671878873127,-0.037684246620262915,,,672
mom_6h,ret_fwd_24h,2026-03,0.017871124035210795,-0.012649720971884328,,,744
mom_6h,ret_fwd_24h,2026-04,-0.009479937369787474,-0.051193820524868275,,,720
mom_6h,ret_fwd_24h,2026-05,0.013642448541316987,0.01841784322479374,,,744
mom_6h,ret_fwd_24h,2026-06,0.07561976204525012,0.09177712138078153,,,253
mom_6h,ret_fwd_72h,2025-12,0.008992393503392104,-0.01029866482926683,,,413
mom_6h,ret_fwd_72h,2026-01,0.015501633207572122,0.019727323710104647,,,744
mom_6h,ret_fwd_72h,2026-02,-0.02161518788151158,-0.018607539737726914,,,672
mom_6h,ret_fwd_72h,2026-03,-0.005131133867544719,-0.017473395887796336,,,744
mom_6h,ret_fwd_72h,2026-04,-0.03306757306014196,-0.01809580351789411,,,720
mom_6h,ret_fwd_72h,2026-05,0.022465610624762034,0.03258133477230649,,,744
mom_6h,ret_fwd_72h,2026-06,0.10000287884908174,0.04940055923404105,,,205
mom_12h,ret_fwd_1h,2025-12,0.032171420446896234,-0.02202184345505233,,,407
