factor_name,label,flag,severity,detail
close_to_low_20h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
close_to_low_20h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
close_to_low_20h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
close_to_low_20h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
reversal_1h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_1h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_1h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_1h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_1h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_1h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_1h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_1h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
ma_gap_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
ma_gap_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
ma_gap_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
ma_gap_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
ma_gap_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
ma_gap_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
ma_gap_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
ma_gap_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
reversal_4h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_4h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_4h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_4h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_4h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_4h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_4h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_4h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
reversal_5h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_5h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_5h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_5h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_5h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_5h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_5h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_5h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
mom_6h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
mom_6h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
mom_6h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
mom_6h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
mom_6h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
mom_6h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
mom_6h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
mom_6h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
atr_14h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
atr_14h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
atr_14h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
atr_14h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
hl_range_20h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
hl_range_20h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
hl_range_20h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
hl_range_20h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
mom_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
mom_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
mom_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
mom_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
mom_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
mom_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
mom_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
mom_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volatility_72h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
volatility_72h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
volatility_72h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
volatility_72h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
rsi_14h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
rsi_14h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
rsi_14h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
rsi_14h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
bb_zscore_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
bb_zscore_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
bb_zscore_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
bb_zscore_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
bb_zscore_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
bb_zscore_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
bb_zscore_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
bb_zscore_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volatility_20h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
volatility_20h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
volatility_20h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
volatility_20h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
mom_24h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
mom_24h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
mom_24h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
mom_24h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volatility_24h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
