factor_id,family,formula_summary,formula_sign_notes,expected_direction,raw_ic_1h,adj_ic_1h,raw_ic_4h,adj_ic_4h,raw_ic_24h,adj_ic_24h,raw_ic_72h,adj_ic_72h,raw_ic_sign_1h,adjusted_ic_sign_1h,phase6h_prior_direction_status,phase6h_prior_notes,current_lifecycle_status,used_in_current_signal,signal_transform,signal_role,semantic_status,recommended_action
mom_20h,momentum,close/close_20h_ago - 1,,positive,-0.022758,-0.022758,-0.03003,-0.03003,-0.029745,-0.029745,-0.019024,-0.019024,NEGATIVE,NEGATIVE,DIRECTION_MISMATCH,Both negative; empirical sign contradicts expected,CANDIDATE,False,NONE,,HISTORICAL_DIRECTION_MISMATCH,Review in H12-B; do NOT enter signal without direction fix
reversal_5h,momentum,-(close/close_5h_ago - 1),,negative,0.032322,-0.032322,0.03202,-0.03202,0.021029,-0.021029,0.010636,-0.010636,POSITIVE,NEGATIVE,DIRECTION_MISMATCH,Both positive; empirical sign contradicts expected,CANDIDATE,False,NONE,,HISTORICAL_DIRECTION_MISMATCH,Review in H12-B; do NOT enter signal without direction fix
volatility_20h,volatility,"rolling_std(ret, 20)",,negative,-0.038766,0.038766,-0.057342,0.057342,-0.089124,0.089124,-0.100062,0.100062,NEGATIVE,POSITIVE,DIRECTION_CONSISTENT,strong_robust,CANDIDATE,False,NONE,,DIRECTION_CONSISTENT,No action needed
rsi_14h,technical,Wilder RSI 14,,negative,-0.027987,0.027987,-0.033554,0.033554,-0.028746,0.028746,-0.015857,0.015857,NEGATIVE,POSITIVE,DIRECTION_CONSISTENT,strong_robust,CANDIDATE,False,NONE,,DIRECTION_CONSISTENT,No action needed
bb_zscore_20h,technical,(close - mean20) / std20,,negative,-0.030481,0.030481,-0.033444,0.033444,-0.025119,0.025119,-0.014395,0.014395,NEGATIVE,POSITIVE,DIRECTION_CONSISTENT,strong_robust,CANDIDATE,False,NONE,,DIRECTION_CONSISTENT,No action needed
wq101_alpha101,wq101,(close-open)/(high-low+eps),,conditional,-0.025392,-0.025392,-0.019806,-0.019806,-0.008697,-0.008697,-0.002933,-0.002933,NEGATIVE,NEGATIVE,DIRECTION_MISMATCH,Both negative; empirical sign contradicts expected,DIAGNOSTIC_ONLY,False,NONE,,HISTORICAL_DIRECTION_MISMATCH,Review in H12-B; do NOT enter signal without direction fix
wq101_alpha12,wq101,sign(dvol) * (-dclose),,conditional,0.006941,0.006941,0.00829,0.00829,0.007635,0.007635,0.006698,0.006698,POSITIVE,POSITIVE,CONDITIONAL,unstable,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
wq101_alpha53,wq101,"-delta(intraday_pos, 9)",,conditional,0.0181,0.0181,0.013735,0.013735,0.005462,0.005462,0.002919,0.002919,POSITIVE,POSITIVE,CONDITIONAL,moderate_stable,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
q158_high_low_range,alpha158,(high-low)/close,,conditional,-0.037116,-0.037116,-0.052917,-0.052917,-0.080661,-0.080661,-0.090894,-0.090894,NEGATIVE,NEGATIVE,CONDITIONAL,strong_robust,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
tech_macd,technical,MACD histogram (EMA12-EMA26 signal),,positive,-0.010587,-0.010587,-0.014267,-0.014267,-0.009875,-0.009875,-0.006772,-0.006772,NEGATIVE,NEGATIVE,DIRECTION_MISMATCH,Both negative; weak but consistent mismatch,CANDIDATE,False,NONE,,HISTORICAL_DIRECTION_MISMATCH,Review in H12-B; do NOT enter signal without direction fix
