factor_id,stage,status
a101_volume_cap_alpha_min_80_80,registry,PASS
a101_volume_cap_alpha_min_80_80,factor_values,PASS
a101_volume_cap_alpha_min_80_80,rankic_1h,PASS
a101_volume_cap_alpha_min_80_80,rankic_4h,PASS
a101_volume_cap_alpha_min_80_80,rankic_24h,PASS
a101_volume_cap_alpha_min_80_80,rankic_72h,PASS
a101_volume_cap_alpha_min_80_80,ls_1h,PASS
a101_volume_cap_alpha_min_80_80,ls_4h,PASS
a101_volume_cap_alpha_min_80_80,ls_24h,PASS
a101_volume_cap_alpha_min_80_80,ls_72h,PASS
a101_volume_cap_alpha_min_80_80,monthly_ic,PASS
a101_volume_cap_alpha_min_80_80,monthly_ls,PASS
a101_volume_cap_alpha_min_80_80,cumulative_ls,PASS
a101_volume_cap_alpha_min_80_80,paper_diagnostics,PASS
a101_volume_cap_alpha_min_80_80,fee_sensitivity,PASS
a101_volume_cap_alpha_min_80_80,regime_btc,PASS
a101_volume_cap_alpha_min_80_80,shape,PASS
a101_volume_cap_alpha_min_80_80,decile,PASS
a101_volume_cap_alpha_min_80_80,capacity,PASS
a101_volume_cap_alpha_min_80_80,redundancy,PASS
a101_volume_cap_alpha_min_80_80,scorecard,PASS
a101_volume_cap_alpha_min_80_80,profile,PASS
a101_volume_cap_alpha_min_80_80,bilingual_card,PASS
a101_volume_cap_alpha_min_80_80,page,PASS
a101_volume_cap_alpha_min_80_80,integrity_qa,PASS
a101_volume_cap_alpha_min_80_80,source_metadata,PASS
a101_volume_cap_alpha_min_80_80,ls_btc_corr,PASS
a101_volume_cap_alpha_min_56_84,registry,PASS
a101_volume_cap_alpha_min_56_84,factor_values,PASS
a101_volume_cap_alpha_min_56_84,rankic_1h,PASS
a101_volume_cap_alpha_min_56_84,rankic_4h,PASS
a101_volume_cap_alpha_min_56_84,rankic_24h,PASS
a101_volume_cap_alpha_min_56_84,rankic_72h,PASS
a101_volume_cap_alpha_min_56_84,ls_1h,PASS
a101_volume_cap_alpha_min_56_84,ls_4h,PASS
a101_volume_cap_alpha_min_56_84,ls_24h,PASS
a101_volume_cap_alpha_min_56_84,ls_72h,PASS
a101_volume_cap_alpha_min_56_84,monthly_ic,PASS
a101_volume_cap_alpha_min_56_84,monthly_ls,PASS
a101_volume_cap_alpha_min_56_84,cumulative_ls,PASS
a101_volume_cap_alpha_min_56_84,paper_diagnostics,PASS
a101_volume_cap_alpha_min_56_84,fee_sensitivity,PASS
a101_volume_cap_alpha_min_56_84,regime_btc,PASS
a101_volume_cap_alpha_min_56_84,shape,PASS
a101_volume_cap_alpha_min_56_84,decile,PASS
a101_volume_cap_alpha_min_56_84,capacity,PASS
a101_volume_cap_alpha_min_56_84,redundancy,PASS
a101_volume_cap_alpha_min_56_84,scorecard,PASS
a101_volume_cap_alpha_min_56_84,profile,PASS
a101_volume_cap_alpha_min_56_84,bilingual_card,PASS
a101_volume_cap_alpha_min_56_84,page,PASS
a101_volume_cap_alpha_min_56_84,integrity_qa,PASS
a101_volume_cap_alpha_min_56_84,source_metadata,PASS
a101_volume_cap_alpha_min_56_84,ls_btc_corr,PASS
