factor_id,family,lifecycle_status,required_columns,expected_direction,best_horizon,rankic_mean,rankic_std,rankic_ir,rankic_t_stat,monthly_ic_positive_rate,long_short_mean,long_short_std,long_short_sharpe,long_short_annualized_return,long_short_annualized_vol,long_short_max_drawdown,long_short_positive_month_rate,coverage_rate,redundancy_level,nearest_redundant_factor,redundancy_source,decision_bucket,recommended_action,source_warning
mom_20h,momentum,CANDIDATE,"c,l,o,s,e",positive,4h,-0.03002985,0.16473261,-0.182295,-24.3102,0.04,0.00056482,0.00093592,2.09055675,1.2369558,0.00324212,-0.0007664,0.72,0.99839578,NEAR_DUPLICATE,q158_roc_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
reversal_5h,momentum,CANDIDATE,"c,l,o,s,e",positive,1h,0.03232238,0.16119371,0.200519,26.7533,0.96,1.638e-05,0.00025102,0.22604567,0.1434888,0.00086956,-0.00091174,0.48,0.99959895,NEAR_DUPLICATE,mom_5h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
volatility_20h,volatility,CANDIDATE,"c,l,o,s,e",negative,72h,0.1000624,0.209769,0.477012,-63.491,0.96,-0.00577378,0.01856009,-1.07763274,-0.70247657,0.06429404,-0.18700633,0.4,0.99839578,HIGH_REDUNDANCY,wvma_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
rsi_14h,technical,CANDIDATE,"c,l,o,s,e",negative,4h,0.03355402,0.14467608,0.231925,-30.934,0.96,-0.00042459,0.00084026,-1.75043785,-0.9298521,0.00291075,-0.01097407,0.28,0.99887705,HIGH_REDUNDANCY,rsi_7h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
bb_zscore_20h,technical,CANDIDATE,"c,l,o,s,e",negative,4h,0.03344427,0.14026555,0.238435,-31.7978,1.0,-0.00029904,0.00068646,-1.50905362,-0.6548976,0.00237797,-0.00833525,0.36,0.99580129,NEAR_DUPLICATE,q158_rank_close_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
wq101_alpha101,wq101,DIAGNOSTIC_ONLY,"o,p,e,n,;, ,h,i,g,h,;, ,l,o,w,;, ,c,l,o,s,e",conditional,1h,-0.0253921,0.11690964,-0.217194,-28.9814,0.0,-8.831e-05,0.00023386,-1.30811089,-0.7735956,0.00081011,-0.00250657,0.44,1.0,HIGH_REDUNDANCY,intraday_ret,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
wq101_alpha12,wq101,DIAGNOSTIC_ONLY,"v,o,l,u,m,e,;, ,c,l,o,s,e",conditional,4h,0.00829002,0.09781487,0.084752,11.308,0.92,-9.435e-05,0.00029965,-1.09073248,-0.2066265,0.00103802,-0.00283547,0.56,0.99991979,LOW_REDUNDANCY,range_breakout_vol_confirm_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
wq101_alpha53,wq101,DIAGNOSTIC_ONLY,"h,i,g,h,;, ,l,o,w,;, ,c,l,o,s,e",conditional,1h,0.01810015,0.10959291,0.165158,22.033,1.0,7.01e-05,0.00019242,1.26199731,0.614076,0.00066656,-0.0005872,0.72,0.9992781,LOW_REDUNDANCY,q158_ksft_open,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
q158_high_low_range,alpha158,DIAGNOSTIC_ONLY,"h,i,g,h,;, ,l,o,w,;, ,c,l,o,s,e",conditional,72h,-0.09089448,0.19446163,-0.467416,-62.2471,0.08,0.00550268,0.01773909,1.07456711,0.66949273,0.06145001,-0.05697193,0.64,1.0,NEAR_DUPLICATE,range_1h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
q158_klen_open,,,,,72h,-0.09091469,0.19440028,-0.467667,-62.2806,0.08,0.00551024,0.01776481,1.07448553,0.67041253,0.06153911,-0.05660744,0.64,1.0,NEAR_DUPLICATE,q158_high_low_range,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
