factor_id,has_quality_scorecard,has_diagnostics_summary,has_redundancy_summary,has_redundancy_cluster_members,has_marginal_information,has_paper_summary,has_fee_sensitivity,has_regime_exposure,has_quantile_shape,has_rolling_stability,has_decile_shape,has_capacity_liquidity,n_available_evidence_blocks,n_required_evidence_blocks,evidence_completeness_rate,evidence_status,missing_evidence_blocks,stale_evidence_blocks,has_factor_values,has_factor_level_evaluation,has_unified_profile,registry_or_data_status
amihud_illiquidity_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
bb_zscore_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
breakout_dist_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
breakout_dist_48h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
candle_body,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
candle_wick_lower,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
candle_wick_upper,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
downside_vol_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
ema_12_26_gap,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
funding_rate_change_24h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
funding_rate_level_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
funding_rate_zscore_80h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
intraday_ret,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
klow_close,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
ksft_5h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
ma_gap_10_40,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
ma_gap_20_80,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
ma_gap_5_20,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_10h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_120h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_40h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_5h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_72h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
mom_accel_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
price_pos_120h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
price_pos_24h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
price_pos_72h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
price_volume_corr_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
q158_high_low_range,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
qvol_ma_ratio_20_80,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
qvol_ma_ratio_5_20,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
qvol_zscore_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
qvol_zscore_48h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
range_1h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
range_24h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
range_4h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
realized_kurt_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
realized_skew_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rev_10h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rev_1h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rev_24h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rev_3h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rev_72h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
reversal_5h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rsi_14h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rsi_28h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
rsi_7h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
taker_buy_delta_5h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
taker_buy_ratio_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
taker_buy_zscore_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
tech_atr,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
tech_macd,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
trend_efficiency_24h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_40h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_5h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_of_vol_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_ratio_20_80,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_ratio_5_20,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_ret_corr_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_zscore_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vol_zscore_48h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
volatility_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
vwap_dev_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
williams_r_14h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
wq101_alpha101,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
wq101_alpha12,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
wq101_alpha53,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
wvma_20h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
xs_rank_ret_1h,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
xs_rank_vol,True,True,True,True,True,True,True,True,True,True,True,True,12,12,1.0,COMPLETE,,,False,False,True,UNKNOWN
