factor_id,horizon,n_windows,window_ls_mean,window_ls_std,window_ls_win_rate,window_ls_ann_edge,window_ls_ann_vol,window_ls_sharpe,bars_per_year,overlap_warning,nonoverlap_available,nonoverlap_n_windows,nonoverlap_window_ls_win_rate
a101_vol_xs_z_product_112h,1h,25,-1.1076e-05,0.0001740025,0.56,-0.09702576,0.0162857417,-5.9577120929,8760.0,LOW_OVERLAP,True,25,0.56
a101_vol_xs_z_product_112h,24h,25,-0.0004080744,0.0043935094,0.6,-0.148947156,0.0839378792,-1.7744927245,365.0,HIGH_OVERLAP,True,25,0.6
a101_vol_xs_z_product_112h,4h,25,-5.619e-05,0.0007034399,0.56,-0.1230561,0.0329191836,-3.7381273356,2190.0,MODERATE_OVERLAP,True,25,0.56
a101_vol_xs_z_product_112h,72h,25,0.00030846,0.0120241322,0.56,0.0375293,0.1326293213,0.2829638245,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.6666666667
a101_volume_cap_alpha_min_56_84,1h,25,9.08196e-05,0.0001167227,0.76,0.795579696,0.0109246461,72.824299007,8760.0,LOW_OVERLAP,True,25,0.76
a101_volume_cap_alpha_min_56_84,24h,25,0.0009953976,0.0026909938,0.72,0.363320124,0.0514113644,7.0669224307,365.0,HIGH_OVERLAP,True,25,0.72
a101_volume_cap_alpha_min_56_84,4h,25,0.0003464408,0.0004675917,0.76,0.758705352,0.0218820926,34.672431324,2190.0,MODERATE_OVERLAP,True,25,0.76
a101_volume_cap_alpha_min_56_84,72h,25,0.002250532,0.0066568272,0.68,0.2738147267,0.0734265441,3.7290972884,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.7777777778
a101_volume_cap_alpha_min_80_80,1h,25,6.76648e-05,0.0001062552,0.64,0.592743648,0.0099449418,59.6025255378,8760.0,LOW_OVERLAP,True,25,0.64
a101_volume_cap_alpha_min_80_80,24h,25,0.0010055192,0.0031335811,0.72,0.367014508,0.0598669829,6.1304994923,365.0,HIGH_OVERLAP,True,25,0.72
a101_volume_cap_alpha_min_80_80,4h,25,0.000261178,0.000470989,0.68,0.57197982,0.0220410775,25.9506287715,2190.0,MODERATE_OVERLAP,True,25,0.68
a101_volume_cap_alpha_min_80_80,72h,25,0.001733804,0.0089400307,0.64,0.2109461533,0.0986108756,2.1391773683,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.6666666667
a101_volume_high_alpha_min_84_84,1h,25,2.68724e-05,0.0001038781,0.6,0.235402224,0.0097224574,24.2122144037,8760.0,LOW_OVERLAP,True,25,0.6
a101_volume_high_alpha_min_84_84,24h,25,0.0006869032,0.0022250917,0.64,0.250719668,0.0425103172,5.8978545511,365.0,HIGH_OVERLAP,True,25,0.64
a101_volume_high_alpha_min_84_84,4h,25,0.000108462,0.0003960077,0.64,0.23753178,0.0185321449,12.8172848273,2190.0,MODERATE_OVERLAP,True,25,0.64
a101_volume_high_alpha_min_84_84,72h,25,0.0022042056,0.0061972734,0.68,0.268178348,0.0683575456,3.9231711092,121.66666666666667,VERY_HIGH_OVERLAP,True,9,1.0
a101_volume_low_alpha_min_84_120,1h,25,2.06976e-05,0.0001052579,0.52,0.181310976,0.0098515996,18.4042168384,8760.0,LOW_OVERLAP,True,25,0.52
a101_volume_low_alpha_min_84_120,24h,25,0.0007430912,0.0029721669,0.6,0.271228288,0.0567831689,4.776561317,365.0,HIGH_OVERLAP,True,25,0.6
a101_volume_low_alpha_min_84_120,4h,25,8.9444e-05,0.0004235998,0.56,0.19588236,0.0198233845,9.8813782493,2190.0,MODERATE_OVERLAP,True,25,0.56
a101_volume_low_alpha_min_84_120,72h,25,0.0018058972,0.0091568439,0.56,0.2197174927,0.1010023819,2.1753694182,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.7777777778
a101_volume_xs_z_mean_neg_112h,1h,25,1.1792e-06,0.0001502779,0.6,0.010329792,0.0140652408,0.7344198492,8760.0,LOW_OVERLAP,True,25,0.6
a101_volume_xs_z_mean_neg_112h,24h,25,0.0001789232,0.0036402314,0.64,0.065306968,0.0695465232,0.9390400117,365.0,HIGH_OVERLAP,True,25,0.64
a101_volume_xs_z_mean_neg_112h,4h,25,2.99504e-05,0.0005909438,0.64,0.065591376,0.0276546546,2.3718023981,2190.0,MODERATE_OVERLAP,True,25,0.64
a101_volume_xs_z_mean_neg_112h,72h,25,0.0014829232,0.010542366,0.6,0.1804223227,0.1162850528,1.5515521411,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.6666666667
amihud_illiquidity_20h,1h,25,-9.31976e-05,0.0001329661,0.24,-0.816410976,0.0124449451,-65.601814376,8760.0,LOW_OVERLAP,True,25,0.24
amihud_illiquidity_20h,24h,25,-0.0021988404,0.0031234918,0.24,-0.802576746,0.059674227,-13.4493027506,365.0,HIGH_OVERLAP,True,25,0.24
amihud_illiquidity_20h,4h,25,-0.0003957352,0.0005359751,0.2,-0.866660088,0.0250822603,-34.5527108005,2190.0,MODERATE_OVERLAP,True,25,0.2
amihud_illiquidity_20h,72h,25,-0.0079181976,0.0103763787,0.24,-0.963380708,0.1144541695,-8.4171744219,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.1111111111
bb_zscore_20h,1h,25,-3.36772e-05,0.0002181716,0.32,-0.295012272,0.0204197429,-14.4474038403,8760.0,LOW_OVERLAP,True,25,0.32
bb_zscore_20h,24h,25,-0.0017765768,0.0034928127,0.36,-0.648450532,0.0667300929,-9.7175127961,365.0,HIGH_OVERLAP,True,25,0.36
bb_zscore_20h,4h,25,-0.0002990388,0.0006864591,0.36,-0.654894972,0.0321245257,-20.3861367019,2190.0,MODERATE_OVERLAP,True,25,0.36
bb_zscore_20h,72h,25,-0.0043882248,0.0076607857,0.28,-0.533900684,0.0845004688,-6.3183162334,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.3333333333
breakout_dist_20h,1h,25,4.36204e-05,0.0001963407,0.6,0.382114704,0.0183764826,20.7936802686,8760.0,LOW_OVERLAP,True,25,0.6
breakout_dist_20h,24h,25,0.001628438,0.0036661754,0.68,0.59437987,0.0700421827,8.4860272387,365.0,HIGH_OVERLAP,True,25,0.68
breakout_dist_20h,4h,25,0.0002803644,0.0006736896,0.64,0.613998036,0.0315269458,19.4753414885,2190.0,MODERATE_OVERLAP,True,25,0.64
breakout_dist_20h,72h,25,0.0047314764,0.0072445144,0.72,0.575662962,0.0799088876,7.2039916884,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.5555555556
breakout_dist_48h,1h,25,4.5626e-05,0.0002136278,0.64,0.39968376,0.0199944665,19.9897186326,8760.0,LOW_OVERLAP,True,25,0.64
breakout_dist_48h,24h,25,0.0017456464,0.0046836985,0.56,0.637160936,0.0894819342,7.120553905,365.0,HIGH_OVERLAP,True,25,0.56
