factor_id,cluster_id,cluster_size,marginal_information_score,marginal_information_class,redundancy_penalty,quality_component,paper_component,stability_component,regime_component,capacity_component,nearest_better_factor,reason_notes_zh,reason_notes_en
wq101_alpha101,0,6,0.4585,MODERATE_MARGINAL_INFO,0.0978,0.5168,1.0,0.8,0.3,0.4,rev_1h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
q158_ksft_open,0,6,0.3142,LOW_MARGINAL_INFO,0.0475,0.0,1.0,0.5,0.5,0.5,rev_1h,边际信息评分 0.31，增量价值有限,Marginal info score 0.31 — limited incremental value
q158_ksft_range,0,6,0.3142,LOW_MARGINAL_INFO,0.0475,0.0,1.0,0.5,0.5,0.5,rev_1h,边际信息评分 0.31，增量价值有限,Marginal info score 0.31 — limited incremental value
intraday_ret,0,6,0.4225,LOW_MARGINAL_INFO,0.0043,0.5648,1.0,0.6,0.3,0.4,rev_1h,边际信息评分 0.42，增量价值有限,Marginal info score 0.42 — limited incremental value
candle_body,0,6,0.4338,LOW_MARGINAL_INFO,0.04,0.5671,1.0,0.6,0.3,0.4,rev_1h,边际信息评分 0.43，增量价值有限,Marginal info score 0.43 — limited incremental value
rev_1h,0,6,0.561,MODERATE_MARGINAL_INFO,0.0043,0.7587,1.0,0.8,1.0,0.4,,边际信息评分 0.56，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.56 — some incremental value but overlaps with cluster peers
rev_3h,1,1,0.7221,DISTINCT_SINGLETON,0.2397,0.7441,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_5h,2,1,0.6325,DISTINCT_SINGLETON,0.2165,0.7401,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
q158_klow_open,3,2,0.3,LOW_MARGINAL_INFO,0.0001,0.0,1.0,0.5,0.5,0.5,klow_close,边际信息评分 0.30，增量价值有限,Marginal info score 0.30 — limited incremental value
klow_close,3,2,0.5489,MODERATE_MARGINAL_INFO,0.0001,0.7156,1.0,0.8,1.0,0.4,,边际信息评分 0.55，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.55 — some incremental value but overlaps with cluster peers
mom_20h,4,17,0.4872,MODERATE_MARGINAL_INFO,0.0282,0.715,1.0,0.8,0.3,0.4,,边际信息评分 0.49，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.49 — some incremental value but overlaps with cluster peers
reversal_5h,4,17,0.5487,MODERATE_MARGINAL_INFO,0.0,0.7148,1.0,0.8,1.0,0.4,mom_20h,边际信息评分 0.55，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.55 — some incremental value but overlaps with cluster peers
rsi_14h,4,17,0.5349,MODERATE_MARGINAL_INFO,0.0608,0.6665,1.0,0.6,1.0,0.4,mom_20h,边际信息评分 0.53，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.53 — some incremental value but overlaps with cluster peers
bb_zscore_20h,4,17,0.53,MODERATE_MARGINAL_INFO,0.0335,0.6797,1.0,0.6,1.0,0.4,mom_20h,边际信息评分 0.53，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.53 — some incremental value but overlaps with cluster peers
