factor_id,profile_score,comp_standalone_quality,comp_paper,comp_cost,comp_regime,comp_shape,comp_stability,comp_capacity,comp_redundancy,comp_marginal_info,comp_evidence_completeness,weight_standalone_quality,weight_paper,weight_cost,weight_regime,weight_shape,weight_stability,weight_capacity,weight_redundancy,weight_marginal_info,weight_evidence_completeness
a101_vol_xs_z_product_112h,47.72,65.93,30.0,30.0,35.0,25.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
a101_volume_cap_alpha_min_56_84,65.77,72.03,95.0,30.0,35.0,55.0,90.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
a101_volume_cap_alpha_min_80_80,64.86,70.36,95.0,70.0,35.0,25.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
a101_volume_high_alpha_min_84_84,61.88,72.1,50.0,70.0,50.0,40.0,90.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
a101_volume_low_alpha_min_84_120,49.65,70.25,15.0,10.0,35.0,25.0,90.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
a101_volume_xs_z_mean_neg_112h,50.13,67.64,30.0,30.0,35.0,25.0,90.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
amihud_illiquidity_20h,71.07,58.19,95.0,70.0,90.0,55.0,55.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
bb_zscore_20h,44.25,66.64,15.0,10.0,90.0,55.0,15.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
breakout_dist_20h,45.84,64.38,50.0,10.0,35.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
breakout_dist_48h,48.71,65.03,50.0,10.0,35.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
candle_body,42.32,55.38,30.0,30.0,35.0,95.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
candle_wick_lower,37.82,44.27,30.0,30.0,50.0,55.0,15.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
candle_wick_upper,54.53,49.89,50.0,10.0,50.0,95.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
