factor_id,horizon,horizon_hours,n_months,rankic_mean,rankic_std,naive_t_stat,naive_n_periods,monthly_naive_t_stat,robust_standard_error,robust_t_stat,robust_p_value,effective_n_proxy,nw_lag,overlap_ratio,tstat_inflation_ratio,significance_class_naive,significance_class_robust,overlap_warning
a101_vol_xs_z_product_112h,1h,1,25,0.01671583,0.00528373,18.5895,17583,15.8182,0.00099878,16.7362,0.0,29.03,1,0.0014,1.1107,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_vol_xs_z_product_112h,4h,4,25,0.02534058,0.00818271,27.924,17581,15.4842,0.00122628,20.6646,0.0,753.14,4,0.0056,1.3513,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_vol_xs_z_product_112h,24h,24,25,0.04564834,0.02136813,48.4838,17561,10.6814,0.00283086,16.1253,0.0,25.0,5,0.0333,3.0067,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_vol_xs_z_product_112h,72h,72,25,0.05600702,0.03984856,59.3794,17513,7.0275,0.00549812,10.1866,0.0,156.14,5,0.1,5.8292,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
a101_volume_cap_alpha_min_56_84,1h,1,25,0.01559339,0.0050714,16.1959,17381,15.3739,0.0010856,14.3639,0.0,18.03,1,0.0014,1.1275,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_volume_cap_alpha_min_56_84,4h,4,25,0.02460158,0.00717021,25.2604,17379,17.1554,0.00122379,20.1028,0.0,61.69,4,0.0056,1.2566,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_volume_cap_alpha_min_56_84,24h,24,25,0.04547635,0.02141143,46.3691,17359,10.6196,0.00273702,16.6153,0.0,83.6,5,0.0333,2.7908,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_volume_cap_alpha_min_56_84,72h,72,25,0.05519045,0.03631102,55.6767,17311,7.5997,0.00386517,14.2789,0.0,466.75,5,0.1,3.8992,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
a101_volume_cap_alpha_min_80_80,1h,1,25,0.01568547,0.004539,16.6703,17361,17.2785,0.00091698,17.1055,0.0,22.21,1,0.0014,0.9746,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_volume_cap_alpha_min_80_80,4h,4,25,0.02542139,0.00767469,26.481,17359,16.5618,0.00134809,18.8573,0.0,34.34,4,0.0056,1.4043,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_volume_cap_alpha_min_80_80,24h,24,25,0.0475006,0.01909671,49.5444,17339,12.4369,0.00262381,18.1037,0.0,81.54,5,0.0333,2.7367,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_volume_cap_alpha_min_80_80,72h,72,25,0.05652832,0.03155028,58.9937,17291,8.9585,0.00336236,16.8121,0.0,173.6,5,0.1,3.509,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
a101_volume_high_alpha_min_84_84,1h,1,25,0.01648188,0.0044584,17.5972,17640,18.4841,0.00100085,16.4679,0.0,15.39,1,0.0014,1.0686,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_volume_high_alpha_min_84_84,4h,4,25,0.02564316,0.0067772,26.9734,17638,18.9187,0.00128937,19.8881,0.0,19.76,4,0.0056,1.3563,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_volume_high_alpha_min_84_84,24h,24,25,0.04712578,0.01878378,48.3433,17618,12.5443,0.00283728,16.6095,0.0,31.08,5,0.0333,2.9106,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_volume_high_alpha_min_84_84,72h,72,25,0.05776444,0.0277087,59.409,17570,10.4235,0.0032496,17.7758,0.0,71.33,5,0.1,3.3421,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
