factor_id,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return,regime_dependency_class,main_regime_note_zh,main_regime_note_en
amihud_illiquidity_20h,-0.06926878842378659,-0.059029243012579925,-0.016947596443831058,-0.0008770822783154392,0.12084328966605604,-0.011527274931428487,0.03764649961372849,0.08591093939188202,REGIME_ROBUST,跨市场稳健,Regime-robust
bb_zscore_20h,0.011075155532920343,0.014207193863869915,0.003536818074788127,0.00013294313382052915,-0.07043438013261581,0.018642563689537144,-0.05935633859305804,0.08281070530070452,VOL_DEPENDENT,波动率依赖,Volatility-dependent
breakout_dist_20h,-0.15562764962705192,-0.18282933684966568,-0.04667524976214304,-0.0017237883718643867,-0.11470302400133436,-0.08686387825643857,0.019237566251899735,0.12396249881600985,BEAR_DEPENDENT,熊市依赖,Bear-dependent
breakout_dist_48h,-0.07218163067235998,-0.09184855367841216,0.020894391605666356,0.0010481505813728696,-0.10829199582972208,-0.044386585528485324,-0.012969534631651278,0.12332847584373,REGIME_ROBUST,跨市场稳健,Regime-robust
candle_body,-0.11807444000364797,-0.1442293896673292,-0.0121910875862617,-0.00016048092157972525,-0.0020808726155119176,-0.09543545095079263,0.08904862023813433,0.029725988301781858,BEAR_DEPENDENT,熊市依赖,Bear-dependent
candle_wick_lower,0.3270046822537615,0.4248156853219211,-0.11072239067543828,-0.0013265796085587778,0.06771710849706683,0.07314479173852252,0.10777179766267622,-0.0620946517941809,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
candle_wick_upper,0.15059315343939497,0.22095060025730529,0.12681805739452884,0.002171310869277538,-0.13293102637324108,0.06686289589833322,-0.17303265919090496,0.03650930312184053,BULL_DEPENDENT,牛市依赖,Bull-dependent
downside_vol_20h,0.1575816796315461,0.24658305795493177,-0.09532580060275536,-0.0073634636195061744,0.08891912673703295,0.11484644399419487,-0.1486265941793285,0.08354869393476559,BULL_DEPENDENT,牛市依赖,Bull-dependent
ema_12_26_gap,-0.027694434553029702,-0.03596101907442506,0.11689807923655449,0.007084368862719443,-0.12271102867692887,0.006040039244523121,-0.11016740459409301,-0.042266680525258504,VOL_DEPENDENT,波动率依赖,Volatility-dependent
funding_rate_change_24h,0.5074522775695922,0.4598201880286469,-0.14107255667164906,-0.0030696242148621883,-0.021600354869888417,0.04948546552490593,0.025754357922243527,-0.030870749841072923,REGIME_ROBUST,跨市场稳健,Regime-robust
funding_rate_level_20h,-0.010312145604348665,-0.015220463347414712,0.02433042806122468,0.002178905180125119,-0.07885739846859634,0.055743769190378274,-0.03681162800122674,0.12826990234067093,BULL_DEPENDENT,牛市依赖,Bull-dependent
funding_rate_zscore_80h,0.18764552810877944,0.16570188939501895,-0.25338921827205085,-0.011493001563845176,0.1723977321904396,-0.018420272717775108,0.015292969248455683,-0.01267413336467087,REGIME_ROBUST,跨市场稳健,Regime-robust
intraday_ret,-0.04255038432148359,-0.06668825690095526,-0.007326958845421411,-0.0001137505624538318,-0.01576854048174276,-0.046060249002238554,0.04659487955946495,0.11504621542680755,REGIME_ROBUST,跨市场稳健,Regime-robust
klow_close,0.3066518853203889,0.3138967816725366,0.06797104348501128,0.003438616150724251,0.12666405238093875,0.08819724894512802,-0.0036571724513782475,0.030637848852581886,BULL_DEPENDENT,牛市依赖,Bull-dependent
ksft_5h,0.08952691670921159,0.07459558296785154,0.17373153706250716,0.0022048807834744275,0.06435394395794812,0.024576114269445056,-0.08175834218364192,0.0029724312491851406,VOL_DEPENDENT,波动率依赖,Volatility-dependent
ma_gap_10_40,-0.14897175101344554,-0.166334739967809,0.04708313363096142,0.002614846483002971,-0.17654752290983824,-0.030434743037541262,-0.07991902771525144,-0.003619213378789121,VOL_DEPENDENT,波动率依赖,Volatility-dependent
ma_gap_20_80,0.002429619299148494,0.003002205596843489,0.1283649833358861,0.008945793192936362,-0.06825702165151491,-0.018272750927311704,-0.029190047676624413,0.020152953649366222,REGIME_ROBUST,跨市场稳健,Regime-robust
ma_gap_5_20,-0.06403982545873703,-0.0760314991371211,0.0650924692152028,0.002784307203656677,-0.12224927299159659,0.008994835153440045,-0.12940779100800096,0.015741202219697673,VOL_DEPENDENT,波动率依赖,Volatility-dependent
mom_10h,-0.07055177230252328,-0.09020741005124969,0.027985292815535752,0.0010534050980298727,-0.0955754480060075,0.02319809005354201,-0.1289330111786211,-0.006975453437802268,VOL_DEPENDENT,波动率依赖,Volatility-dependent
mom_120h,0.09717685966293149,0.09120242467735037,0.11883249877499373,0.007820863251460385,-0.05876521860630608,-0.011263003875759243,-0.0220403201033698,0.04735729655805344,REGIME_ROBUST,跨市场稳健,Regime-robust
mom_20h,0.10241425294607642,0.13946166272408303,0.0406398936761348,0.0019928684790258685,-0.1428272833640283,0.045886989039870596,-0.131014708011067,0.02468713816918469,VOL_DEPENDENT,波动率依赖,Volatility-dependent
mom_40h,-0.16827058102125972,-0.221234186889489,0.10338560050067869,0.006239694639036917,-0.12004266662785548,-0.048287509774586596,-0.008554176429245337,0.002050657936312858,REGIME_ROBUST,跨市场稳健,Regime-robust
mom_5h,-0.16136910171992666,-0.23155177747012357,-0.0004545478400603323,-1.3269203090876959e-05,-0.05672260239173143,-0.06340375334607493,0.033207437692109786,0.05865519065474559,BEAR_DEPENDENT,熊市依赖,Bear-dependent
mom_72h,-0.039263510772818304,-0.04587816605973158,0.10906505811315918,0.007378498181214073,-0.08913997382597481,-0.021142081222034516,-0.06642896653831498,0.06714695352354694,VOL_DEPENDENT,波动率依赖,Volatility-dependent
mom_accel_20h,0.1524880595675174,0.20923330042953156,-0.030143410143349588,-0.0005117331022443243,0.08860696047449852,0.05523584610756657,-0.032714464685010256,0.07593348397571086,BULL_DEPENDENT,牛市依赖,Bull-dependent
price_pos_120h,0.08666257526605875,0.1091561471162868,0.11250796339226406,0.006593267615433083,0.0033076915490932884,-0.01762837692983718,-0.02090471955577515,0.11144121200417374,REGIME_ROBUST,跨市场稳健,Regime-robust
price_pos_24h,-0.22038906953186713,-0.25757226986326115,-0.04429580909812367,-0.0018553649849644574,-0.11903275001405532,-0.11140403942311268,0.02084406380815469,0.12957903929487244,BEAR_DEPENDENT,熊市依赖,Bear-dependent
