factor_id,horizon,n_months,rolling_ic_3m_mean_latest,rolling_ic_3m_min,rolling_ic_3m_max,rolling_ls_3m_mean_latest,rolling_ic_6m_mean_latest,rolling_ic_6m_min,rolling_ic_6m_max,rolling_ls_6m_mean_latest,ic_positive_month_rate,ls_positive_month_rate,recent_6m_ic_mean,full_period_ic_mean,recent_vs_full_ic_delta,recent_6m_ls_mean,full_period_ls_mean,recent_vs_full_ls_delta,stability_score,stability_class,main_stability_note_zh,main_stability_note_en
amihud_illiquidity_20h,1h,25,0.001005,2.2e-05,0.01336,-4.069e-05,0.000926,0.000926,0.010405,-0.00012328,0.72,0.24,0.000926,0.0043,-0.003373,-0.00012328,-9.32e-05,-3.009e-05,74.7,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
amihud_illiquidity_20h,24h,25,0.017608,-0.006722,0.032804,-0.00276117,0.018601,-0.001692,0.029043,-0.00323199,0.68,0.24,0.018601,0.012346,0.006255,-0.00323199,-0.00219884,-0.00103315,75.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
amihud_illiquidity_20h,4h,25,0.005429,-0.001381,0.01874,-0.00032018,0.006071,0.001395,0.014909,-0.0005538,0.8,0.2,0.006071,0.007317,-0.001245,-0.0005538,-0.00039574,-0.00015806,77.4,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
amihud_illiquidity_20h,72h,25,0.042168,-0.016549,0.057801,-0.01331821,0.039672,-0.010231,0.052375,-0.01374407,0.68,0.24,0.039672,0.016744,0.022928,-0.01374407,-0.0079182,-0.00582588,75.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
bb_zscore_20h,1h,25,-0.029997,-0.04278,-0.018776,-6.914e-05,-0.029568,-0.036314,-0.023512,-0.00010036,0.0,0.32,-0.029568,-0.030317,0.000749,-0.00010036,-3.368e-05,-6.668e-05,56.4,UNSTABLE_SIGN_FLIP,因子信号方向不稳定，不建议单独使用,Factor signal direction is unstable — not recommended standalone
bb_zscore_20h,24h,25,-0.024309,-0.047386,0.0015,-0.00521899,-0.02898,-0.04198,-0.013466,-0.00354959,0.16,0.36,-0.02898,-0.024039,-0.004942,-0.00354959,-0.00177658,-0.00177301,59.5,UNSTABLE_SIGN_FLIP,因子信号方向不稳定，不建议单独使用,Factor signal direction is unstable — not recommended standalone
bb_zscore_20h,4h,25,-0.034837,-0.045931,-0.019047,-0.00058388,-0.034712,-0.040259,-0.025273,-0.00059767,0.0,0.36,-0.034712,-0.033015,-0.001697,-0.00059767,-0.00029904,-0.00029863,56.4,UNSTABLE_SIGN_FLIP,因子信号方向不稳定，不建议单独使用,Factor signal direction is unstable — not recommended standalone
bb_zscore_20h,72h,25,-0.011437,-0.032792,0.007326,-0.0121575,-0.010711,-0.026175,-0.003278,-0.00875504,0.2,0.28,-0.010711,-0.013954,0.003243,-0.00875504,-0.00438822,-0.00436681,61.6,UNSTABLE_SIGN_FLIP,因子信号方向不稳定，不建议单独使用,Factor signal direction is unstable — not recommended standalone
breakout_dist_20h,1h,25,-0.024903,-0.030247,-0.009212,5.635e-05,-0.023113,-0.025527,-0.015298,0.00015071,0.04,0.6,-0.023113,-0.021292,-0.00182,0.00015071,4.362e-05,0.00010709,62.3,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
breakout_dist_20h,24h,25,-0.007101,-0.035752,0.016876,0.00621039,-0.014018,-0.025138,0.001511,0.00386022,0.32,0.68,-0.014018,-0.006941,-0.007077,0.00386022,0.00162844,0.00223178,69.7,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
breakout_dist_20h,4h,25,-0.026131,-0.031242,-0.005932,0.00033593,-0.02406,-0.02928,-0.013528,0.00057431,0.12,0.64,-0.02406,-0.020302,-0.003759,0.00057431,0.00028036,0.00029395,64.5,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
breakout_dist_20h,72h,25,0.004866,-0.018279,0.025673,0.01428703,0.002893,-0.007039,0.015701,0.00927292,0.52,0.72,0.002893,0.003383,-0.00049,0.00927292,0.00473148,0.00454145,79.8,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
breakout_dist_48h,1h,25,-0.015245,-0.028957,-0.00558,0.00019172,-0.015332,-0.022527,-0.013076,0.00020003,0.04,0.64,-0.015332,-0.017289,0.001957,0.00020003,4.563e-05,0.00015441,64.0,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
breakout_dist_48h,24h,25,-0.004698,-0.037508,0.017162,0.00761889,-0.008407,-0.024255,0.002721,0.00559315,0.36,0.56,-0.008407,-0.009797,0.001389,0.00559315,0.00174565,0.00384751,72.0,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
