factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
amihud_illiquidity_20h,1h,2024-06,-0.00627,-0.00627,-0.00627,8.895e-05,8.895e-05,8.895e-05
amihud_illiquidity_20h,1h,2024-07,0.0044,-0.000935,-0.000935,8.02e-06,4.848e-05,4.848e-05
amihud_illiquidity_20h,1h,2024-08,0.008927,0.002352,0.002352,-4.431e-05,1.755e-05,1.755e-05
amihud_illiquidity_20h,1h,2024-09,0.014525,0.009284,0.005395,-0.0001117,-4.933e-05,-1.476e-05
amihud_illiquidity_20h,1h,2024-10,0.00707,0.010174,0.00573,-2.243e-05,-5.948e-05,-1.629e-05
amihud_illiquidity_20h,1h,2024-11,0.018486,0.01336,0.007856,-7.176e-05,-6.863e-05,-2.554e-05
amihud_illiquidity_20h,1h,2024-12,0.004747,0.010101,0.009692,-0.00013952,-7.79e-05,-6.362e-05
amihud_illiquidity_20h,1h,2025-01,0.00672,0.009984,0.010079,0.00010177,-3.65e-05,-4.799e-05
amihud_illiquidity_20h,1h,2025-02,0.010881,0.007449,0.010405,-0.00011596,-5.124e-05,-5.993e-05
amihud_illiquidity_20h,1h,2025-03,0.002113,0.006572,0.008336,-0.000114,-4.273e-05,-6.032e-05
amihud_illiquidity_20h,1h,2025-04,0.009114,0.00737,0.008677,-0.00020638,-0.00014545,-9.098e-05
amihud_illiquidity_20h,1h,2025-05,-0.002239,0.002996,0.005223,-0.00010241,-0.00014093,-9.608e-05
amihud_illiquidity_20h,1h,2025-06,0.003244,0.003373,0.004972,-4.278e-05,-0.00011719,-7.996e-05
amihud_illiquidity_20h,1h,2025-07,-0.000939,2.2e-05,0.003696,-0.00010739,-8.419e-05,-0.00011482
amihud_illiquidity_20h,1h,2025-08,0.004763,0.002356,0.002676,-0.00011583,-8.867e-05,-0.0001148
amihud_illiquidity_20h,1h,2025-09,-0.00033,0.001165,0.002269,0.00017606,-1.572e-05,-6.645e-05
amihud_illiquidity_20h,1h,2025-10,0.003198,0.002544,0.001283,-0.00024203,-6.06e-05,-7.24e-05
amihud_illiquidity_20h,1h,2025-11,0.009172,0.004013,0.003185,-8.707e-05,-5.101e-05,-6.984e-05
amihud_illiquidity_20h,1h,2025-12,0.004351,0.005574,0.003369,-0.00044146,-0.00025685,-0.00013629
amihud_illiquidity_20h,1h,2026-01,0.003874,0.005799,0.004171,-0.00017095,-0.00023316,-0.00014688
amihud_illiquidity_20h,1h,2026-02,-0.000209,0.002672,0.003343,-0.00019005,-0.00026749,-0.00015925
amihud_illiquidity_20h,1h,2026-03,-0.001121,0.000848,0.003211,-0.00025665,-0.00020588,-0.00023137
amihud_illiquidity_20h,1h,2026-04,0.004827,0.001166,0.003482,-0.0002175,-0.0002214,-0.00022728
amihud_illiquidity_20h,1h,2026-05,-0.003415,9.7e-05,0.001385,1.491e-05,-0.00015308,-0.00021028
amihud_illiquidity_20h,1h,2026-06,0.001602,0.001005,0.000926,8.053e-05,-4.069e-05,-0.00012328
amihud_illiquidity_20h,24h,2024-06,-0.042895,-0.042895,-0.042895,0.00214094,0.00214094,0.00214094
amihud_illiquidity_20h,24h,2024-07,0.020256,-0.01132,-0.01132,0.00050385,0.0013224,0.0013224
amihud_illiquidity_20h,24h,2024-08,0.021671,-0.000323,-0.000323,-0.00129367,0.00045037,0.00045037
amihud_illiquidity_20h,24h,2024-09,0.036071,0.025999,0.008776,-0.00179505,-0.00086162,-0.00011098
amihud_illiquidity_20h,24h,2024-10,0.008608,0.022117,0.008742,7.898e-05,-0.00100325,-7.299e-05
amihud_illiquidity_20h,24h,2024-11,0.040564,0.028414,0.014046,-0.00081451,-0.00084353,-0.00019658
amihud_illiquidity_20h,24h,2024-12,0.021565,0.023579,0.024789,-0.003103,-0.00127951,-0.00107057
amihud_illiquidity_20h,24h,2025-01,-0.010008,0.017374,0.019745,-0.00021226,-0.00137659,-0.00118992
amihud_illiquidity_20h,24h,2025-02,0.032874,0.01481,0.021612,-0.00246959,-0.00192828,-0.0013859
amihud_illiquidity_20h,24h,2025-03,-0.010258,0.004202,0.013891,-0.00159261,-0.00142482,-0.00135216
amihud_illiquidity_20h,24h,2025-04,0.030027,0.017547,0.017461,-0.00588878,-0.00331699,-0.00234679
amihud_illiquidity_20h,24h,2025-05,-0.00941,0.003453,0.009132,-0.00211261,-0.003198,-0.00256314
amihud_illiquidity_20h,24h,2025-06,-0.010745,0.003291,0.003746,-0.00010081,-0.00270073,-0.00206278
amihud_illiquidity_20h,24h,2025-07,-1.2e-05,-0.006722,0.005412,-0.00168133,-0.00129825,-0.00230762
amihud_illiquidity_20h,24h,2025-08,0.016557,0.001933,0.002693,-0.00421488,-0.00199901,-0.0025985
amihud_illiquidity_20h,24h,2025-09,-0.010735,0.001936,0.002614,0.00267929,-0.00107231,-0.00188652
amihud_illiquidity_20h,24h,2025-10,0.004195,0.003339,-0.001692,-0.00627931,-0.00260497,-0.00195161
amihud_illiquidity_20h,24h,2025-11,0.030293,0.007918,0.004925,-0.00164469,-0.00174824,-0.00187362
amihud_illiquidity_20h,24h,2025-12,0.028426,0.020971,0.011454,-0.00777903,-0.00523434,-0.00315333
amihud_illiquidity_20h,24h,2026-01,0.039694,0.032804,0.018072,-0.00520518,-0.0048763,-0.00374063
amihud_illiquidity_20h,24h,2026-02,0.003633,0.023918,0.015918,1.599e-05,-0.00432274,-0.00303549
amihud_illiquidity_20h,24h,2026-03,0.015455,0.019594,0.020283,-0.00591925,-0.00370281,-0.00446858
amihud_illiquidity_20h,24h,2026-04,0.056758,0.025282,0.029043,-0.00962298,-0.00517541,-0.00502586
amihud_illiquidity_20h,24h,2026-05,0.001491,0.024568,0.024243,-7.496e-05,-0.00520573,-0.00476423
amihud_illiquidity_20h,24h,2026-06,-0.005424,0.017608,0.018601,0.00141444,-0.00276117,-0.00323199
amihud_illiquidity_20h,4h,2024-06,-0.015884,-0.015884,-0.015884,0.00029216,0.00029216,0.00029216
amihud_illiquidity_20h,4h,2024-07,0.010331,-0.002777,-0.002777,1.588e-05,0.00015402,0.00015402
amihud_illiquidity_20h,4h,2024-08,0.012072,0.002173,0.002173,-0.00012509,6.098e-05,6.098e-05
amihud_illiquidity_20h,4h,2024-09,0.019557,0.013987,0.006519,-0.0004304,-0.00017987,-6.186e-05
amihud_illiquidity_20h,4h,2024-10,0.010223,0.013951,0.00726,-4.468e-05,-0.00020006,-5.843e-05
amihud_illiquidity_20h,4h,2024-11,0.026441,0.01874,0.010457,-0.00031025,-0.00026178,-0.0001004
amihud_illiquidity_20h,4h,2024-12,0.010832,0.015832,0.014909,-0.00057222,-0.00030905,-0.00024446
amihud_illiquidity_20h,4h,2025-01,0.003888,0.01372,0.013835,0.00027359,-0.00020296,-0.00020151
amihud_illiquidity_20h,4h,2025-02,0.016219,0.010313,0.014527,-0.0005653,-0.00028798,-0.00027488
