check,passed,detail
source_exists,True,data/sources/crypto_industry_taxonomy_contract_v1/symbol_taxonomy.csv
source_has_symbol_column,True,symbol column present
source_symbols_unique,True,0 duplicate source symbols
packet_files_exist,True,23 packet files
packet_required_columns,True,All present
packet_symbols_non_empty,True,266/266 non-empty
packet_symbols_unique_across_batches,True,No duplicates
all_source_symbols_in_packets,True,All source symbols covered
no_extra_packet_symbols,True,No extra packet symbols
packet_row_count_matches_source,True,packet_rows=266 source_rows=266
packet_batch_ids_contiguous,True,1..23
packet_row_batch_id_matches_file,True,All rows match packet file batch id
