check,passed,detail
required_columns,True,All present
quality_flag_domain,True,OK/REVIEW/BLOCKED only
has_ok_rows,False,0 OK rows
ok_rows_have_industry,False,0 OK rows missing industry
ok_rows_have_sector,False,0 OK rows missing sector
ok_rows_have_subindustry,False,0 OK rows missing subindustry
required_groups_have_ok_rows,False,"Missing groups with OK rows: ['industry', 'sector', 'subindustry']"
symbol_non_empty,True,266/266 non-empty
symbol_unique,True,No duplicates
ok_rows_have_valid_known_at,True,0 OK rows missing/invalid known_at
ok_rows_have_valid_effective_from,True,0 OK rows missing/invalid effective_from
ok_effective_from_not_after_known_at,True,All OK rows have effective_from <= known_at
ok_rows_known_by_latest_bar,True,No OK rows to check against latest bar
