month,btc_monthly_return,btc_monthly_realized_vol,btc_monthly_max_drawdown,btc_open,btc_close,btc_high,btc_low,btc_rolling_3m_return,btc_drawdown_from_peak,btc_trend_regime,btc_vol_regime,btc_drawdown_regime,combined_regime
2024-06,-0.07083911951543798,0.3579394576823367,-0.17359303135888504,67690.0,62894.9,72144.0,58218.0,,0.0,BEAR,LOW_VOL,NORMAL,BEAR_LOW_VOL
2024-07,0.034690756141860346,0.5081261708460745,-0.15326261904574978,62766.0,64943.4,70081.0,53329.5,,0.0,SIDEWAYS,HIGH_VOL,NORMAL,SIDEWAYS_HIGH_VOL
2024-08,-0.08672823357863102,0.6769673046265745,-0.23785644638131054,64601.8,58999.0,65650.0,48888.0,,-0.09153201095107433,BEAR,HIGH_VOL,NORMAL,BEAR_HIGH_VOL
2024-09,0.07662460830071649,0.43541046586307475,-0.10919984700900931,58941.9,63458.3,66450.0,52510.8,0.008957801029972234,-0.02286760471425886,BULL,LOW_VOL,NORMAL,BULL_LOW_VOL
2024-10,0.11362821458526517,0.40950577545743017,-0.07105143946139303,63309.1,70502.8,73660.0,58900.0,0.08560377189983903,0.0,BULL,LOW_VOL,NORMAL,BULL_LOW_VOL
2024-11,0.37268048787077723,0.554084259918846,-0.08223544732413268,70321.9,96529.5,99660.0,66810.0,0.6361209512025627,0.0,BULL,HIGH_VOL,NORMAL,BULL_HIGH_VOL
2024-12,-0.031158298877119628,0.5505806729821909,-0.1513126465182596,96475.1,93469.1,108366.8,90200.0,0.4729215878773936,-0.031704297649941204,SIDEWAYS,HIGH_VOL,NORMAL,SIDEWAYS_HIGH_VOL
2025-01,0.09261466462994217,0.5411064023080331,-0.11221819448739678,93548.9,102212.9,110000.0,88909.0,0.4497707892452496,0.0,BULL,HIGH_VOL,NORMAL,BULL_HIGH_VOL
2025-02,-0.1784738576104442,0.4954612796088316,-0.22985977534402646,102379.7,84107.6,102734.9,78200.2,-0.12868501338968907,-0.17713321899681933,BEAR,HIGH_VOL,NORMAL,BEAR_HIGH_VOL
2025-03,-0.02286250468566875,0.6326192759713518,-0.17661292033520737,84299.6,82372.3,94971.0,76560.0,-0.11872158820401613,-0.19411052812316243,SIDEWAYS,HIGH_VOL,NORMAL,SIDEWAYS_HIGH_VOL
