check,status,detail
summary_csv_exists,PASS,path=/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/factor_overlapping_sleeve_strategy_summary.csv
manifest_exists,PASS,path=/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/factor_overlapping_sleeve_strategy_manifest.json
required_columns,PASS,missing=[]
no_duplicates,PASS,n_duplicates=0
per_factor_parquet_exists,PASS,missing_parquets=[]
n_return_hours_positive,PASS,n_zero_hours=0
hourly_win_rate_range,PASS,n_out_of_range=0
max_drawdown_lte_zero,PASS,"n_positive_dd=0, max=-0.169100"
ann_vol_nonzero_placeholder,PASS,checked inline
sleeve_count_placeholder,PASS,checked inline
no_prohibited_language,PASS,found=[]
discovery_not_hardcoded,PASS,"n_eligible=50, has_source=True"
conditional_skipped,PASS,n_conditional_ok=0
row_count_reasonable,PASS,"n_eligible=50, n_processed=48"
return_alignment_spot_check,PASS,"parquet has 17768 rows, first_ts=2024-06-05 16:00:00+00:00"
only_missing_preserves_existing,PASS,n_skipped_existing=0
