factor_id,check,status,detail
amihud_illiquidity_20h,factor_values,OK,factor_values.parquet exists
amihud_illiquidity_20h,factor_level_rankic,OK,4 horizon(s)
amihud_illiquidity_20h,period_ic,OK,100 rows
amihud_illiquidity_20h,period_ls,OK,100 rows
amihud_illiquidity_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
amihud_illiquidity_20h,cumulative_ls,OK,100 rows
amihud_illiquidity_20h,paper_payload,OK,Present in payload
amihud_illiquidity_20h,regime_btc,OK,regime=REGIME_ROBUST
amihud_illiquidity_20h,quantile_shape,OK,shape=EXCELLENT_MONOTONIC
amihud_illiquidity_20h,rolling_stability,OK,stability=
amihud_illiquidity_20h,decile_shape,OK,shape=BOTH_TAILS_U_SHAPED
amihud_illiquidity_20h,capacity_liquidity,OK,class=
amihud_illiquidity_20h,pairwise_redundancy,OK,77 pairs
amihud_illiquidity_20h,cluster,OK,cluster=0
amihud_illiquidity_20h,marginal_info,OK,novelty=LIKELY_DISTINCT
amihud_illiquidity_20h,scorecard_not_stale,OK,"rankic=-0.016905, coverage=0.9950"
amihud_illiquidity_20h,unified_profile,OK,score=71.0
amihud_illiquidity_20h,ls_btc_corr,OK,ls_btc_corr=-0.0169
amihud_illiquidity_20h,source_metadata,OK,All source metadata present
bb_zscore_20h,factor_values,OK,factor_values.parquet exists
bb_zscore_20h,factor_level_rankic,OK,4 horizon(s)
bb_zscore_20h,period_ic,OK,100 rows
bb_zscore_20h,period_ls,OK,100 rows
bb_zscore_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
bb_zscore_20h,cumulative_ls,OK,100 rows
bb_zscore_20h,paper_payload,OK,Present in payload
bb_zscore_20h,regime_btc,OK,regime=REGIME_ROBUST
bb_zscore_20h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
bb_zscore_20h,rolling_stability,OK,stability=
bb_zscore_20h,decile_shape,OK,shape=NONLINEAR_MIXED
bb_zscore_20h,capacity_liquidity,OK,class=
bb_zscore_20h,pairwise_redundancy,OK,77 pairs
bb_zscore_20h,cluster,OK,cluster=1
bb_zscore_20h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
bb_zscore_20h,scorecard_not_stale,OK,"rankic=0.033444, coverage=0.9958"
bb_zscore_20h,unified_profile,OK,score=42.1
bb_zscore_20h,ls_btc_corr,OK,ls_btc_corr=0.0035
