factor_id,family,expected_direction,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max
mom_72h,momentum,positive,close,72,24h,-0.03093993,24h,-0.181848,,,,0.4642,3297107,0.005775
mom_120h,momentum,positive,close,120,24h,-0.02314036,24h,-0.135833,,,,0.469,3284339,0.009625
rev_1h,reversal,positive,close,1,1h,0.03650558,1h,0.230027,,,,0.6071,3315993,8e-05
rev_72h,reversal,positive,close,72,24h,0.03093993,24h,0.181848,,,,0.5762,3297107,0.005775
vol_ratio_20_80,volatility,conditional,close,81,24h,-0.01231733,24h,-0.101034,,,,0.4761,3286292,0.009036
realized_skew_20h,realized_shape,conditional,close,21,24h,-0.02652194,24h,-0.221034,,,,0.4559,3310939,0.001604
realized_kurt_20h,realized_shape,conditional,close,21,24h,-0.01183482,24h,-0.108896,,,,0.4816,3310939,0.001604
amihud_illiquidity_20h,liquidity,negative,close|quote_volume,21,72h,-0.01690457,72h,-0.119175,,,,0.4935,3299518,0.005048
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,quote_volume,80,24h,-0.00795658,24h,-0.066375,,,,0.503,3286558,0.008956
price_volume_corr_20h,volume_price,conditional,close|quote_volume,21,24h,-0.04024845,24h,-0.3481,,,,0.4202,3299518,0.005048
trend_efficiency_24h,trend_quality,positive,close,24,72h,-0.00387968,72h,-0.032398,,,,0.4902,3301020,0.004595
price_pos_120h,price_position,conditional,high|low|close,120,4h,-0.01531602,4h,-0.106281,,,,0.5089,3284605,0.009545
