factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,0,Q1,-3.669e-05,0.0001924,2912627,17362,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,1,Q2,4.77e-06,0.00019221,2912627,17362,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2,Q3,8.26e-06,0.00023304,2912627,17362,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,3,Q4,1.15e-05,0.00016875,2912627,17362,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,4,Q5,2.709e-05,0.00019906,2912627,17362,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,0,Q1,-0.00011808,0.00033574,2911919,17359,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,1,Q2,9.55e-06,0.00045296,2911919,17359,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2,Q3,1.35e-06,0.00066598,2911919,17359,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,3,Q4,4.073e-05,0.00061552,2911919,17359,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,4,Q5,0.0001217,0.00062386,2911919,17359,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,24h,0,Q1,-0.00036871,-1.758e-05,2907199,17339,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,24h,1,Q2,0.0001288,0.00074866,2907199,17339,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,24h,2,Q3,5.37e-05,0.00170089,2907199,17339,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,24h,3,Q4,6.99e-05,0.00157911,2907199,17339,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,24h,4,Q5,0.00051103,0.0020466,2907199,17339,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,72h,0,Q1,-0.00073368,-0.00286854,2895871,17291,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,72h,1,Q2,0.00118632,-0.00136187,2895871,17291,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,72h,2,Q3,0.0003199,0.00348665,2895871,17291,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,72h,3,Q4,0.00039801,0.00096695,2895871,17291,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,72h,4,Q5,0.0005416,0.00213815,2895871,17291,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,conditional,1h,0,Q1,-3.721e-05,0.0002002,2916419,17382,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,conditional,1h,1,Q2,1.256e-05,0.00020341,2916419,17382,DIRECTION_UNKNOWN
