factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
a101_volume_cap_alpha_min_80_80,a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,alpha101_curated_volume_cap_regression,True,0.869919,0.869919,0.737908,582425,HIGH_REDUNDANCY,Same-family high redundancy. Consider dropping the weaker factor.,intake_vs_intake
a101_volume_cap_alpha_min_80_80,range_24h,alpha101_curated_volume_cap_regression,range_position,False,-0.13936,0.13936,-0.002781,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,range_24h,alpha101_curated_volume_cap_regression,range_position,False,-0.132908,0.132908,-0.001976,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,range_4h,alpha101_curated_volume_cap_regression,range_position,False,-0.122207,0.122207,-0.002514,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,range_4h,alpha101_curated_volume_cap_regression,range_position,False,-0.122204,0.122204,-0.002508,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,range_breakout_vol_confirm_20h,alpha101_curated_volume_cap_regression,breakout,False,-0.052841,0.052841,-0.008689,22922,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,range_breakout_vol_confirm_20h,alpha101_curated_volume_cap_regression,breakout,False,-0.049276,0.049276,-0.005887,22828,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,price_pos_24h,alpha101_curated_volume_cap_regression,price_position,False,0.047505,0.047505,0.006871,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,price_pos_24h,alpha101_curated_volume_cap_regression,price_position,False,0.044722,0.044722,0.005825,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,williams_r_14h,alpha101_curated_volume_cap_regression,technical_indicators,False,-0.042621,0.042621,-0.004603,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,williams_r_14h,alpha101_curated_volume_cap_regression,technical_indicators,False,-0.039066,0.039066,-0.003708,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,rev_3h,alpha101_curated_volume_cap_regression,reversal,False,-0.014806,0.014806,-0.002108,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,funding_rate_zscore_80h,alpha101_curated_volume_cap_regression,funding_rate,False,0.014289,0.014289,-0.008164,43675,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,rev_3h,alpha101_curated_volume_cap_regression,reversal,False,-0.014096,0.014096,-0.001588,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,funding_rate_zscore_80h,alpha101_curated_volume_cap_regression,funding_rate,False,0.01185,0.01185,-0.007916,43650,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,rsi_28h,alpha101_curated_volume_cap_regression,technical_indicators,False,0.004729,0.004729,-0.000421,583369,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,rsi_28h,alpha101_curated_volume_cap_regression,technical_indicators,False,-0.002611,0.002611,-9.4e-05,582609,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,mom_20h,alpha101_curated_volume_cap_regression,momentum,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,mom_20h,alpha101_curated_volume_cap_regression,momentum,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,reversal_5h,alpha101_curated_volume_cap_regression,momentum,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,reversal_5h,alpha101_curated_volume_cap_regression,momentum,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,volatility_20h,alpha101_curated_volume_cap_regression,volatility,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,volatility_20h,alpha101_curated_volume_cap_regression,volatility,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,rsi_14h,alpha101_curated_volume_cap_regression,technical,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,rsi_14h,alpha101_curated_volume_cap_regression,technical,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,bb_zscore_20h,alpha101_curated_volume_cap_regression,technical,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,bb_zscore_20h,alpha101_curated_volume_cap_regression,technical,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,wq101_alpha101,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,wq101_alpha101,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,wq101_alpha12,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,wq101_alpha12,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_80_80,wq101_alpha53,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
a101_volume_cap_alpha_min_56_84,wq101_alpha53,alpha101_curated_volume_cap_regression,wq101,False,,,,0,INSUFFICIENT_DATA,Insufficient pairwise observations.,intake_vs_baseline
