factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,0,Q1,7.26e-06,0.00025156,3304557,17696,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,1,Q2,-1.86e-05,0.00019439,3304557,17696,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2,Q3,-4.325e-05,0.0001668,3304557,17696,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,3,Q4,-1.712e-05,0.00019525,3304557,17696,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,4,Q5,7.09e-06,0.00020466,3304557,17696,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,4h,0,Q1,6.03e-06,0.00041253,3303750,17693,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,4h,1,Q2,-5.689e-05,0.00048769,3303750,17693,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,4h,2,Q3,-0.00019136,0.0005016,3303750,17693,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,4h,3,Q4,-6.918e-05,0.00061694,3303750,17693,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,4h,4,Q5,2.653e-05,0.00059871,3303750,17693,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,24h,0,Q1,0.0001089,-0.0004288,3298407,17673,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,24h,1,Q2,-0.00042183,0.00035569,3298407,17673,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,24h,2,Q3,-0.00097112,0.00080711,3298407,17673,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,24h,3,Q4,-0.00047184,0.00147637,3298407,17673,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,24h,4,Q5,0.00026929,0.00195924,3298407,17673,COMPUTED
