factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,factor_registry,1h,0.01891724,0.01891724,16.9116,17695,186.7,3304826,0.704513,False,COMPUTED,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28"
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,factor_registry,4h,0.02868574,0.02868574,25.3851,17693,186.7,3304826,0.704513,False,COMPUTED,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28"
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,factor_registry,24h,0.05396015,0.05396015,46.2151,17673,186.7,3304826,0.704513,False,COMPUTED,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28"
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,factor_registry,72h,0.06835423,0.06835423,58.717,17625,186.7,3304826,0.704513,False,COMPUTED,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28"
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,factor_registry,1h,0.01685688,0.01685688,18.5895,17583,186.7,3304826,0.704513,False,DIRECTION_UNKNOWN,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28"
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,factor_registry,4h,0.02547928,0.02547928,27.924,17581,186.7,3304826,0.704513,False,DIRECTION_UNKNOWN,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28"
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,factor_registry,24h,0.04598521,0.04598521,48.4838,17561,186.7,3304826,0.704513,False,DIRECTION_UNKNOWN,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28"
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,factor_registry,72h,0.05671747,0.05671747,59.3794,17513,186.7,3304826,0.704513,False,DIRECTION_UNKNOWN,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28"
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,factor_registry,1h,0.01850292,0.01850292,19.8505,17604,184.8,3253246,0.795791,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30"
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,factor_registry,4h,0.02936516,0.02936516,31.185,17602,184.8,3253246,0.795791,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30"
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,factor_registry,24h,0.05270925,0.05270925,53.7228,17582,184.8,3253246,0.795791,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30"
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,factor_registry,72h,0.06247263,0.06247263,63.3042,17534,184.8,3253246,0.795791,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30"
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,factor_registry,1h,0.0166058,0.0166058,17.5972,17640,185.0,3262930,0.795183,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21"
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,factor_registry,4h,0.02579388,0.02579388,26.9734,17638,185.0,3262930,0.795183,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21"
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,factor_registry,24h,0.04764051,0.04764051,48.3433,17618,185.0,3262930,0.795183,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21"
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,factor_registry,72h,0.05851328,0.05851328,59.409,17570,185.0,3262930,0.795183,False,DIRECTION_UNKNOWN,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21"
