factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
a101_volume_high_alpha_min_84_84,xs_rank_vol,alpha101_curated_volume_price_regression,cross_sectional_normalized,False,-0.805047,0.805047,-0.130987,321818,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,a101_vol_xs_z_product_112h,alpha101_curated_volume_crowding,alpha101_curated_volume_regime,False,0.801332,0.801332,-0.047688,941640,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_intake
a101_volume_high_alpha_min_84_84,tech_atr,alpha101_curated_volume_price_regression,technical,False,0.663226,0.663226,0.005239,322028,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,xs_rank_vol,alpha101_curated_volume_crowding,cross_sectional_normalized,False,-0.607413,0.607413,-0.242573,323878,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,xs_rank_vol,alpha101_curated_volume_price_regression,cross_sectional_normalized,False,-0.549779,0.549779,-0.09672,329372,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,a101_volume_high_alpha_min_84_84,alpha101_curated_volume_crowding,alpha101_curated_volume_price_regression,False,0.460578,0.460578,0.600779,652681,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_intake
a101_volume_low_alpha_min_84_120,tech_atr,alpha101_curated_volume_price_regression,technical,False,0.439994,0.439994,0.004783,329162,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_vol_xs_z_product_112h,xs_rank_vol,alpha101_curated_volume_regime,cross_sectional_normalized,False,-0.43818,0.43818,0.007101,323878,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,tech_atr,alpha101_curated_volume_crowding,technical,False,0.349686,0.349686,0.009745,324144,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_vol_xs_z_product_112h,a101_volume_high_alpha_min_84_84,alpha101_curated_volume_regime,alpha101_curated_volume_price_regression,False,0.318981,0.318981,-0.042424,652681,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_intake
a101_vol_xs_z_product_112h,tech_atr,alpha101_curated_volume_regime,technical,False,0.200025,0.200025,-0.000272,324144,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,mom_120h,alpha101_curated_volume_price_regression,momentum,False,-0.193912,0.193912,-0.022998,317209,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,vol_40h,alpha101_curated_volume_price_regression,volatility,False,-0.167855,0.167855,-0.025893,320586,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,vol_of_vol_20h,alpha101_curated_volume_crowding,realized_skew_kurtosis,False,-0.167402,0.167402,-0.011001,323612,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_vol_xs_z_product_112h,vol_of_vol_20h,alpha101_curated_volume_regime,realized_skew_kurtosis,False,-0.160075,0.160075,0.001364,323612,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,vol_of_vol_20h,alpha101_curated_volume_price_regression,realized_skew_kurtosis,False,-0.157414,0.157414,-0.034069,329582,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,volatility_20h,alpha101_curated_volume_price_regression,volatility,False,-0.152172,0.152172,-0.022255,321426,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,downside_vol_20h,alpha101_curated_volume_price_regression,realized_skew_kurtosis,False,-0.141296,0.141296,-0.01724,321426,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,range_1h,alpha101_curated_volume_price_regression,range_position,False,-0.136722,0.136722,-0.015669,322264,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,q158_high_low_range,alpha101_curated_volume_price_regression,alpha158,False,-0.136722,0.136722,-0.015669,322264,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,wvma_20h,alpha101_curated_volume_price_regression,alpha158_ohlcv,False,-0.129518,0.129518,-0.015771,321426,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,vol_5h,alpha101_curated_volume_price_regression,volatility,False,-0.119207,0.119207,-0.015525,322055,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_vol_xs_z_product_112h,range_breakout_vol_confirm_20h,alpha101_curated_volume_regime,breakout,False,-0.116944,0.116944,0.003985,21208,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,range_breakout_vol_confirm_20h,alpha101_curated_volume_price_regression,breakout,False,-0.115159,0.115159,-0.01209,22031,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_high_alpha_min_84_84,vol_of_vol_20h,alpha101_curated_volume_price_regression,realized_skew_kurtosis,False,-0.108413,0.108413,-0.011544,321608,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_xs_z_mean_neg_112h,range_breakout_vol_confirm_20h,alpha101_curated_volume_crowding,breakout,False,-0.10356,0.10356,-0.000694,21208,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_high_alpha_min_84_84,range_breakout_vol_confirm_20h,alpha101_curated_volume_price_regression,breakout,False,-0.092443,0.092443,-0.013743,21057,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_high_alpha_min_84_84,funding_rate_level_20h,alpha101_curated_volume_price_regression,funding_rate,False,-0.087375,0.087375,0.011933,49164,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,price_volume_corr_20h,alpha101_curated_volume_price_regression,volume_price,False,-0.083521,0.083521,-0.013634,321426,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,ma_gap_20_80,alpha101_curated_volume_price_regression,trend_ma,False,-0.079931,0.079931,-0.011962,331893,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
a101_volume_low_alpha_min_84_120,klow_close,alpha101_curated_volume_price_regression,alpha158_ohlcv,False,-0.076375,0.076375,-0.010737,322264,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
