factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
rev_3h,reversal,positive,1h,2024-06,0.01055602,0.01055602,0.16682969,0.16682969,0.063274,0.063274,0.063274,0.5251,0.5251,716,COMPUTED
rev_3h,reversal,positive,1h,2024-07,0.00614742,0.00614742,0.17233106,0.17233106,0.035672,0.035672,0.035672,0.5309,0.5309,744,COMPUTED
rev_3h,reversal,positive,1h,2024-08,0.04251054,0.04251054,0.18631186,0.18631186,0.228169,0.228169,0.228169,0.5995,0.5995,744,COMPUTED
rev_3h,reversal,positive,1h,2024-09,0.05355028,0.05355028,0.17973563,0.17973563,0.297939,0.297939,0.297939,0.6153,0.6153,720,COMPUTED
rev_3h,reversal,positive,1h,2024-10,0.05366002,0.05366002,0.19020286,0.19020286,0.28212,0.28212,0.28212,0.6245,0.6245,743,COMPUTED
rev_3h,reversal,positive,1h,2024-11,0.0473494,0.0473494,0.18055808,0.18055808,0.262239,0.262239,0.262239,0.6111,0.6111,720,COMPUTED
rev_3h,reversal,positive,1h,2024-12,0.06772232,0.06772232,0.17366929,0.17366929,0.38995,0.38995,0.38995,0.6626,0.6626,744,COMPUTED
rev_3h,reversal,positive,1h,2025-01,0.01138915,0.01138915,0.19241782,0.19241782,0.05919,0.05919,0.05919,0.5323,0.5323,744,COMPUTED
rev_3h,reversal,positive,1h,2025-02,0.01466268,0.01466268,0.20734728,0.20734728,0.070716,0.070716,0.070716,0.5193,0.5193,672,COMPUTED
rev_3h,reversal,positive,1h,2025-03,0.02778523,0.02778523,0.17320808,0.17320808,0.160415,0.160415,0.160415,0.543,0.543,744,COMPUTED
rev_3h,reversal,positive,1h,2025-04,0.0455432,0.0455432,0.16792275,0.16792275,0.271215,0.271215,0.271215,0.6208,0.6208,720,COMPUTED
rev_3h,reversal,positive,1h,2025-05,0.01913248,0.01913248,0.18950463,0.18950463,0.10096,0.10096,0.10096,0.5659,0.5659,744,COMPUTED
rev_3h,reversal,positive,1h,2025-06,0.02562274,0.02562274,0.18294417,0.18294417,0.140058,0.140058,0.140058,0.5861,0.5861,720,COMPUTED
rev_3h,reversal,positive,1h,2025-07,0.0443522,0.0443522,0.17830485,0.17830485,0.248744,0.248744,0.248744,0.6035,0.6035,744,COMPUTED
rev_3h,reversal,positive,1h,2025-08,0.04850648,0.04850648,0.16504536,0.16504536,0.293898,0.293898,0.293898,0.6196,0.6196,744,COMPUTED
rev_3h,reversal,positive,1h,2025-09,0.03514642,0.03514642,0.13999536,0.13999536,0.251054,0.251054,0.251054,0.5972,0.5972,720,COMPUTED
rev_3h,reversal,positive,1h,2025-10,0.03486829,0.03486829,0.13459415,0.13459415,0.259062,0.259062,0.259062,0.6102,0.6102,744,COMPUTED
rev_3h,reversal,positive,1h,2025-11,0.03535372,0.03535372,0.13067459,0.13067459,0.270548,0.270548,0.270548,0.6153,0.6153,720,COMPUTED
rev_3h,reversal,positive,1h,2025-12,0.04289654,0.04289654,0.12377746,0.12377746,0.346562,0.346562,0.346562,0.6667,0.6667,744,COMPUTED
rev_3h,reversal,positive,1h,2026-01,0.04496779,0.04496779,0.13736941,0.13736941,0.327349,0.327349,0.327349,0.6398,0.6398,744,COMPUTED
rev_3h,reversal,positive,1h,2026-02,0.01899387,0.01899387,0.11575215,0.11575215,0.164091,0.164091,0.164091,0.5833,0.5833,672,COMPUTED
rev_3h,reversal,positive,1h,2026-03,0.02174819,0.02174819,0.11063227,0.11063227,0.196581,0.196581,0.196581,0.5806,0.5806,744,COMPUTED
rev_3h,reversal,positive,1h,2026-04,0.02811936,0.02811936,0.11378269,0.11378269,0.247132,0.247132,0.247132,0.5944,0.5944,720,COMPUTED
rev_3h,reversal,positive,1h,2026-05,0.03736203,0.03736203,0.11129816,0.11129816,0.335693,0.335693,0.335693,0.6465,0.6465,744,COMPUTED
rev_3h,reversal,positive,1h,2026-06,0.04467661,0.04467661,0.1244895,0.1244895,0.358879,0.358879,0.358879,0.6424,0.6424,288,COMPUTED
rev_3h,reversal,positive,4h,2024-06,0.01397632,0.01397632,0.16788061,0.16788061,0.083252,0.083252,0.083252,0.5042,0.5042,716,COMPUTED
rev_3h,reversal,positive,4h,2024-07,0.02646353,0.02646353,0.17765368,0.17765368,0.148961,0.148961,0.148961,0.5618,0.5618,744,COMPUTED
rev_3h,reversal,positive,4h,2024-08,0.04696502,0.04696502,0.18701858,0.18701858,0.251125,0.251125,0.251125,0.6008,0.6008,744,COMPUTED
rev_3h,reversal,positive,4h,2024-09,0.02938073,0.02938073,0.16945058,0.16945058,0.173388,0.173388,0.173388,0.5792,0.5792,720,COMPUTED
rev_3h,reversal,positive,4h,2024-10,0.04524546,0.04524546,0.17797909,0.17797909,0.254218,0.254218,0.254218,0.5981,0.5981,744,COMPUTED
rev_3h,reversal,positive,4h,2024-11,0.03147813,0.03147813,0.1742232,0.1742232,0.180677,0.180677,0.180677,0.5639,0.5639,720,COMPUTED
rev_3h,reversal,positive,4h,2024-12,0.05429364,0.05429364,0.16698094,0.16698094,0.325149,0.325149,0.325149,0.6277,0.6277,744,COMPUTED
rev_3h,reversal,positive,4h,2025-01,-0.00336371,-0.00336371,0.19645611,0.19645611,-0.017122,-0.017122,-0.017122,0.4852,0.4852,744,COMPUTED
rev_3h,reversal,positive,4h,2025-02,4.65e-05,4.65e-05,0.20705288,0.20705288,0.000225,0.000225,0.000225,0.497,0.497,672,COMPUTED
rev_3h,reversal,positive,4h,2025-03,0.03529439,0.03529439,0.16871923,0.16871923,0.20919,0.20919,0.20919,0.5954,0.5954,744,COMPUTED
rev_3h,reversal,positive,4h,2025-04,0.04444624,0.04444624,0.15754569,0.15754569,0.282117,0.282117,0.282117,0.6,0.6,720,COMPUTED
rev_3h,reversal,positive,4h,2025-05,0.0066009,0.0066009,0.19043027,0.19043027,0.034663,0.034663,0.034663,0.5067,0.5067,744,COMPUTED
rev_3h,reversal,positive,4h,2025-06,0.03621376,0.03621376,0.1841646,0.1841646,0.196638,0.196638,0.196638,0.5903,0.5903,720,COMPUTED
rev_3h,reversal,positive,4h,2025-07,0.04706399,0.04706399,0.16619348,0.16619348,0.283188,0.283188,0.283188,0.5981,0.5981,744,COMPUTED
