factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
rev_1h,rsi_7h,reversal,technical_indicators,False,-0.76559,0.76559,-0.676035,428,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
rev_1h,xs_rank_ret_1h,reversal,cross_sectional_normalized,False,-0.664952,0.664952,-0.553581,663264,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_3h,williams_r_14h,reversal,technical_indicators,False,0.638259,0.638259,0.483535,662561,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_20h,volume_price,momentum,False,0.58521,0.58521,0.46485,660052,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,ema_12_26_gap,volume_price,technical_indicators,False,0.575213,0.575213,0.474514,659202,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,realized_skew_20h,volume_price,realized_shape,False,0.551412,0.551412,0.592418,660052,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_3h,price_pos_24h,reversal,price_position,False,-0.524897,0.524897,-0.414293,662029,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,price_pos_120h,volume_price,price_position,False,0.521348,0.521348,0.528895,4242,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,ma_gap_10_40,volume_price,trend_ma,False,0.502596,0.502596,0.484325,850,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_40h,volume_price,momentum,False,0.474787,0.474787,0.360242,658138,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,ma_gap_20_80,volume_price,trend_ma,False,0.434433,0.434433,0.418149,2546,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,vol_of_vol_20h,volume_price,realized_skew_kurtosis,False,0.377119,0.377119,0.520243,213,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_3h,rsi_28h,reversal,technical_indicators,False,-0.372119,0.372119,-0.377954,661763,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,rev_24h,volume_price,reversal,False,-0.364172,0.364172,-0.459965,213,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_10h,volume_price,momentum,False,0.341789,0.341789,0.302248,659626,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,rev_10h,volume_price,reversal,False,-0.341789,0.341789,-0.302248,659626,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_120h,volume_price,momentum,False,0.287209,0.287209,0.175668,650497,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,qvol_ma_ratio_20_80,volume_price,quote_volume_liquidity,False,0.273677,0.273677,0.391322,2546,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,price_pos_72h,reversal,price_position,False,-0.212234,0.212234,-0.197601,656556,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,downside_vol_20h,volume_price,realized_skew_kurtosis,False,-0.199815,0.199815,-0.137214,660052,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,reversal_5h,volume_price,momentum,False,-0.195822,0.195822,-0.202498,659414,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_5h,volume_price,momentum,False,0.195822,0.195822,0.202498,659414,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,breakout_dist_48h,reversal,breakout,False,-0.193586,0.193586,-0.21938,2132,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,tech_macd,volume_price,technical,False,0.179639,0.179639,0.022423,659202,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,trend_efficiency_24h,volume_price,trend_quality,False,0.168146,0.168146,0.276773,213,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,mom_accel_20h,volume_price,momentum,False,0.085338,0.085338,0.083055,659573,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,volatility_20h,volume_price,volatility,False,0.080111,0.080111,0.116811,660052,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,vol_zscore_48h,reversal,volume_liquidity,False,-0.075571,0.075571,-0.141201,2122,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,vol_40h,volume_price,volatility,False,0.075206,0.075206,0.092523,658138,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,wq101_alpha12,reversal,wq101,False,0.074975,0.074975,0.013759,663264,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,qvol_zscore_48h,reversal,quote_volume_liquidity,False,-0.070892,0.070892,-0.154011,2122,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,range_1h,volume_price,range_position,False,0.062864,0.062864,0.07969,659202,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,q158_high_low_range,volume_price,alpha158,False,0.062864,0.062864,0.07969,659202,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
price_volume_corr_20h,vol_5h,volume_price,volatility,False,0.058319,0.058319,0.089983,659414,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,mom_72h,reversal,momentum,False,0.052305,0.052305,-0.116343,3197,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_1h,rev_72h,reversal,reversal,True,-0.052305,0.052305,0.116343,3197,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
rev_3h,range_24h,reversal,range_position,False,0.050524,0.050524,0.037267,662029,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
