factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
vwap_dev_20h,alpha158_ohlcv,conditional,1h,-0.02642235,-0.02642235,0.16115439,0.16115439,-0.163957,-0.163957,-0.163957,-21.8666,0.4285,0.4285,17787,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",close|volume,20,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",6.446e-05,1.011e-05,5.434e-05,1.3084,0.4975
vwap_dev_20h,alpha158_ohlcv,conditional,4h,-0.02727757,-0.02727757,0.16307461,0.16307461,-0.167271,-0.167271,-0.167271,-22.3073,0.4286,0.4286,17785,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",close|volume,20,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",0.00029817,-7.896e-05,0.00037713,4.5833,0.5107
vwap_dev_20h,alpha158_ohlcv,conditional,24h,-0.01748158,-0.01748158,0.16616573,0.16616573,-0.105206,-0.105206,-0.105206,-14.0224,0.4568,0.4568,17765,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",close|volume,20,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",0.00109982,-0.00020761,0.00130743,6.3933,0.5106
vwap_dev_20h,alpha158_ohlcv,conditional,72h,-0.00385486,-0.00385486,0.15598155,0.15598155,-0.024714,-0.024714,-0.024714,-3.2895,0.4944,0.4944,17717,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",close|volume,20,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",0.00331609,-0.00094231,0.00425839,11.2876,0.5268
wvma_20h,alpha158_ohlcv,negative,1h,-0.02999489,0.02999489,0.1778356,0.1778356,-0.168666,0.168666,-0.168666,-22.4941,0.4249,0.5751,17786,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",close|volume,21,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",-1.914e-05,3.27e-05,-5.184e-05,-1.2266,0.5023
wvma_20h,alpha158_ohlcv,negative,4h,-0.04432525,0.04432525,0.17647743,0.17647743,-0.251167,0.251167,-0.251167,-33.4948,0.3888,0.6112,17784,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",close|volume,21,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",-7.648e-05,0.00017595,-0.00025243,-2.9942,0.5026
wvma_20h,alpha158_ohlcv,negative,24h,-0.06852856,0.06852856,0.17288386,0.17288386,-0.396385,0.396385,-0.396385,-52.8308,0.3302,0.6698,17764,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",close|volume,21,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",-0.00045685,0.00135903,-0.00181588,-8.6429,0.5088
wvma_20h,alpha158_ohlcv,negative,72h,-0.07627881,0.07627881,0.17193337,0.17193337,-0.443653,0.443653,-0.443653,-59.0509,0.3068,0.6932,17716,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",close|volume,21,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",-0.00143779,0.00374472,-0.00518251,-13.3039,0.5037
vol_ret_corr_20h,alpha158_ohlcv,conditional,1h,-0.02108158,-0.02108158,0.11353948,0.11353948,-0.185676,-0.185676,-0.185676,-24.7626,0.4227,0.4227,17786,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",close|volume,21,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",1.223e-05,-3.028e-05,4.25e-05,1.324,0.4984
vol_ret_corr_20h,alpha158_ohlcv,conditional,4h,-0.03051721,-0.03051721,0.11603361,0.11603361,-0.263003,-0.263003,-0.263003,-35.0732,0.39,0.39,17784,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",close|volume,21,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",2.339e-05,-0.00014021,0.0001636,2.568,0.4962
vol_ret_corr_20h,alpha158_ohlcv,conditional,24h,-0.03767071,-0.03767071,0.11573553,0.11573553,-0.32549,-0.32549,-0.32549,-43.3818,0.3684,0.3684,17764,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",close|volume,21,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",0.00049784,-0.00051342,0.00101126,6.383,0.501
vol_ret_corr_20h,alpha158_ohlcv,conditional,72h,-0.03396542,-0.03396542,0.11241713,0.11241713,-0.302137,-0.302137,-0.302137,-40.2149,0.3711,0.3711,17716,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",close|volume,21,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",0.00094551,-0.00121374,0.00215926,7.1073,0.4959
intraday_ret,alpha158_ohlcv,conditional,1h,-0.03655527,-0.03655527,0.15871176,0.15871176,-0.230325,-0.230325,-0.230325,-30.7335,0.3926,0.3926,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,(close - open) / open; 1h bar open-to-close return,open|close,1,(close - open) / open; 1h bar open-to-close return,-2.076e-05,9.2e-05,-0.00011276,-2.7645,0.4722
