factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
intraday_ret,candle_body,alpha158_ohlcv,intraday_candle,False,0.948557,0.948557,0.674993,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vol_ret_corr_20h,price_volume_corr_20h,alpha158_ohlcv,volume_price,False,0.939845,0.939845,0.939573,660052,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vwap_dev_20h,breakout_dist_20h,alpha158_ohlcv,breakout,False,0.91815,0.91815,0.741646,660539,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vwap_dev_20h,bb_zscore_20h,alpha158_ohlcv,technical,False,0.917155,0.917155,0.733421,660539,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
intraday_ret,wq101_alpha101,alpha158_ohlcv,wq101,False,0.910569,0.910569,0.653152,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
wvma_20h,volatility_20h,alpha158_ohlcv,volatility,False,0.892426,0.892426,0.711852,660563,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vwap_dev_20h,mom_10h,alpha158_ohlcv,momentum,False,0.879488,0.879488,0.78509,426,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vwap_dev_20h,rev_10h,alpha158_ohlcv,reversal,False,-0.879488,0.879488,-0.78509,426,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
vwap_dev_20h,rsi_14h,alpha158_ohlcv,technical,False,0.864043,0.864043,0.737399,660326,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
wvma_20h,vol_of_vol_20h,alpha158_ohlcv,realized_skew_kurtosis,False,0.847168,0.847168,0.738715,213,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
vwap_dev_20h,ma_gap_5_20,alpha158_ohlcv,trend_ma,False,0.837776,0.837776,0.791906,660539,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wvma_20h,downside_vol_20h,alpha158_ohlcv,realized_skew_kurtosis,False,0.812375,0.812375,0.521532,660563,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
klow_close,candle_wick_lower,alpha158_ohlcv,intraday_candle,False,0.767,0.767,0.508027,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wvma_20h,vol_40h,alpha158_ohlcv,volatility,False,0.747176,0.747176,0.555472,658649,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
vwap_dev_20h,tech_macd,alpha158_ohlcv,technical,False,0.717455,0.717455,0.023156,850,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
vwap_dev_20h,ema_12_26_gap,alpha158_ohlcv,technical_indicators,False,0.687862,0.687862,0.557027,850,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
vwap_dev_20h,rev_24h,alpha158_ohlcv,reversal,False,-0.652311,0.652311,-0.631645,660060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
