factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-06,0.00087627,0.00087627,0.12323249,0.12323249,0.007111,0.007111,0.007111,0.4929,0.4929,700,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-07,0.00595614,0.00595614,0.12011719,0.12011719,0.049586,0.049586,0.049586,0.5269,0.5269,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-08,-0.00600642,-0.00600642,0.11797432,0.11797432,-0.050913,-0.050913,-0.050913,0.4919,0.4919,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-09,-0.01340597,-0.01340597,0.10823483,0.10823483,-0.12386,-0.12386,-0.12386,0.4528,0.4528,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-10,-0.0118485,-0.0118485,0.1069629,0.1069629,-0.110772,-0.110772,-0.110772,0.4564,0.4564,723,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-11,-0.01213278,-0.01213278,0.11356985,0.11356985,-0.106831,-0.106831,-0.106831,0.4694,0.4694,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2024-12,-0.00486669,-0.00486669,0.11706208,0.11706208,-0.041574,-0.041574,-0.041574,0.4906,0.4906,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-01,-0.00924021,-0.00924021,0.10971724,0.10971724,-0.084218,-0.084218,-0.084218,0.4664,0.4664,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-02,-0.00356184,-0.00356184,0.10955685,0.10955685,-0.032511,-0.032511,-0.032511,0.4911,0.4911,672,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-03,-0.00799108,-0.00799108,0.10240102,0.10240102,-0.078037,-0.078037,-0.078037,0.4785,0.4785,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-04,-0.00374528,-0.00374528,0.08877371,0.08877371,-0.042189,-0.042189,-0.042189,0.5069,0.5069,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-05,-0.0111516,-0.0111516,0.09490479,0.09490479,-0.117503,-0.117503,-0.117503,0.4583,0.4583,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-06,-0.01158445,-0.01158445,0.094638,0.094638,-0.122408,-0.122408,-0.122408,0.4278,0.4278,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-07,-0.00926893,-0.00926893,0.08596448,0.08596448,-0.107823,-0.107823,-0.107823,0.4516,0.4516,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-08,0.00116212,0.00116212,0.08865681,0.08865681,0.013108,0.013108,0.013108,0.5108,0.5108,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-09,-0.00274241,-0.00274241,0.08027289,0.08027289,-0.034164,-0.034164,-0.034164,0.4681,0.4681,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-10,-0.00590119,-0.00590119,0.08130679,0.08130679,-0.072579,-0.072579,-0.072579,0.4637,0.4637,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-11,-0.00025803,-0.00025803,0.07770294,0.07770294,-0.003321,-0.003321,-0.003321,0.5,0.5,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2025-12,-0.00255768,-0.00255768,0.07425701,0.07425701,-0.034444,-0.034444,-0.034444,0.4785,0.4785,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2026-01,-0.00112561,-0.00112561,0.07766833,0.07766833,-0.014493,-0.014493,-0.014493,0.5013,0.5013,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2026-02,0.00645804,0.00645804,0.07668742,0.07668742,0.084213,0.084213,0.084213,0.5372,0.5372,672,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2026-03,-0.00477255,-0.00477255,0.07498107,0.07498107,-0.06365,-0.06365,-0.06365,0.461,0.461,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2026-04,-0.00606148,-0.00606148,0.07455025,0.07455025,-0.081307,-0.081307,-0.081307,0.4514,0.4514,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,1h,2026-05,-0.14902875,-0.14902875,0.0,0.0,,,,0.0,0.0,1,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-06,0.0043574,0.0043574,0.12992395,0.12992395,0.033538,0.033538,0.033538,0.5,0.5,700,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-07,0.00844587,0.00844587,0.12673015,0.12673015,0.066645,0.066645,0.066645,0.5376,0.5376,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-08,-0.00609886,-0.00609886,0.11336565,0.11336565,-0.053798,-0.053798,-0.053798,0.4906,0.4906,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-09,-0.01233384,-0.01233384,0.1068311,0.1068311,-0.115452,-0.115452,-0.115452,0.4417,0.4417,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-10,-0.01692792,-0.01692792,0.10795325,0.10795325,-0.156808,-0.156808,-0.156808,0.4613,0.4613,724,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-11,-0.01052088,-0.01052088,0.11880745,0.11880745,-0.088554,-0.088554,-0.088554,0.4792,0.4792,720,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2024-12,-0.00384927,-0.00384927,0.12255694,0.12255694,-0.031408,-0.031408,-0.031408,0.4839,0.4839,744,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,4h,2025-01,-0.01135496,-0.01135496,0.11639452,0.11639452,-0.097556,-0.097556,-0.097556,0.4516,0.4516,744,COMPUTED
