factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
taker_buy_ratio_20h,taker_imbalance,positive,factor_registry,1h,-0.00499486,-0.00499486,-6.6539,16736,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_ratio_20h,taker_imbalance,positive,factor_registry,4h,-0.00446462,-0.00446462,-5.8188,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_ratio_20h,taker_imbalance,positive,factor_registry,24h,-0.00199007,-0.00199007,-2.4636,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_ratio_20h,taker_imbalance,positive,factor_registry,72h,0.00469039,0.00469039,5.7334,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_zscore_20h,taker_imbalance,positive,factor_registry,1h,-0.01137205,-0.01137205,-14.9881,16736,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_zscore_20h,taker_imbalance,positive,factor_registry,4h,-0.00763948,-0.00763948,-10.0955,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_zscore_20h,taker_imbalance,positive,factor_registry,24h,-0.00186539,-0.00186539,-2.4742,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_zscore_20h,taker_imbalance,positive,factor_registry,72h,-0.00023616,-0.00023616,-0.315,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_delta_5h,taker_imbalance,positive,factor_registry,1h,-0.00809259,-0.00809259,-11.2363,16768,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_delta_5h,taker_imbalance,positive,factor_registry,4h,-0.00492361,-0.00492361,-6.8084,16769,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_delta_5h,taker_imbalance,positive,factor_registry,24h,-0.00109857,-0.00109857,-1.516,16769,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_delta_5h,taker_imbalance,positive,factor_registry,72h,-0.00049323,-0.00049323,-0.6912,16769,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache."
