factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
funding_rate_level_20h,funding_rate,negative,1h,0,Q1,6.074e-05,0.00022715,2913118,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,1h,1,Q2,3.747e-05,0.00024829,2913118,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,1h,2,Q3,-2.848e-05,0.00016943,2913118,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,1h,3,Q4,-5.687e-05,0.00011761,2913118,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,1h,4,Q5,-6.841e-05,0.00013897,2913118,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,4h,0,Q1,0.00023285,0.00078636,2913115,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,4h,1,Q2,0.00015427,0.00069793,2913115,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,4h,2,Q3,-0.00012988,0.000512,2913115,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,4h,3,Q4,-0.00021488,0.00036777,2913115,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,4h,4,Q5,-0.00025738,0.00042992,2913115,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,24h,0,Q1,0.00125836,0.00194058,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,24h,1,Q2,0.00115871,0.00219635,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,24h,2,Q3,-0.00093973,0.0007445,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,24h,3,Q4,-0.00115033,0.00045434,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,24h,4,Q5,-0.00132626,-0.00143566,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,72h,0,Q1,0.0058857,0.00476243,2913108,16757,COMPUTED
funding_rate_level_20h,funding_rate,negative,72h,1,Q2,0.00240489,0.00152595,2913108,16757,COMPUTED
