factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
funding_rate_zscore_80h,funding_rate_change_24h,funding_rate,funding_rate,True,0.648675,0.648675,0.202063,6142,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_intake
funding_rate_zscore_80h,price_pos_72h,funding_rate,price_position,False,0.241438,0.241438,0.200092,17462,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,rsi_28h,funding_rate,technical_indicators,False,0.235628,0.235628,0.206532,47701,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,ema_12_26_gap,funding_rate,technical_indicators,False,0.200015,0.200015,0.157787,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,price_pos_24h,funding_rate,price_position,False,0.198135,0.198135,0.174419,47701,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,breakout_dist_48h,funding_rate,breakout,False,0.187237,0.187237,0.165612,318165,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,mom_40h,funding_rate,momentum,False,0.179589,0.179589,0.112573,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_level_20h,mom_120h,funding_rate,momentum,False,0.174947,0.174947,-0.143439,523347,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,mom_20h,funding_rate,momentum,False,0.162648,0.162648,0.138461,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,ma_gap_10_40,funding_rate,trend_ma,False,0.158568,0.158568,0.123232,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,mom_120h,funding_rate,momentum,False,0.147345,0.147345,0.056206,4054,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_change_24h,ma_gap_20_80,funding_rate,trend_ma,False,0.146165,0.146165,0.069156,2257,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,rev_24h,funding_rate,reversal,False,-0.146071,0.146071,-0.095682,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_level_20h,mom_40h,funding_rate,momentum,False,0.138755,0.138755,-0.11848,529039,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,rsi_14h,funding_rate,technical,False,0.136072,0.136072,0.128533,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,vol_ratio_5_20,funding_rate,volatility,False,0.130042,0.130042,0.111194,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_level_20h,ema_12_26_gap,funding_rate,technical_indicators,False,0.126673,0.126673,-0.048196,529648,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,downside_vol_20h,funding_rate,realized_skew_kurtosis,False,-0.125797,0.125797,-0.048277,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,wvma_20h,funding_rate,alpha158_ohlcv,False,-0.125072,0.125072,-0.047754,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,williams_r_14h,funding_rate,technical_indicators,False,-0.125014,0.125014,-0.115639,47701,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,rsi_7h,funding_rate,technical_indicators,False,0.124235,0.124235,0.117093,316967,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,taker_buy_ratio_20h,funding_rate,taker_imbalance,False,0.117671,0.117671,0.092689,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,ma_gap_20_80,funding_rate,trend_ma,False,0.115009,0.115009,0.095928,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_change_24h,mom_20h,funding_rate,momentum,False,0.114458,0.114458,-0.105058,530203,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,range_24h,funding_rate,range_position,False,-0.114349,0.114349,-0.086188,47701,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,mom_72h,funding_rate,momentum,False,0.11335,0.11335,0.050463,318848,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,rev_72h,funding_rate,reversal,False,-0.11335,0.11335,-0.050463,318848,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_change_24h,price_pos_120h,funding_rate,price_position,False,0.109341,0.109341,0.004646,3897,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,qvol_ma_ratio_20_80,funding_rate,quote_volume_liquidity,False,-0.108744,0.108744,-0.158915,113082,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,ma_gap_5_20,funding_rate,trend_ma,False,0.107376,0.107376,0.078653,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,price_pos_120h,funding_rate,price_position,False,0.107303,0.107303,0.09892,112542,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_change_24h,ema_12_26_gap,funding_rate,technical_indicators,False,0.105158,0.105158,-0.101378,529382,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_level_20h,rev_24h,funding_rate,reversal,False,0.104635,0.104635,0.038754,206,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,breakout_dist_20h,funding_rate,breakout,False,0.104077,0.104077,0.096723,113084,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,candle_wick_upper,funding_rate,intraday_candle,False,-0.102668,0.102668,-0.130562,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,realized_kurt_20h,funding_rate,realized_shape,False,-0.101289,0.101289,-0.121728,3900,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_change_24h,ma_gap_10_40,funding_rate,trend_ma,False,0.098866,0.098866,-0.131709,617,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_level_20h,taker_buy_ratio_20h,funding_rate,taker_imbalance,False,-0.093848,0.093848,-0.068684,268571,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
funding_rate_zscore_80h,vwap_dev_20h,funding_rate,alpha158_ohlcv,False,0.092354,0.092354,0.077026,113058,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
