factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
rev_2h,reversal,positive,1h,LONG_SHORT,Long-Short,7.136e-05,,,17805,COMPUTED,7.77e-05,6.34e-06,7.136e-05,1.7316,0.5198
rev_2h,reversal,positive,4h,LONG_SHORT,Long-Short,-2.247e-05,,,17802,COMPUTED,9.704e-05,0.0001195,-2.247e-05,-0.2804,0.5063
rev_2h,reversal,positive,24h,LONG_SHORT,Long-Short,-0.00063924,,,17782,COMPUTED,0.00025861,0.00089785,-0.00063924,-3.3063,0.4927
rev_2h,reversal,positive,72h,LONG_SHORT,Long-Short,-0.00199394,,,17734,COMPUTED,0.00065421,0.00264816,-0.00199394,-5.5245,0.4875
mom_vol_adjusted_20h,momentum,positive,1h,LONG_SHORT,Long-Short,9.532e-05,,,17787,COMPUTED,6.406e-05,-3.127e-05,9.532e-05,2.6597,0.5041
mom_vol_adjusted_20h,momentum,positive,4h,LONG_SHORT,Long-Short,0.00042088,,,17784,COMPUTED,0.00022709,-0.00019379,0.00042088,5.7864,0.5131
mom_vol_adjusted_20h,momentum,positive,24h,LONG_SHORT,Long-Short,0.00179783,,,17764,COMPUTED,0.00110458,-0.00069325,0.00179783,9.5009,0.5185
mom_vol_adjusted_20h,momentum,positive,72h,LONG_SHORT,Long-Short,0.00527704,,,17716,COMPUTED,0.00315172,-0.00212532,0.00527704,15.2588,0.5321
volume_pressure_20h,volume_price,positive,1h,LONG_SHORT,Long-Short,7.201e-05,,,17787,COMPUTED,3.733e-05,-3.468e-05,7.201e-05,2.0893,0.5041
volume_pressure_20h,volume_price,positive,4h,LONG_SHORT,Long-Short,0.0003035,,,17784,COMPUTED,0.00015627,-0.00014723,0.0003035,4.3645,0.5051
volume_pressure_20h,volume_price,positive,24h,LONG_SHORT,Long-Short,0.00081772,,,17764,COMPUTED,0.00041136,-0.00040636,0.00081772,4.6347,0.5068
volume_pressure_20h,volume_price,positive,72h,LONG_SHORT,Long-Short,0.00357792,,,17716,COMPUTED,0.00167108,-0.00190684,0.00357792,10.5088,0.5104
xs_rank_mom_accel,cross_sectional_normalized,positive,1h,LONG_SHORT,Long-Short,4.45e-06,,,17782,COMPUTED,2.413e-05,1.967e-05,4.45e-06,0.1115,0.4917
xs_rank_mom_accel,cross_sectional_normalized,positive,4h,LONG_SHORT,Long-Short,0.00015447,,,17779,COMPUTED,0.00018626,3.179e-05,0.00015447,1.9508,0.5001
xs_rank_mom_accel,cross_sectional_normalized,positive,24h,LONG_SHORT,Long-Short,0.00037042,,,17759,COMPUTED,0.00064987,0.00027945,0.00037042,1.8939,0.4977
xs_rank_mom_accel,cross_sectional_normalized,positive,72h,LONG_SHORT,Long-Short,0.00102717,,,17711,COMPUTED,0.00200364,0.00097647,0.00102717,2.8196,0.5033
