factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
wq101_alpha56,wq101_alpha101,wq101,wq101,True,-0.427061,0.427061,-0.399712,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha49,wq101,wq101,True,0.422816,0.422816,0.044654,290196,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha51,wq101,wq101,True,0.417924,0.417924,0.044613,290196,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha9,wq101,wq101,True,0.398705,0.398705,0.050359,290866,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_open_close_0h,wq101,alpha158_price,False,0.383554,0.383554,0.283544,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_kmid_open,wq101,alpha158_kbar,False,-0.383554,0.383554,-0.279898,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,intraday_ret,wq101,alpha158_ohlcv,False,-0.383554,0.383554,-0.279898,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,candle_body,wq101,intraday_candle,False,-0.381213,0.381213,-0.37623,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_kmid_range,wq101,alpha158_kbar,False,-0.381208,0.381208,-0.376209,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha10,wq101,wq101,True,0.358306,0.358306,0.360356,598000,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_ksft_range,wq101,alpha158_kbar,False,-0.311087,0.311087,-0.306787,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_ksft_open,wq101,alpha158_kbar,False,-0.302488,0.302488,-0.237956,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha54,wq101,wq101,True,0.29074,0.29074,0.283636,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_low_close_0h,wq101,alpha158_price,False,0.232349,0.232349,0.197618,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha35,wq101,wq101,True,0.219481,0.219481,0.130448,69166,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_high_close_0h,wq101,alpha158_price,False,0.196201,0.196201,0.106079,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha1,wq101,wq101,True,0.195242,0.195242,0.195717,597628,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_ma_5h,wq101,alpha158_rolling_price,False,0.191969,0.191969,0.174712,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha68,wq101,wq101,True,0.184531,0.184531,0.185156,166771,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha46,wq101,wq101,True,0.17151,0.17151,0.084338,290196,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha23,wq101,wq101,True,0.170383,0.170383,0.024315,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,range_breakout_vol_confirm_20h,wq101,breakout,False,-0.16232,0.16232,-0.159099,20422,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha53,wq101,wq101,True,0.162014,0.162014,0.00219,307328,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha86,wq101,wq101,True,0.155785,0.155785,0.158644,596085,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_min_5h,wq101,alpha158_rolling_price,False,0.148734,0.148734,0.129825,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_resi_20h,wq101,alpha158_rolling_regression,False,-0.147898,0.147898,-0.133894,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha41,wq101,wq101,True,0.146751,0.146751,0.036342,291060,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_max_5h,wq101,alpha158_rolling_price,False,0.143257,0.143257,0.096553,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,reversal_5h,wq101,momentum,False,0.14167,0.14167,0.142321,290866,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,mom_5h,wq101,momentum,False,-0.14167,0.14167,-0.142321,290866,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,taker_buy_delta_5h,wq101,taker_imbalance,False,-0.140964,0.140964,-0.127534,241541,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,wq101_alpha85,wq101,wq101,True,-0.139899,0.139899,-0.149169,456,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_high_close_4h,wq101,alpha158_price,False,0.134408,0.134408,0.12056,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_close_close_4h,wq101,alpha158_price,False,0.13078,0.13078,0.128246,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_max_10h,wq101,alpha158_rolling_price,False,0.130096,0.130096,0.064828,307328,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,xs_rank_mom_accel,wq101,cross_sectional_normalized,False,-0.127524,0.127524,-0.137345,289958,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_ma_10h,wq101,alpha158_rolling_price,False,0.125536,0.125536,0.128116,307328,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_rank_close_20h,wq101,alpha158_rolling,False,-0.124786,0.124786,-0.133964,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_resi_30h,wq101,alpha158_rolling_regression,False,-0.115981,0.115981,-0.107834,307736,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_qtlu_20h,wq101,alpha158_rolling,False,0.108827,0.108827,0.066155,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_open_close_4h,wq101,alpha158_price,False,0.107814,0.107814,0.110603,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,mom_accel_20h,wq101,momentum,False,-0.107374,0.107374,-0.096435,289958,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,bb_zscore_20h,wq101,technical,False,-0.103791,0.103791,-0.133273,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_rsv_20h,wq101,alpha158_rolling,False,-0.102184,0.102184,-0.121753,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,breakout_dist_20h,wq101,breakout,False,-0.102178,0.102178,-0.121751,307540,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
wq101_alpha56,q158_low_close_4h,wq101,alpha158_price,False,0.102118,0.102118,0.115186,307134,LOW_REDUNDANCY,Low redundancy. Independent signal sources.,intake_vs_baseline
