factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
wq101_alpha6,wq101,conditional,1h,0,Q1,2.351e-05,0.00021946,3304702,17798,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,1h,1,Q2,-2.126e-05,0.00019817,3304702,17798,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,1h,2,Q3,-3.434e-05,0.00020793,3304702,17798,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,1h,3,Q4,-2.202e-05,0.00015834,3304702,17798,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,1h,4,Q5,-3.34e-06,0.00018834,3304702,17798,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,4h,0,Q1,4.393e-05,0.00063861,3303904,17795,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,4h,1,Q2,-0.0001023,0.00062211,3303904,17795,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,4h,2,Q3,-8.408e-05,0.00058894,3303904,17795,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,4h,3,Q4,-7.174e-05,0.00049978,3303904,17795,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,4h,4,Q5,-2.651e-05,0.00057632,3303904,17795,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,24h,0,Q1,0.00037046,0.00098256,3298584,17775,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,24h,1,Q2,-0.0003498,0.00103554,3298584,17775,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,24h,2,Q3,-0.00062451,0.00080281,3298584,17775,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,24h,3,Q4,-0.00064842,0.00132769,3298584,17775,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,24h,4,Q5,-6.999e-05,0.00133336,3298584,17775,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,72h,0,Q1,0.00098129,0.00114195,3285816,17727,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,72h,1,Q2,-0.00151233,-0.00024567,3285816,17727,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,72h,2,Q3,-0.00200869,-0.00105315,3285816,17727,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,72h,3,Q4,-0.00200579,-0.00097195,3285816,17727,DIRECTION_UNKNOWN
wq101_alpha6,wq101,conditional,72h,4,Q5,-2.045e-05,0.0002547,3285816,17727,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,1h,0,Q1,-2.401e-05,0.00017662,3314660,17802,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,1h,1,Q2,-5.909e-05,0.0001524,3314660,17802,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,1h,2,Q3,-2.246e-05,0.00022297,3314660,17802,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,1h,3,Q4,1.676e-05,0.00022011,3314660,17802,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,1h,4,Q5,3.437e-05,0.00022553,3314660,17802,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,4h,0,Q1,-6.281e-05,0.00053269,3313853,17799,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,4h,1,Q2,-0.00011839,0.00048865,3313853,17799,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,4h,2,Q3,-6.829e-05,0.00055703,3313853,17799,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,4h,3,Q4,-5.12e-06,0.00070711,3313853,17799,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,4h,4,Q5,2.407e-05,0.00052725,3313853,17799,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,24h,0,Q1,0.00015514,0.00112628,3308510,17779,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,24h,1,Q2,-0.00053733,0.00080743,3308510,17779,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,24h,2,Q3,-0.00050579,0.00105615,3308510,17779,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,24h,3,Q4,-0.00039485,0.00087621,3308510,17779,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,24h,4,Q5,9.171e-05,0.00094583,3308510,17779,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,72h,0,Q1,0.00043002,0.00102074,3295742,17731,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,72h,1,Q2,-0.00153421,-0.00068493,3295742,17731,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,72h,2,Q3,-0.00140312,-0.00121865,3295742,17731,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,72h,3,Q4,-0.00157212,-0.0014272,3295742,17731,DIRECTION_UNKNOWN
wq101_alpha9,wq101,conditional,72h,4,Q5,3.558e-05,0.00047131,3295742,17731,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,1h,0,Q1,1.1e-06,0.00017371,3310936,17788,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,1h,1,Q2,-4.656e-05,0.00014465,3310936,17788,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,1h,2,Q3,-3.54e-05,0.00018426,3310936,17788,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,1h,3,Q4,-1.15e-05,0.00019404,3310936,17788,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,1h,4,Q5,2.805e-05,0.0002811,3310936,17788,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,4h,0,Q1,-5.38e-05,0.00063203,3310129,17785,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,4h,1,Q2,-9.562e-05,0.0005946,3310129,17785,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,4h,2,Q3,-2.156e-05,0.00053876,3310129,17785,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,4h,3,Q4,-9.792e-05,0.00055557,3310129,17785,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,4h,4,Q5,-4.7e-06,0.00065827,3310129,17785,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,24h,0,Q1,-9.669e-05,0.00106462,3304786,17765,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,24h,1,Q2,-0.00022094,0.00132633,3304786,17765,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,24h,2,Q3,-0.00019851,0.00096666,3304786,17765,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,24h,3,Q4,-0.00057684,0.00094392,3304786,17765,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,24h,4,Q5,-0.00025965,0.00117111,3304786,17765,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,72h,0,Q1,-0.00034547,0.0003834,3292018,17717,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,72h,1,Q2,-0.00084586,0.00012098,3292018,17717,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,72h,2,Q3,-0.0011093,-0.00056231,3292018,17717,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,72h,3,Q4,-0.00144412,-0.00031238,3292018,17717,DIRECTION_UNKNOWN
wq101_alpha21,wq101,conditional,72h,4,Q5,-0.00060746,8.574e-05,3292018,17717,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,1h,0,Q1,-5.76e-06,0.00022999,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,1h,1,Q2,-2.965e-05,0.00015293,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,1h,2,Q3,-2.339e-05,0.00020439,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,1h,3,Q4,-1e-06,0.00023596,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,1h,4,Q5,5.09e-06,0.00016062,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,4h,0,Q1,2.87e-06,0.00054433,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,4h,1,Q2,-0.00011973,0.00053341,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,4h,2,Q3,-5.648e-05,0.00065106,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,4h,3,Q4,-4.604e-05,0.00059994,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,4h,4,Q5,-1.185e-05,0.00062083,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,24h,0,Q1,-3.254e-05,0.000964,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,24h,1,Q2,-0.00047865,0.00093108,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,24h,2,Q3,-0.00023142,0.0012375,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,24h,3,Q4,-0.00038348,0.00094748,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,24h,4,Q5,-0.00010394,0.00105677,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,72h,0,Q1,0.00027776,0.00033607,3288061,17735,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,72h,1,Q2,-0.00161555,-0.00087307,3288061,17735,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,72h,2,Q3,-0.00118881,-0.00129925,3288061,17735,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,72h,3,Q4,-0.00163217,-0.00078811,3288061,17735,DIRECTION_UNKNOWN
wq101_alpha41,wq101,conditional,72h,4,Q5,-0.00019982,0.00066924,3288061,17735,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,1h,0,Q1,-0.00012953,8.54e-06,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,1h,1,Q2,-4.535e-05,0.0001623,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,1h,2,Q3,-3.057e-05,0.00018631,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,1h,3,Q4,1.919e-05,0.00026709,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,1h,4,Q5,0.00013413,0.00036739,3306947,17806,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,4h,0,Q1,-0.00012414,0.00040968,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,4h,1,Q2,-0.00014259,0.00057533,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,4h,2,Q3,-7.446e-05,0.00060817,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,4h,3,Q4,-4.606e-05,0.00053625,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,4h,4,Q5,0.00015914,0.00078949,3306149,17803,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,24h,0,Q1,5.282e-05,0.00130281,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,24h,1,Q2,-0.00056807,0.00101952,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,24h,2,Q3,-0.00046446,0.00093685,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,24h,3,Q4,-0.0004178,0.00094798,3300829,17783,DIRECTION_UNKNOWN
wq101_alpha54,wq101,conditional,24h,4,Q5,0.00016427,0.0009908,3300829,17783,DIRECTION_UNKNOWN
