factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha6,wq101,conditional,factor_registry,1h,0.00935846,0.00935846,11.3631,17797,185.7,3304968,0.003405,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#6: -correlation(open, volume, 10); daily equity formula adapted to ten 1h bars"
wq101_alpha6,wq101,conditional,factor_registry,4h,0.0156276,0.0156276,18.7708,17795,185.7,3304968,0.003405,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#6: -correlation(open, volume, 10); daily equity formula adapted to ten 1h bars"
wq101_alpha6,wq101,conditional,factor_registry,24h,0.02346183,0.02346183,27.9737,17775,185.7,3304968,0.003405,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#6: -correlation(open, volume, 10); daily equity formula adapted to ten 1h bars"
wq101_alpha6,wq101,conditional,factor_registry,72h,0.02181073,0.02181073,26.8037,17727,185.7,3304968,0.003405,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#6: -correlation(open, volume, 10); daily equity formula adapted to ten 1h bars"
wq101_alpha9,wq101,conditional,factor_registry,1h,0.01638734,0.01638734,19.3818,17800,186.2,3314929,0.000401,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#9: conditional sign of delta(close,1) using 5-bar min/max of close delta; lookback=6 includes delta warmup"
wq101_alpha9,wq101,conditional,factor_registry,4h,0.01360764,0.01360764,15.8642,17798,186.2,3314929,0.000401,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#9: conditional sign of delta(close,1) using 5-bar min/max of close delta; lookback=6 includes delta warmup"
wq101_alpha9,wq101,conditional,factor_registry,24h,0.00525294,0.00525294,6.043,17778,186.2,3314929,0.000401,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#9: conditional sign of delta(close,1) using 5-bar min/max of close delta; lookback=6 includes delta warmup"
wq101_alpha9,wq101,conditional,factor_registry,72h,0.001689,0.001689,1.9738,17730,186.2,3314929,0.000401,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#9: conditional sign of delta(close,1) using 5-bar min/max of close delta; lookback=6 includes delta warmup"
wq101_alpha21,wq101,conditional,factor_registry,1h,0.00783107,0.00783107,9.9692,17641,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#21: close mean/std state with volume/adv20 branch; daily equity formula adapted to 1h bars
wq101_alpha21,wq101,conditional,factor_registry,4h,0.00740976,0.00740976,9.3984,17639,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#21: close mean/std state with volume/adv20 branch; daily equity formula adapted to 1h bars
wq101_alpha21,wq101,conditional,factor_registry,24h,0.00600773,0.00600773,7.6437,17619,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#21: close mean/std state with volume/adv20 branch; daily equity formula adapted to 1h bars
wq101_alpha21,wq101,conditional,factor_registry,72h,0.00254815,0.00254815,3.3489,17571,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#21: close mean/std state with volume/adv20 branch; daily equity formula adapted to 1h bars
wq101_alpha41,wq101,conditional,factor_registry,1h,0.00349351,0.00349351,4.6831,17805,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#41: sqrt(high*low)-vwap; vwap derived as quote_volume/volume from canonical bars
wq101_alpha41,wq101,conditional,factor_registry,4h,0.00277218,0.00277218,3.6958,17803,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#41: sqrt(high*low)-vwap; vwap derived as quote_volume/volume from canonical bars
wq101_alpha41,wq101,conditional,factor_registry,24h,0.00065433,0.00065433,0.855,17783,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#41: sqrt(high*low)-vwap; vwap derived as quote_volume/volume from canonical bars
wq101_alpha41,wq101,conditional,factor_registry,72h,-0.00052629,-0.00052629,-0.6951,17735,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#41: sqrt(high*low)-vwap; vwap derived as quote_volume/volume from canonical bars
wq101_alpha54,wq101,conditional,factor_registry,1h,0.02872677,0.02872677,31.9032,17805,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#54: (-1*((low-close)*open^5))/((low-high)*close^5); OHLC-only 1h adaptation
wq101_alpha54,wq101,conditional,factor_registry,4h,0.01628314,0.01628314,18.0792,17803,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#54: (-1*((low-close)*open^5))/((low-high)*close^5); OHLC-only 1h adaptation
wq101_alpha54,wq101,conditional,factor_registry,24h,-0.00027925,-0.00027925,-0.3141,17783,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#54: (-1*((low-close)*open^5))/((low-high)*close^5); OHLC-only 1h adaptation
wq101_alpha54,wq101,conditional,factor_registry,72h,-0.00515045,-0.00515045,-5.9663,17735,185.7,3307213,0.002728,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#54: (-1*((low-close)*open^5))/((low-high)*close^5); OHLC-only 1h adaptation
