factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
wq101_alpha49,wq101_alpha51,wq101,wq101,True,0.97656,0.97656,0.999455,662337,NEAR_DUPLICATE,Drop one; keep the more interpretable or stable factor.,intake_vs_intake
wq101_alpha49,wq101_alpha101,wq101,wq101,True,-0.898791,0.898791,-0.066198,661483,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
wq101_alpha51,wq101_alpha101,wq101,wq101,True,-0.881814,0.881814,-0.066092,661483,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
wq101_alpha49,wq101_alpha9,wq101,wq101,True,0.824857,0.824857,0.611167,661696,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,wq101_alpha9,wq101,wq101,True,0.802868,0.802868,0.610775,661696,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha49,q158_kmid_open,wq101,alpha158_kbar,False,-0.801356,0.801356,-0.022206,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha49,q158_open_close_0h,wq101,alpha158_price,False,0.801356,0.801356,0.02091,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha49,intraday_ret,wq101,alpha158_ohlcv,False,-0.801356,0.801356,-0.022206,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha49,candle_body,wq101,intraday_candle,False,-0.793511,0.793511,-0.049577,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha49,q158_kmid_range,wq101,alpha158_kbar,False,-0.793418,0.793418,-0.049566,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,intraday_ret,wq101,alpha158_ohlcv,False,-0.788545,0.788545,-0.022141,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,q158_open_close_0h,wq101,alpha158_price,False,0.788545,0.788545,0.020836,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,q158_kmid_open,wq101,alpha158_kbar,False,-0.788545,0.788545,-0.022141,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,candle_body,wq101,intraday_candle,False,-0.780748,0.780748,-0.049496,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
wq101_alpha51,q158_kmid_range,wq101,alpha158_kbar,False,-0.780657,0.780657,-0.049485,661483,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
