factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha25,wq101,conditional,factor_registry,1h,0.01962723,0.01962723,22.0877,17786,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,4h,0.01729464,0.01729464,19.2647,17784,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,24h,0.00841606,0.00841606,9.4636,17764,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,72h,0.00331163,0.00331163,3.784,17716,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha28,wq101,conditional,factor_registry,1h,-0.00677057,-0.00677057,-8.2813,17526,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,4h,-0.00898283,-0.00898283,-10.8328,17524,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,24h,-0.01555089,-0.01555089,-18.5289,17504,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,72h,-0.01353646,-0.01353646,-16.7223,17456,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha30,wq101,conditional,factor_registry,1h,0.01516341,0.01516341,18.2277,17787,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,4h,0.01445885,0.01445885,17.2621,17785,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,24h,0.00683405,0.00683405,8.2505,17765,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,72h,0.00320088,0.00320088,4.0184,17717,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha35,wq101,conditional,factor_registry,1h,0.02608825,0.02608825,28.6541,17774,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
wq101_alpha35,wq101,conditional,factor_registry,4h,0.02420373,0.02420373,26.6335,17772,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
