factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha47,wq101,conditional,1h,0.00477706,0.00477706,0.11678087,0.11678087,0.040906,0.040906,0.040906,5.4554,0.5214,0.5214,17786,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",high|close|volume|quote_volume,20,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",2.007e-05,-2.501e-05,4.507e-05,1.5046,0.5,0.00015324,0.42740037,0.00053084,-0.00037992,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha47,wq101,conditional,4h,0.00417459,0.00417459,0.11930923,0.11930923,0.03499,0.03499,0.03499,4.6661,0.5165,0.5165,17784,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",high|close|volume|quote_volume,20,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",3.409e-05,-1.711e-05,5.12e-05,0.8534,0.5015,0.00058027,0.09882204,0.00201012,-0.00292065,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha47,wq101,conditional,24h,-0.00717495,-0.00717495,0.12273275,0.12273275,-0.05846,-0.05846,-0.05846,-7.7916,0.4819,0.4819,17764,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",high|close|volume|quote_volume,20,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",-0.00022326,0.0003384,-0.00056166,-3.6125,0.4838,0.00248854,-0.28015484,0.00862055,-0.02024104,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha47,wq101,conditional,72h,-0.01268019,-0.01268019,0.1196545,0.1196545,-0.105973,-0.105973,-0.105973,-14.1052,0.4625,0.4625,17716,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",high|close|volume|quote_volume,20,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved",-0.00020432,0.00050993,-0.00071426,-2.3925,0.4835,0.00432499,-0.12002711,0.01498222,-0.02469819,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha61,wq101,conditional,1h,-0.00114311,-0.00114311,0.10751348,0.10751348,-0.010632,-0.010632,-0.010632,-1.4109,0.4942,0.4942,17609,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",volume|quote_volume,197,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",3.02e-06,-2.851e-05,3.153e-05,1.4062,0.5002,0.00013636,0.26843206,0.00047238,-0.00034792,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha61,wq101,conditional,4h,-0.0023779,-0.0023779,0.10988735,0.10988735,-0.021639,-0.021639,-0.021639,-2.8714,0.4927,0.4927,17607,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",volume|quote_volume,197,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",2.319e-05,-8.172e-05,0.00010491,2.2739,0.4989,0.00053914,0.21322193,0.00186762,-0.00182525,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha61,wq101,conditional,24h,-0.01262803,-0.01262803,0.1101153,0.1101153,-0.11468,-0.11468,-0.11468,-15.2084,0.4584,0.4584,17587,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",volume|quote_volume,197,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",-2.076e-05,-0.00023072,0.00020996,1.7433,0.4908,0.00274954,0.07510225,0.00952469,-0.0128262,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha61,wq101,conditional,72h,-0.01904629,-0.01904629,0.11292071,0.11292071,-0.16867,-0.16867,-0.16867,-22.3377,0.4364,0.4364,17539,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",volume|quote_volume,197,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula",-3.837e-05,-0.00077163,0.00073326,2.9185,0.4786,0.00830217,0.09209054,0.02875957,-0.04016282,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha65,wq101,conditional,1h,-0.00028475,-0.00028475,0.10515036,0.10515036,-0.002708,-0.002708,-0.002708,-0.3606,0.4956,0.4956,17728,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula",open|volume|quote_volume,73,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula",-1.484e-05,-2.343e-05,8.58e-06,0.3764,0.4983,0.00012212,0.05732075,0.00042305,-0.00049422,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha65,wq101,conditional,4h,0.00053701,0.00053701,0.10875941,0.10875941,0.004938,0.004938,0.004938,0.6574,0.4995,0.4995,17726,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula",open|volume|quote_volume,73,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula",-3.188e-05,-5.171e-05,1.984e-05,0.4293,0.4944,0.00038191,0.03176022,0.00132298,-0.00166301,0.48,25,per_bar_mean_x_bars_per_year
