factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
wq101_alpha77,wq101,conditional,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",high|low|volume|quote_volume,47,EXISTS,3285947,0.006011,72h,-0.01273317,-0.118252,72h,-0.00089482,-3.1337,0.4925,UNSTABLE (6/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha78,wq101,conditional,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",low|volume|quote_volume,65,EXISTS,2409238,0.271213,72h,-0.00772576,-0.067607,72h,0.00269781,8.0444,0.4974,UNSTABLE (7/25 months positive),MONOTONIC_INCREASING,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha83,wq101,conditional,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",high|low|close|volume|quote_volume,7,EXISTS,3305599,6.7e-05,1h,0.02314648,0.201777,72h,-0.00014254,-0.4843,0.5883,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha85,wq101,conditional,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",high|low|close|volume,39,EXISTS,3289574,0.004914,72h,-0.00576867,-0.056543,72h,0.0009695,3.4155,0.5058,UNSTABLE (5/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha86,wq101,conditional,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",open|close|volume|quote_volume,58,EXISTS,3291192,0.004425,1h,0.01161036,0.114576,24h,-0.00010331,-0.8285,0.551,STABLE (25/25 months positive),NON_MONOTONIC (2 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha88,wq101,conditional,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",open|high|low|close|volume,95,EXISTS,2161019,0.346298,72h,0.03298187,0.266971,72h,-0.0027824,-7.6301,0.6117,STABLE (24/25 months positive),NON_MONOTONIC (2 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha92,wq101,conditional,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",open|high|low|close|volume,49,EXISTS,682006,0.793695,4h,0.00658558,0.034897,72h,-0.00335232,-2.8229,0.5169,MODERATE (17/24 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha94,wq101,conditional,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",volume|quote_volume,82,EXISTS,3042114,0.07977,72h,-0.01445007,-0.11126,72h,-0.0020492,-7.0989,0.5157,UNSTABLE (9/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha95,wq101,conditional,"WorldQuant 101 Alpha#95: rank(open-ts_min(open,12)) < ts_rank(rank(correlation(sum(mid,19),sum(adv40,19),13))^5,12); boolean panel formula",open|high|low|volume,81,EXISTS,3285911,0.006022,72h,-0.0107254,-0.107893,72h,-0.00148825,-6.1221,0.5018,UNSTABLE (4/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha99,wq101,conditional,"WorldQuant 101 Alpha#99: -1*(rank(correlation(sum(mid,20),sum(adv60,20),9)) < rank(correlation(low,volume,6))); boolean panel formula",high|low|volume,87,EXISTS,3284213,0.006536,24h,0.0074119,0.075687,72h,-0.00053481,-2.286,0.5336,STABLE (21/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
