factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha77,wq101,conditional,1h,-0.00300531,-0.00300531,0.10463832,0.10463832,-0.028721,-0.028721,-0.028721,-3.8254,0.4922,0.4922,17740,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",high|low|volume|quote_volume,47,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",1.457e-05,-2.196e-05,3.654e-05,1.3813,0.4954,0.00014788,0.34245123,0.00051227,-0.00060026,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha77,wq101,conditional,4h,-0.00263833,-0.00263833,0.10549129,0.10549129,-0.02501,-0.02501,-0.02501,-3.3309,0.4925,0.4925,17738,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",high|low|volume|quote_volume,47,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",3.932e-05,-0.00010467,0.000144,2.6919,0.4976,0.0006186,0.35179912,0.00214288,-0.00215658,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha77,wq101,conditional,24h,-0.010735,-0.010735,0.10749024,0.10749024,-0.09987,-0.09987,-0.09987,-13.2935,0.462,0.462,17718,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",high|low|volume|quote_volume,47,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",-0.00019589,7.902e-05,-0.00027491,-1.9564,0.4807,0.00188985,-0.10331542,0.00654662,-0.00877819,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha77,wq101,conditional,72h,-0.01273317,-0.01273317,0.1076782,0.1076782,-0.118252,-0.118252,-0.118252,-15.7191,0.4507,0.4507,17670,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",high|low|volume|quote_volume,47,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",-0.00036856,0.00052626,-0.00089482,-3.1337,0.4786,0.00384513,-0.10597333,0.01331992,-0.02255287,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha78,wq101,conditional,1h,-0.00098703,-0.00098703,0.11304162,0.11304162,-0.008732,-0.008732,-0.008732,-1.1622,0.4974,0.4974,17716,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",low|volume|quote_volume,65,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",3.646e-05,-3.971e-05,7.617e-05,2.4831,0.5042,0.00012351,0.68137807,0.00042785,-0.00031204,0.8,25,per_bar_mean_x_bars_per_year
wq101_alpha78,wq101,conditional,4h,-0.00326431,-0.00326431,0.11516856,0.11516856,-0.028344,-0.028344,-0.028344,-3.7724,0.4945,0.4945,17714,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",low|volume|quote_volume,65,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",0.00010906,-5.505e-05,0.00016411,2.5861,0.506,0.00049701,0.38305265,0.00172168,-0.00156989,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha78,wq101,conditional,24h,-0.00750694,-0.00750694,0.11552192,0.11552192,-0.064983,-0.064983,-0.064983,-8.6439,0.469,0.469,17694,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",low|volume|quote_volume,65,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",0.00050466,-0.00053157,0.00103623,6.3312,0.5091,0.00188248,0.38399694,0.00652111,-0.00516255,0.72,25,per_bar_mean_x_bars_per_year
wq101_alpha78,wq101,conditional,72h,-0.00772576,-0.00772576,0.11427401,0.11427401,-0.067607,-0.067607,-0.067607,-8.9808,0.476,0.476,17646,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",low|volume|quote_volume,65,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",0.00127979,-0.00141803,0.00269781,8.0444,0.5169,0.00469594,0.32912415,0.01626722,-0.00742716,0.76,25,per_bar_mean_x_bars_per_year
wq101_alpha83,wq101,conditional,1h,0.02314648,0.02314648,0.11471325,0.11471325,0.201777,0.201777,0.201777,26.9196,0.5883,0.5883,17799,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",high|low|close|volume|quote_volume,7,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",4.527e-05,-6.574e-05,0.00011101,3.6846,0.5229,0.00019044,1.05295809,0.0006597,-0.00038355,0.8,25,per_bar_mean_x_bars_per_year
wq101_alpha83,wq101,conditional,4h,0.01491077,0.01491077,0.1155337,0.1155337,0.12906,0.12906,0.12906,17.2173,0.558,0.558,17797,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",high|low|close|volume|quote_volume,7,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",1.306e-05,-9.215e-05,0.00010522,1.7184,0.5105,0.00039816,0.21993362,0.00137925,-0.00122242,0.68,25,per_bar_mean_x_bars_per_year
