factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha1,wq101,conditional,1h,LONG_SHORT,Long-Short,1.632e-05,,,17789,DIRECTION_UNKNOWN,2e-08,-1.578e-05,1.632e-05,0.616,0.5076,0.00016584,0.11859136,0.0005745,-0.00051452,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,4h,LONG_SHORT,Long-Short,8.53e-06,,,17786,DIRECTION_UNKNOWN,-5.71e-06,-1.555e-05,8.53e-06,0.161,0.5044,0.0003977,0.01129882,0.00137768,-0.00198734,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00041833,,,17766,DIRECTION_UNKNOWN,-0.0002012,0.00019874,-0.00041833,-2.9577,0.5005,0.00137556,-0.17251905,0.0047651,-0.01385355,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00125896,,,17718,DIRECTION_UNKNOWN,-0.00060783,0.0006608,-0.00125896,-4.4749,0.4937,0.00527813,-0.15482893,0.01828398,-0.0403263,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,1h,LONG_SHORT,Long-Short,2.087e-05,,,17792,DIRECTION_UNKNOWN,-1.77e-06,-2.263e-05,2.087e-05,0.9182,0.5117,0.00010722,0.22300622,0.00037142,-0.0002749,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,4h,LONG_SHORT,Long-Short,2.86e-06,,,17789,DIRECTION_UNKNOWN,-5.903e-05,-6.188e-05,2.86e-06,0.063,0.5113,0.00039366,0.05717879,0.00136366,-0.00124379,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00017799,,,17769,DIRECTION_UNKNOWN,-0.0002908,-0.00011281,-0.00017799,-1.4916,0.4989,0.00116199,-0.0488682,0.00402526,-0.00515345,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00020076,,,17721,DIRECTION_UNKNOWN,-0.00089414,-0.00069338,-0.00020076,-0.8166,0.5103,0.002894,-0.01024132,0.01002511,-0.01823438,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,1h,LONG_SHORT,Long-Short,-3.392e-05,,,17798,DIRECTION_UNKNOWN,-2.845e-05,5.47e-06,-3.392e-05,-1.4029,0.4956,0.00011406,-0.29026038,0.00039512,-0.0008748,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00010582,,,17795,DIRECTION_UNKNOWN,-7.478e-05,3.104e-05,-0.00010582,-2.1675,0.501,0.00034574,-0.22677962,0.00119768,-0.00334101,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,24h,LONG_SHORT,Long-Short,4.96e-06,,,17775,DIRECTION_UNKNOWN,-0.00024581,-0.00025077,4.96e-06,0.0381,0.5068,0.00120279,0.00054656,0.00416658,-0.00580208,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00042246,,,17727,DIRECTION_UNKNOWN,-0.00089845,-0.00047599,-0.00042246,-1.6572,0.5044,0.00323738,-0.01492241,0.01121463,-0.01851826,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,1h,LONG_SHORT,Long-Short,-6.34e-05,,,17799,DIRECTION_UNKNOWN,-2.703e-05,3.637e-05,-6.34e-05,-2.1419,0.4971,0.00012708,-0.57376571,0.00044021,-0.00164352,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00025216,,,17796,DIRECTION_UNKNOWN,-0.00011137,0.00014079,-0.00025216,-4.259,0.4956,0.00040744,-0.57690994,0.0014114,-0.00674565,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00103588,,,17776,DIRECTION_UNKNOWN,-0.00054541,0.00049047,-0.00103588,-6.9866,0.4892,0.0021115,-0.43347122,0.00731446,-0.03030032,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha4,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00212431,,,17728,DIRECTION_UNKNOWN,-0.00096666,0.00115765,-0.00212431,-7.132,0.4923,0.00529828,-0.26371937,0.01835378,-0.05885752,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,1h,LONG_SHORT,Long-Short,8.898e-05,,,17797,DIRECTION_UNKNOWN,3.905e-05,-4.992e-05,8.898e-05,2.8934,0.5188,0.00020349,0.84660223,0.00070491,-0.00054023,0.76,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,4h,LONG_SHORT,Long-Short,6.089e-05,,,17794,DIRECTION_UNKNOWN,3.356e-05,-2.733e-05,6.089e-05,1.0006,0.5116,0.00052405,0.12836751,0.00181536,-0.00204511,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha5,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00024555,,,17774,DIRECTION_UNKNOWN,-3.955e-05,0.00020601,-0.00024555,-1.5396,0.5067,0.00226472,-0.1504433,0.00784523,-0.01523529,0.56,25,per_bar_mean_x_bars_per_year
