factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
wq101_alpha1,wq101,conditional,1h,2024-06,-0.00019823,-0.00019823,0.11937564,0.11937564,-0.001661,-0.001661,-0.001661,0.5043,0.5043,698,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-07,0.00746959,0.00746959,0.1207761,0.1207761,0.061847,0.061847,0.061847,0.5161,0.5161,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-08,0.01211827,0.01211827,0.1214371,0.1214371,0.09979,0.09979,0.09979,0.5591,0.5591,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-09,0.01329293,0.01329293,0.12273649,0.12273649,0.108305,0.108305,0.108305,0.5444,0.5444,720,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-10,0.01660404,0.01660404,0.11901338,0.11901338,0.139514,0.139514,0.139514,0.5626,0.5626,743,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-11,0.01141942,0.01141942,0.1318965,0.1318965,0.086579,0.086579,0.086579,0.5403,0.5403,720,COMPUTED
wq101_alpha1,wq101,conditional,1h,2024-12,0.0299688,0.0299688,0.12904936,0.12904936,0.232227,0.232227,0.232227,0.6102,0.6102,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-01,0.00846649,0.00846649,0.12190659,0.12190659,0.069451,0.069451,0.069451,0.5336,0.5336,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-02,0.00014397,0.00014397,0.12042968,0.12042968,0.001195,0.001195,0.001195,0.4926,0.4926,672,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-03,0.00404519,0.00404519,0.11642866,0.11642866,0.034744,0.034744,0.034744,0.5134,0.5134,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-04,0.01271577,0.01271577,0.10455981,0.10455981,0.121612,0.121612,0.121612,0.5458,0.5458,720,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-05,0.00346382,0.00346382,0.10657517,0.10657517,0.032501,0.032501,0.032501,0.5108,0.5108,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-06,0.01303314,0.01303314,0.1008141,0.1008141,0.129279,0.129279,0.129279,0.5444,0.5444,720,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-07,0.02557738,0.02557738,0.10504978,0.10504978,0.243479,0.243479,0.243479,0.6129,0.6129,744,COMPUTED
wq101_alpha1,wq101,conditional,1h,2025-08,0.01763332,0.01763332,0.09974731,0.09974731,0.17678,0.17678,0.17678,0.582,0.582,744,COMPUTED
