factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
wq101_alpha1,wq101,conditional,1h,0,Q1,-1.578e-05,0.00018573,3309840,17800,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,1h,1,Q2,-1.819e-05,0.00018036,3309840,17796,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,1h,2,Q3,-2.24e-06,0.00019856,3309840,17793,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,1h,3,Q4,-2.431e-05,0.00015953,3309840,17796,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,1h,4,Q5,2e-08,0.00017696,3309840,17789,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,4h,0,Q1,-1.555e-05,0.00054598,3309033,17797,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,4h,1,Q2,-0.00010287,0.0005167,3309033,17793,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,4h,2,Q3,-2.529e-05,0.00062242,3309033,17790,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,4h,3,Q4,-0.00010174,0.00059291,3309033,17793,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,4h,4,Q5,-5.71e-06,0.00059848,3309033,17786,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,24h,0,Q1,0.00019874,0.00139833,3303690,17777,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,24h,1,Q2,-0.00044803,0.00093575,3303690,17773,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,24h,2,Q3,-0.00037932,0.00120289,3303690,17770,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,24h,3,Q4,-0.00055986,0.00070163,3303690,17773,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,24h,4,Q5,-0.0002012,0.00110945,3303690,17766,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,72h,0,Q1,0.0006608,0.0014528,3290922,17729,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,72h,1,Q2,-0.00108272,-0.00033514,3290922,17725,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,72h,2,Q3,-0.0016462,-0.00092536,3290922,17722,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,72h,3,Q4,-0.00170174,-0.00127707,3290922,17725,DIRECTION_UNKNOWN
wq101_alpha1,wq101,conditional,72h,4,Q5,-0.00060783,-3.445e-05,3290922,17718,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,1h,0,Q1,-2.263e-05,0.00019707,3304206,17792,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,1h,1,Q2,-1.039e-05,0.00021717,3304206,17792,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,1h,2,Q3,-3.045e-05,0.00018851,3304206,17792,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,1h,3,Q4,-3.47e-06,0.00018294,3304206,17792,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,1h,4,Q5,-1.77e-06,0.0001873,3304206,17792,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,4h,0,Q1,-6.188e-05,0.00063687,3303408,17789,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,4h,1,Q2,-4.837e-05,0.00062749,3303408,17789,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,4h,2,Q3,-3.409e-05,0.00064005,3303408,17789,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,4h,3,Q4,-6.438e-05,0.00053993,3303408,17789,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,4h,4,Q5,-5.903e-05,0.00049068,3303408,17789,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,24h,0,Q1,-0.00011281,0.00140455,3298088,17769,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,24h,1,Q2,-0.00045309,0.00111672,3298088,17769,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,24h,2,Q3,-0.00010653,0.00104988,3298088,17769,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,24h,3,Q4,-0.00041957,0.00075319,3298088,17769,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,24h,4,Q5,-0.0002908,0.00081295,3298088,17769,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,72h,0,Q1,-0.00069338,-0.00041741,3285320,17721,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,72h,1,Q2,-0.00109029,-0.00019807,3285320,17721,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,72h,2,Q3,-0.00081422,-0.00042403,3285320,17721,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,72h,3,Q4,-0.00098416,8.529e-05,3285320,17721,DIRECTION_UNKNOWN
wq101_alpha2,wq101,conditional,72h,4,Q5,-0.00089414,-0.00012397,3285320,17721,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,1h,0,Q1,5.47e-06,0.00015783,2625441,17798,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,1h,1,Q2,-7.34e-06,0.00020067,2625441,17798,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,1h,2,Q3,-3.526e-05,0.00022698,2625441,17798,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,1h,3,Q4,1.425e-05,0.00017985,2625441,17798,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,1h,4,Q5,-2.845e-05,0.00015081,2625441,17798,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,4h,0,Q1,3.104e-05,0.00056414,2624747,17795,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,4h,1,Q2,-3.846e-05,0.00061118,2624747,17795,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,4h,2,Q3,-0.00014173,0.00052419,2624747,17795,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,4h,3,Q4,4e-06,0.00062468,2624747,17795,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,4h,4,Q5,-7.478e-05,0.00051523,2624747,17795,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,24h,0,Q1,-0.00025077,0.00085439,2620139,17775,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,24h,1,Q2,-0.00021771,0.0006641,2620139,17775,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,24h,2,Q3,-0.00013832,0.00100891,2620139,17775,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,24h,3,Q4,-0.00010533,0.00107115,2620139,17775,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,24h,4,Q5,-0.00024581,0.00117991,2620139,17775,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,72h,0,Q1,-0.00047599,-0.00017863,2609333,17727,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,72h,1,Q2,-1.647e-05,0.00047672,2609333,17727,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,72h,2,Q3,-0.00116655,-0.00059128,2609333,17727,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,72h,3,Q4,-0.00052149,-0.00025625,2609333,17727,DIRECTION_UNKNOWN
wq101_alpha3,wq101,conditional,72h,4,Q5,-0.00089845,-0.00043271,2609333,17727,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,1h,0,Q1,3.637e-05,0.00024396,3313838,17799,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,1h,1,Q2,-2.667e-05,0.00020367,3313838,17799,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,1h,2,Q3,-1.799e-05,0.0002015,3313838,17799,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,1h,3,Q4,-2.129e-05,0.00015079,3313838,17799,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,1h,4,Q5,-2.703e-05,0.00018092,3313838,17799,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,4h,0,Q1,0.00014079,0.00075012,3313031,17796,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,4h,1,Q2,-0.00010658,0.0006206,3313031,17796,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,4h,2,Q3,-6.165e-05,0.00060816,3313031,17796,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,4h,3,Q4,-9.693e-05,0.00040778,3313031,17796,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,4h,4,Q5,-0.00011137,0.00042772,3313031,17796,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,24h,0,Q1,0.00049047,0.0013082,3307688,17776,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,24h,1,Q2,-0.00036971,0.00108932,3307688,17776,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,24h,2,Q3,-0.00047838,0.00090131,3307688,17776,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,24h,3,Q4,-0.00032543,0.00106429,3307688,17776,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,24h,4,Q5,-0.00054541,0.00068607,3307688,17776,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,72h,0,Q1,0.00115765,0.00182434,3294920,17728,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,72h,1,Q2,-0.00136116,-0.00145828,3294920,17728,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,72h,2,Q3,-0.00152022,-0.00051524,3294920,17728,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,72h,3,Q4,-0.00141007,-0.00071376,3294920,17728,DIRECTION_UNKNOWN
wq101_alpha4,wq101,conditional,72h,4,Q5,-0.00096666,0.00057202,3294920,17728,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,1h,0,Q1,-4.992e-05,0.00014217,3304526,17797,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,1h,1,Q2,-2.399e-05,0.00016955,3304526,17797,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,1h,2,Q3,-2.213e-05,0.0001737,3304526,17797,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,1h,3,Q4,-4.5e-06,0.00023753,3304526,17797,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,1h,4,Q5,3.905e-05,0.00021191,3304526,17797,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,4h,0,Q1,-2.733e-05,0.00064976,3303728,17794,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,4h,1,Q2,-7.951e-05,0.00058559,3303728,17794,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,4h,2,Q3,-0.00011025,0.0005474,3303728,17794,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,4h,3,Q4,-6.217e-05,0.00055533,3303728,17794,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,4h,4,Q5,3.356e-05,0.00057019,3303728,17794,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,24h,0,Q1,0.00020601,0.00118845,3298408,17774,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,24h,1,Q2,-0.00048759,0.00125238,3298408,17774,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,24h,2,Q3,-0.00050015,0.00109096,3298408,17774,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,24h,3,Q4,-0.00051735,0.0006679,3298408,17774,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,24h,4,Q5,-3.955e-05,0.0006129,3298408,17774,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,72h,0,Q1,0.00038125,0.00161793,3285640,17726,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,72h,1,Q2,-0.0015739,-0.001157,3285640,17726,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,72h,2,Q3,-0.00177613,-0.00142477,3285640,17726,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,72h,3,Q4,-0.00183213,-0.00151067,3285640,17726,DIRECTION_UNKNOWN
wq101_alpha5,wq101,conditional,72h,4,Q5,0.0002216,0.00067544,3285640,17726,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,1h,0,Q1,-2.579e-05,0.00015681,3306339,17788,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,1h,1,Q2,-1.404e-05,0.00019592,3306339,17788,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,1h,2,Q3,-5.8e-06,0.0002058,3306339,17788,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,1h,3,Q4,-2.316e-05,0.00020138,3306339,17788,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,1h,4,Q5,1.6e-06,0.00021598,3306339,17788,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,4h,0,Q1,-5.401e-05,0.00054205,3305532,17785,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,4h,1,Q2,-3.787e-05,0.00056058,3305532,17785,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,4h,2,Q3,-7.329e-05,0.00059637,3305532,17785,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,4h,3,Q4,-3.467e-05,0.00053477,3305532,17785,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,4h,4,Q5,-8.241e-05,0.00064085,3305532,17785,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,24h,0,Q1,-0.00047685,0.00068656,3300189,17765,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,24h,1,Q2,-4.685e-05,0.00133239,3300189,17765,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,24h,2,Q3,-0.00011588,0.00131115,3300189,17765,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,24h,3,Q4,-0.00040419,0.00099856,3300189,17765,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,24h,4,Q5,-0.00046388,0.00082331,3300189,17765,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,72h,0,Q1,-0.00066764,-0.00135603,3287421,17717,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,72h,1,Q2,-0.00066718,-7.601e-05,3287421,17717,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,72h,2,Q3,-0.00072096,0.00061533,3287421,17717,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,72h,3,Q4,-0.00141199,-0.00018603,3287421,17717,DIRECTION_UNKNOWN
wq101_alpha7,wq101,conditional,72h,4,Q5,-0.00113057,0.00010746,3287421,17717,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,1h,0,Q1,-5.63e-06,0.00016167,3311955,17792,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,1h,1,Q2,-2.501e-05,0.00018138,3311955,17792,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,1h,2,Q3,-1.415e-05,0.00022498,3311955,17792,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,1h,3,Q4,-2.594e-05,0.00018292,3311955,17792,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,1h,4,Q5,1.316e-05,0.00020665,3311955,17792,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,4h,0,Q1,9.126e-05,0.00056755,3311148,17789,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,4h,1,Q2,-0.00013907,0.0005343,3311148,17789,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,4h,2,Q3,-5.308e-05,0.00060958,3311148,17789,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,4h,3,Q4,-7.304e-05,0.00062303,3311148,17789,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,4h,4,Q5,-7.423e-05,0.00046786,3311148,17789,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,24h,0,Q1,0.00034349,0.00069926,3305805,17769,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,24h,1,Q2,-0.00056167,0.00065172,3305805,17769,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,24h,2,Q3,-0.00055604,0.00129967,3305805,17769,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,24h,3,Q4,-0.00051347,0.00089694,3305805,17769,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,24h,4,Q5,-2.595e-05,0.00096674,3305805,17769,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,72h,0,Q1,0.00084439,0.00105594,3293037,17721,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,72h,1,Q2,-0.00204399,-0.00142023,3293037,17721,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,72h,2,Q3,-0.00158069,-0.00094587,3293037,17721,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,72h,3,Q4,-0.00174463,-0.0007703,3293037,17721,DIRECTION_UNKNOWN
wq101_alpha8,wq101,conditional,72h,4,Q5,0.00024911,0.00078576,3293037,17721,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,1h,0,Q1,5.5e-07,0.00020162,3314914,17803,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,1h,1,Q2,-5.391e-05,0.00015421,3314914,17803,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,1h,2,Q3,-1.509e-05,0.00020561,3314914,17803,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,1h,3,Q4,-2.41e-06,0.00021487,3314914,17803,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,1h,4,Q5,1.661e-05,0.00022573,3314914,17803,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,4h,0,Q1,-5.176e-05,0.00059358,3314107,17800,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,4h,1,Q2,-0.00011346,0.00049331,3314107,17800,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,4h,2,Q3,-6.027e-05,0.00061389,3314107,17800,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,4h,3,Q4,-1.745e-05,0.00065077,3314107,17800,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,4h,4,Q5,1.7e-05,0.00052938,3314107,17800,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,24h,0,Q1,0.00010744,0.001227,3308764,17780,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,24h,1,Q2,-0.00052567,0.00089256,3308764,17780,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,24h,2,Q3,-0.00046145,0.0010904,3308764,17780,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,24h,3,Q4,-0.00040613,0.00096535,3308764,17780,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,24h,4,Q5,0.00010668,0.00099825,3308764,17780,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,72h,0,Q1,0.0002581,0.00085058,3295996,17732,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,72h,1,Q2,-0.001603,-0.00064486,3295996,17732,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,72h,2,Q3,-0.00136743,-0.0009833,3295996,17732,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,72h,3,Q4,-0.00152923,-0.00142172,3295996,17732,DIRECTION_UNKNOWN
wq101_alpha10,wq101,conditional,72h,4,Q5,0.00022044,0.0005592,3295996,17732,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,1h,0,Q1,-2.633e-05,0.00019714,3305896,17801,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,1h,1,Q2,-1.081e-05,0.00018614,3305896,17801,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,1h,2,Q3,-3.426e-05,0.00022084,3305896,17801,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,1h,3,Q4,-2.649e-05,0.00016898,3305896,17801,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,1h,4,Q5,3.587e-05,0.00024363,3305896,17801,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,4h,0,Q1,1.971e-05,0.00056382,3305098,17798,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,4h,1,Q2,-0.00012481,0.00055775,3305098,17798,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,4h,2,Q3,-6.517e-05,0.0006291,3305098,17798,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,4h,3,Q4,-6.837e-05,0.00050293,3305098,17798,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,4h,4,Q5,-1.18e-05,0.00050595,3305098,17798,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,24h,0,Q1,9.697e-05,0.00095743,3299778,17778,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,24h,1,Q2,-0.00049926,0.00116193,3299778,17778,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,24h,2,Q3,-0.00057055,0.00124194,3299778,17778,DIRECTION_UNKNOWN
wq101_alpha11,wq101,conditional,24h,3,Q4,-0.00022639,0.00143394,3299778,17778,DIRECTION_UNKNOWN
