factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
wq101_alpha14,wq101,conditional,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved","WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha15,wq101,conditional,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved","WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha16,wq101,conditional,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved","WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved",False,DIAGNOSTIC_ONLY
wq101_alpha17,wq101,conditional,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))","WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))",False,DIAGNOSTIC_ONLY
wq101_alpha18,wq101,conditional,"WorldQuant 101 Alpha#18: -rank(stddev(abs(close-open),5)+(close-open)+correlation(close,open,10))","WorldQuant 101 Alpha#18: -rank(stddev(abs(close-open),5)+(close-open)+correlation(close,open,10))",False,DIAGNOSTIC_ONLY
wq101_alpha19,wq101,conditional,"WorldQuant 101 Alpha#19: -sign((close-delay(close,7))+delta(close,7))*(1+rank(1+sum(returns,250)))","WorldQuant 101 Alpha#19: -sign((close-delay(close,7))+delta(close,7))*(1+rank(1+sum(returns,250)))",False,DIAGNOSTIC_ONLY
wq101_alpha20,wq101,conditional,"WorldQuant 101 Alpha#20: -rank(open-delay(high,1))*rank(open-delay(close,1))*rank(open-delay(low,1))","WorldQuant 101 Alpha#20: -rank(open-delay(high,1))*rank(open-delay(close,1))*rank(open-delay(low,1))",False,DIAGNOSTIC_ONLY
wq101_alpha22,wq101,conditional,"WorldQuant 101 Alpha#22: -delta(correlation(high,volume,5),5)*rank(stddev(close,20))","WorldQuant 101 Alpha#22: -delta(correlation(high,volume,5),5)*rank(stddev(close,20))",False,DIAGNOSTIC_ONLY
wq101_alpha26,wq101,conditional,"WorldQuant 101 Alpha#26: -ts_max(correlation(ts_rank(volume,5),ts_rank(high,5),5),3)","WorldQuant 101 Alpha#26: -ts_max(correlation(ts_rank(volume,5),ts_rank(high,5),5),3)",False,DIAGNOSTIC_ONLY
wq101_alpha27,wq101,conditional,"WorldQuant 101 Alpha#27: rank(mean(correlation(rank(volume),rank(vwap),6),2)) > 0.5 ? -1 : 1","WorldQuant 101 Alpha#27: rank(mean(correlation(rank(volume),rank(vwap),6),2)) > 0.5 ? -1 : 1",False,DIAGNOSTIC_ONLY
