factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha14,wq101,conditional,factor_registry,1h,0.00738388,0.00738388,8.7054,17797,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,4h,0.01205952,0.01205952,14.1821,17795,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,24h,0.01672902,0.01672902,19.5787,17775,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha14,wq101,conditional,factor_registry,72h,0.01541166,0.01541166,18.4628,17727,185.7,3304941,0.003332,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,1h,0.00144847,0.00144847,2.1217,17802,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,4h,0.00237204,0.00237204,3.4861,17800,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,24h,0.00374642,0.00374642,5.5802,17780,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,72h,0.004495,0.004495,6.7511,17732,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,1h,0.01114682,0.01114682,17.2063,17802,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,4h,0.0164169,0.0164169,25.233,17800,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
