factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_sump_20h,alpha158_rolling_direction,positive,1h,-0.02099542,-0.02099542,0.13476922,0.13476922,-0.155788,-0.155788,-0.155788,-20.7765,0.4351,0.4351,17786,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",close,21,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",6.341e-05,-2.948e-05,9.289e-05,2.5771,0.5044,0.00023245,0.93727466,0.00080525,-0.00032621,0.68,25,per_bar_mean_x_bars_per_year
q158_sump_20h,alpha158_rolling_direction,positive,4h,-0.02674994,-0.02674994,0.13967719,0.13967719,-0.191513,-0.191513,-0.191513,-25.5395,0.4169,0.4169,17784,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",close,21,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",0.00021537,-0.00018648,0.00040185,5.5111,0.5116,0.00089606,1.0135363,0.00310403,-0.00122697,0.72,25,per_bar_mean_x_bars_per_year
q158_sump_20h,alpha158_rolling_direction,positive,24h,-0.02295524,-0.02295524,0.14116978,0.14116978,-0.162607,-0.162607,-0.162607,-21.6726,0.4314,0.4314,17764,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",close,21,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",0.00102363,-0.00053262,0.00155625,8.188,0.5166,0.00487533,0.72570956,0.01688862,-0.00801228,0.68,25,per_bar_mean_x_bars_per_year
q158_sump_20h,alpha158_rolling_direction,positive,72h,-0.01428591,-0.01428591,0.13156186,0.13156186,-0.108587,-0.108587,-0.108587,-14.4531,0.4564,0.4564,17716,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",close,21,"Alpha158 SUMP20: Sum(max(close-Ref(close,1),0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); positive close-move share",0.00301613,-0.00146741,0.00448354,12.7533,0.5278,0.01003719,0.58424484,0.03476985,-0.01891758,0.68,25,per_bar_mean_x_bars_per_year
q158_sumn_20h,alpha158_rolling_direction,negative,1h,0.0206682,-0.0206682,0.13625193,0.13625193,0.151691,-0.151691,0.151691,20.2302,0.5622,0.4378,17786,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",close,21,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",6.392e-05,-3.056e-05,9.448e-05,2.6038,0.5042,0.00023089,0.95000843,0.00079984,-0.00031345,0.68,25,per_bar_mean_x_bars_per_year
q158_sumn_20h,alpha158_rolling_direction,negative,4h,0.02631445,-0.02631445,0.14126304,0.14126304,0.18628,-0.18628,0.18628,24.8416,0.5792,0.4208,17784,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",close,21,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",0.00021746,-0.00019579,0.00041325,5.6348,0.5123,0.0008844,1.03806853,0.00306363,-0.0010906,0.72,25,per_bar_mean_x_bars_per_year
q158_sumn_20h,alpha158_rolling_direction,negative,24h,0.02197589,-0.02197589,0.14247764,0.14247764,0.154241,-0.154241,0.154241,20.5575,0.562,0.438,17764,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",close,21,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",0.00111791,-0.00061626,0.00173418,9.1255,0.5198,0.00479488,0.78987882,0.01660994,-0.00792367,0.76,25,per_bar_mean_x_bars_per_year
q158_sumn_20h,alpha158_rolling_direction,negative,72h,0.01254084,-0.01254084,0.13262522,0.13262522,0.094558,-0.094558,0.094558,12.5859,0.5367,0.4633,17716,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",close,21,"Alpha158 SUMN20: Sum(max(Ref(close,1)-close,0),20)/(Sum(abs(close-Ref(close,1)),20)+eps); negative close-move share",0.00346288,-0.00191609,0.00537897,15.6346,0.5378,0.00930871,0.69001298,0.03224633,-0.0176596,0.72,25,per_bar_mean_x_bars_per_year
q158_vma_20h,alpha158_rolling_volume,conditional,1h,0.00722455,0.00722455,0.1128512,0.1128512,0.064018,0.064018,0.064018,8.538,0.5293,0.5293,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",volume,20,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",-2.11e-06,6.559e-05,-6.77e-05,-2.106,0.5026,0.00018271,-0.56106523,0.00063294,-0.00141545,0.36,25,per_bar_mean_x_bars_per_year
q158_vma_20h,alpha158_rolling_volume,conditional,4h,0.00704732,0.00704732,0.11266337,0.11266337,0.062552,0.062552,0.062552,8.342,0.5306,0.5306,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",volume,20,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",8.79e-06,0.00015094,-0.00014215,-2.2896,0.5022,0.00057375,-0.30550296,0.00198752,-0.00296915,0.44,25,per_bar_mean_x_bars_per_year
q158_vma_20h,alpha158_rolling_volume,conditional,24h,0.00420428,0.00420428,0.11041828,0.11041828,0.038076,0.038076,0.038076,5.075,0.5174,0.5174,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",volume,20,"Alpha158 VMA20: Mean(volume,20)/(volume+eps); rolling average volume normalized by current volume",0.00040865,0.00042417,-1.551e-05,-0.0978,0.511,0.00173749,-0.02404241,0.00601883,-0.00829321,0.48,25,per_bar_mean_x_bars_per_year
