factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-06,-0.0015218,-0.0015218,0.13948952,0.13948952,-0.01091,-0.01091,-0.01091,0.5064,0.5064,699,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-07,-0.01360183,-0.01360183,0.156968,0.156968,-0.086654,-0.086654,-0.086654,0.4597,0.4597,744,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-08,-0.02927395,-0.02927395,0.14669554,0.14669554,-0.199556,-0.199556,-0.199556,0.4274,0.4274,744,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-09,-0.01935918,-0.01935918,0.1477276,0.1477276,-0.131046,-0.131046,-0.131046,0.4569,0.4569,720,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-10,-0.03384958,-0.03384958,0.14602434,0.14602434,-0.231808,-0.231808,-0.231808,0.3782,0.3782,743,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-11,-0.01917337,-0.01917337,0.16476987,0.16476987,-0.116365,-0.116365,-0.116365,0.4681,0.4681,720,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2024-12,-0.0367378,-0.0367378,0.15982923,0.15982923,-0.229857,-0.229857,-0.229857,0.4194,0.4194,744,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2025-01,-0.01609515,-0.01609515,0.16380887,0.16380887,-0.098256,-0.098256,-0.098256,0.4718,0.4718,744,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2025-02,-0.01017369,-0.01017369,0.15675307,0.15675307,-0.064903,-0.064903,-0.064903,0.5,0.5,672,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2025-03,-0.02220435,-0.02220435,0.14687006,0.14687006,-0.151184,-0.151184,-0.151184,0.4368,0.4368,744,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2025-04,-0.01618734,-0.01618734,0.12838068,0.12838068,-0.126089,-0.126089,-0.126089,0.4306,0.4306,720,COMPUTED
q158_sump_20h,alpha158_rolling_direction,positive,1h,2025-05,-0.02501221,-0.02501221,0.14241155,0.14241155,-0.175633,-0.175633,-0.175633,0.4234,0.4234,744,COMPUTED
