factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
q158_kmid_open,alpha158_kbar,positive,1h,0,Q1,9.2e-05,0.00034521,3315990,17807,COMPUTED
q158_kmid_open,alpha158_kbar,positive,1h,1,Q2,-1.595e-05,0.0001545,3315990,17807,COMPUTED
q158_kmid_open,alpha158_kbar,positive,1h,2,Q3,-4.415e-05,0.00013471,3315990,17807,COMPUTED
q158_kmid_open,alpha158_kbar,positive,1h,3,Q4,-5.936e-05,0.00014252,3315990,17807,COMPUTED
q158_kmid_open,alpha158_kbar,positive,1h,4,Q5,-2.076e-05,0.00014698,3315990,17807,COMPUTED
q158_kmid_open,alpha158_kbar,positive,4h,0,Q1,0.00015104,0.00079817,3315183,17804,COMPUTED
q158_kmid_open,alpha158_kbar,positive,4h,1,Q2,-0.00013776,0.00048611,3315183,17804,COMPUTED
q158_kmid_open,alpha158_kbar,positive,4h,2,Q3,-0.00014103,0.00041519,3315183,17804,COMPUTED
q158_kmid_open,alpha158_kbar,positive,4h,3,Q4,-0.00019265,0.00044632,3315183,17804,COMPUTED
q158_kmid_open,alpha158_kbar,positive,4h,4,Q5,0.00010448,0.00057395,3315183,17804,COMPUTED
q158_kmid_open,alpha158_kbar,positive,24h,0,Q1,0.0004156,0.00105071,3309840,17784,COMPUTED
q158_kmid_open,alpha158_kbar,positive,24h,1,Q2,-0.00075627,0.00078996,3309840,17784,COMPUTED
q158_kmid_open,alpha158_kbar,positive,24h,2,Q3,-0.00082403,0.00096479,3309840,17784,COMPUTED
q158_kmid_open,alpha158_kbar,positive,24h,3,Q4,-0.00068065,0.00095943,3309840,17784,COMPUTED
q158_kmid_open,alpha158_kbar,positive,24h,4,Q5,0.00072056,0.00146513,3309840,17784,COMPUTED
q158_kmid_open,alpha158_kbar,positive,72h,0,Q1,0.00082961,0.00082356,3297072,17736,COMPUTED
q158_kmid_open,alpha158_kbar,positive,72h,1,Q2,-0.00219356,-0.00151325,3297072,17736,COMPUTED
q158_kmid_open,alpha158_kbar,positive,72h,2,Q3,-0.00264919,-0.00159822,3297072,17736,COMPUTED
q158_kmid_open,alpha158_kbar,positive,72h,3,Q4,-0.00210821,-0.00059683,3297072,17736,COMPUTED
q158_kmid_open,alpha158_kbar,positive,72h,4,Q5,0.00222851,0.00203583,3297072,17736,COMPUTED
q158_kmid_range,alpha158_kbar,positive,1h,0,Q1,7.619e-05,0.00033092,3315990,17807,COMPUTED
q158_kmid_range,alpha158_kbar,positive,1h,1,Q2,-8.66e-06,0.00022339,3315990,17807,COMPUTED
q158_kmid_range,alpha158_kbar,positive,1h,2,Q3,-1.933e-05,0.00017477,3315990,17807,COMPUTED
q158_kmid_range,alpha158_kbar,positive,1h,3,Q4,-4.129e-05,0.00015507,3315990,17807,COMPUTED
q158_kmid_range,alpha158_kbar,positive,1h,4,Q5,-5.585e-05,6.937e-05,3315990,17807,COMPUTED
q158_kmid_range,alpha158_kbar,positive,4h,0,Q1,3.226e-05,0.00075879,3315183,17804,COMPUTED
q158_kmid_range,alpha158_kbar,positive,4h,1,Q2,-7.291e-05,0.00050676,3315183,17804,COMPUTED
q158_kmid_range,alpha158_kbar,positive,4h,2,Q3,-0.00012384,0.000479,3315183,17804,COMPUTED
