factor_i,factor_j,family_i,family_j,same_family,spearman_corr,abs_spearman_corr,pearson_corr,n_pairwise_obs,redundancy_level,recommendation,pair_type
q158_kmid_open,q158_open_close_0h,alpha158_kbar,alpha158_price,False,-1.0,1.0,-0.968448,663401,NEAR_DUPLICATE,Drop one; keep the more interpretable or stable factor.,intake_vs_intake
q158_kmid_open,intraday_ret,alpha158_kbar,alpha158_ohlcv,False,1.0,1.0,1.0,663401,NEAR_DUPLICATE,NEAR_DUPLICATE with existing library factor. Likely redundant. Drop or justify unique contribution.,intake_vs_baseline
q158_open_close_0h,intraday_ret,alpha158_price,alpha158_ohlcv,False,-1.0,1.0,-0.968448,663401,NEAR_DUPLICATE,NEAR_DUPLICATE with existing library factor. Likely redundant. Drop or justify unique contribution.,intake_vs_baseline
q158_kmid_range,candle_body,alpha158_kbar,intraday_candle,False,0.999999,0.999999,0.999997,663401,NEAR_DUPLICATE,NEAR_DUPLICATE with existing library factor. Likely redundant. Drop or justify unique contribution.,intake_vs_baseline
q158_klow_range,candle_wick_lower,alpha158_kbar,intraday_candle,False,0.999998,0.999998,0.999987,663401,NEAR_DUPLICATE,NEAR_DUPLICATE with existing library factor. Likely redundant. Drop or justify unique contribution.,intake_vs_baseline
q158_kup_range,candle_wick_upper,alpha158_kbar,intraday_candle,False,0.999998,0.999998,0.999985,663401,NEAR_DUPLICATE,NEAR_DUPLICATE with existing library factor. Likely redundant. Drop or justify unique contribution.,intake_vs_baseline
q158_open_close_0h,candle_body,alpha158_price,intraday_candle,False,-0.948557,0.948557,-0.679437,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_kmid_open,candle_body,alpha158_kbar,intraday_candle,False,0.948557,0.948557,0.674993,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_kmid_open,q158_kmid_range,alpha158_kbar,alpha158_kbar,True,0.948543,0.948543,0.674945,663401,HIGH_REDUNDANCY,Same-family high redundancy. Consider dropping the weaker factor.,intake_vs_intake
q158_kmid_range,intraday_ret,alpha158_kbar,alpha158_ohlcv,False,0.948543,0.948543,0.674945,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_kmid_range,q158_open_close_0h,alpha158_kbar,alpha158_price,False,-0.948543,0.948543,-0.679389,663401,HIGH_REDUNDANCY,Cross-family high redundancy. Investigate shared signal source.,intake_vs_intake
q158_kmid_range,wq101_alpha101,alpha158_kbar,wq101,False,0.928726,0.928726,0.899476,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_kmid_open,wq101_alpha101,alpha158_kbar,wq101,False,0.910569,0.910569,0.653152,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_open_close_0h,wq101_alpha101,alpha158_price,wq101,False,-0.910569,0.910569,-0.657368,663401,HIGH_REDUNDANCY,REDUNDANT_WITH_EXISTING. High correlation with existing library factor.,intake_vs_baseline
q158_kmid_range,q158_ksft_range,alpha158_kbar,alpha158_kbar,True,0.82258,0.82258,0.823783,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_open_close_0h,q158_ksft_open,alpha158_price,alpha158_kbar,False,-0.816066,0.816066,-0.84734,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_kmid_open,q158_ksft_open,alpha158_kbar,alpha158_kbar,True,0.816066,0.816066,0.865591,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_kmid_range,q158_ksft_open,alpha158_kbar,alpha158_kbar,True,0.802526,0.802526,0.597447,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_kup_range,q158_kup_open,alpha158_kbar,alpha158_kbar,True,0.788306,0.788306,0.473225,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_open_close_0h,q158_ksft_range,alpha158_price,alpha158_kbar,False,-0.77001,0.77001,-0.550927,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
q158_kmid_open,q158_ksft_range,alpha158_kbar,alpha158_kbar,True,0.77001,0.77001,0.546945,663401,MODERATE_REDUNDANCY,Monitor. May provide diversification if combined carefully.,intake_vs_baseline
