factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_ma_5h,alpha158_rolling_price,conditional,1h,0.03832213,0.03832213,0.16316051,0.16316051,0.234874,0.234874,0.234874,31.3378,0.6045,0.6045,17802,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",close,5,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",4.739e-05,2.034e-05,2.705e-05,0.6505,0.5125,0.00031813,0.28607287,0.00110203,-0.00109001,0.48,25,per_bar_mean_x_bars_per_year
q158_ma_5h,alpha158_rolling_price,conditional,4h,0.03451146,0.03451146,0.16064568,0.16064568,0.21483,0.21483,0.21483,28.6619,0.5934,0.5934,17800,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",close,5,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",6.564e-05,0.00016241,-9.677e-05,-1.1976,0.5044,0.0008819,-0.20264417,0.00305501,-0.00583742,0.48,25,per_bar_mean_x_bars_per_year
q158_ma_5h,alpha158_rolling_price,conditional,24h,0.01716534,0.01716534,0.15810254,0.15810254,0.108571,0.108571,0.108571,14.477,0.5449,0.5449,17780,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",close,5,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",0.00010726,0.0009901,-0.00088284,-4.4936,0.4909,0.00212429,-0.38566351,0.00735877,-0.02681901,0.28,25,per_bar_mean_x_bars_per_year
q158_ma_5h,alpha158_rolling_price,conditional,72h,0.00709706,0.00709706,0.14995844,0.14995844,0.047327,0.047327,0.047327,6.3021,0.52,0.52,17732,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",close,5,"Alpha158 MA5: Mean(close,5) / close; 1h adaptation of short rolling average normalized by current close",0.00033425,0.00279992,-0.00246568,-6.7399,0.4857,0.00527048,-0.31694659,0.01825746,-0.06259844,0.36,25,per_bar_mean_x_bars_per_year
q158_std_5h,alpha158_rolling_price,negative,1h,-0.03031525,0.03031525,0.18823282,0.18823282,-0.161052,0.161052,-0.161052,-21.4882,0.4239,0.5761,17802,186.2,3315195,0.000321,False,COMPUTED,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",close,5,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",-1.279e-05,6.147e-05,-7.427e-05,-1.6692,0.503,0.0002544,-0.71025161,0.00088125,-0.00285534,0.32,25,per_bar_mean_x_bars_per_year
q158_std_5h,alpha158_rolling_price,negative,4h,-0.04414322,0.04414322,0.18605497,0.18605497,-0.237259,0.237259,-0.237259,-31.6543,0.3896,0.6104,17800,186.2,3315195,0.000321,False,COMPUTED,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",close,5,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",-5.747e-05,0.00025783,-0.00031531,-3.5895,0.5003,0.00100597,-0.72506262,0.00348478,-0.01097205,0.32,25,per_bar_mean_x_bars_per_year
q158_std_5h,alpha158_rolling_price,negative,24h,-0.06530155,0.06530155,0.18284698,0.18284698,-0.357138,0.357138,-0.357138,-47.6213,0.3408,0.6591,17780,186.2,3315195,0.000321,False,COMPUTED,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",close,5,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",-0.00037428,0.00146262,-0.0018369,-8.285,0.5135,0.00489594,-0.68179359,0.01696004,-0.05922874,0.36,25,per_bar_mean_x_bars_per_year
q158_std_5h,alpha158_rolling_price,negative,72h,-0.07462375,0.07462375,0.17522092,0.17522092,-0.425884,0.425884,-0.425884,-56.7113,0.318,0.6819,17732,186.2,3315195,0.000321,False,COMPUTED,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",close,5,"Alpha158 STD5: Std(close,5) / close; short rolling close dispersion normalized by current close",-0.000912,0.00390609,-0.00481809,-11.726,0.5024,0.01497113,-0.58193493,0.05186152,-0.15279928,0.36,25,per_bar_mean_x_bars_per_year
q158_max_5h,alpha158_rolling_price,conditional,1h,-0.00147822,-0.00147822,0.18172279,0.18172279,-0.008134,-0.008134,-0.008134,-1.0853,0.4969,0.4969,17802,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MAX5: Max(high,5) / close; short rolling high normalized by current close",high|close,5,"Alpha158 MAX5: Max(high,5) / close; short rolling high normalized by current close",4.442e-05,-5.931e-05,0.00010373,2.4204,0.5057,0.00031068,0.98950469,0.00107622,-0.00102535,0.64,25,per_bar_mean_x_bars_per_year
q158_max_5h,alpha158_rolling_price,conditional,4h,-0.01618221,-0.01618221,0.1791009,0.1791009,-0.090352,-0.090352,-0.090352,-12.0545,0.4547,0.4547,17800,186.2,3315195,0.000321,False,DIRECTION_UNKNOWN,"Alpha158 MAX5: Max(high,5) / close; short rolling high normalized by current close",high|close,5,"Alpha158 MAX5: Max(high,5) / close; short rolling high normalized by current close",0.00016456,-6.044e-05,0.00022501,2.6417,0.5008,0.00098349,0.53888792,0.00340692,-0.00403799,0.6,25,per_bar_mean_x_bars_per_year
