factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
q158_cntp_30h,alpha158_rolling_direction,positive,factor_registry,1h,-0.00664493,-0.00664493,-7.951,17776,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTP30: Mean(close > Ref(close,1),30); fraction of up bars over the past 30 one-hour bars"
q158_cntp_30h,alpha158_rolling_direction,positive,factor_registry,4h,-0.00808276,-0.00808276,-9.408,17774,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTP30: Mean(close > Ref(close,1),30); fraction of up bars over the past 30 one-hour bars"
q158_cntp_30h,alpha158_rolling_direction,positive,factor_registry,24h,-0.00188082,-0.00188082,-2.1425,17754,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTP30: Mean(close > Ref(close,1),30); fraction of up bars over the past 30 one-hour bars"
q158_cntp_30h,alpha158_rolling_direction,positive,factor_registry,72h,-0.00019425,-0.00019425,-0.2295,17706,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTP30: Mean(close > Ref(close,1),30); fraction of up bars over the past 30 one-hour bars"
q158_cntn_30h,alpha158_rolling_direction,negative,factor_registry,1h,0.00453369,-0.00453369,5.2464,17776,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTN30: Mean(close < Ref(close,1),30); fraction of down bars over the past 30 one-hour bars"
q158_cntn_30h,alpha158_rolling_direction,negative,factor_registry,4h,0.00547124,-0.00547124,6.1717,17774,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTN30: Mean(close < Ref(close,1),30); fraction of down bars over the past 30 one-hour bars"
q158_cntn_30h,alpha158_rolling_direction,negative,factor_registry,24h,-0.00139154,0.00139154,-1.5402,17754,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTN30: Mean(close < Ref(close,1),30); fraction of down bars over the past 30 one-hour bars"
q158_cntn_30h,alpha158_rolling_direction,negative,factor_registry,72h,-0.00382419,0.00382419,-4.4417,17706,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTN30: Mean(close < Ref(close,1),30); fraction of down bars over the past 30 one-hour bars"
q158_sumd_30h,alpha158_rolling_direction,positive,factor_registry,1h,-0.01821159,-0.01821159,-17.6519,17776,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 SUMD30: (Sum(up moves,30)-Sum(down moves,30))/(Sum(abs moves,30)+eps); signed move dominance"
q158_sumd_30h,alpha158_rolling_direction,positive,factor_registry,4h,-0.02468136,-0.02468136,-23.0086,17774,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 SUMD30: (Sum(up moves,30)-Sum(down moves,30))/(Sum(abs moves,30)+eps); signed move dominance"
q158_sumd_30h,alpha158_rolling_direction,positive,factor_registry,24h,-0.02464156,-0.02464156,-22.8054,17754,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 SUMD30: (Sum(up moves,30)-Sum(down moves,30))/(Sum(abs moves,30)+eps); signed move dominance"
q158_sumd_30h,alpha158_rolling_direction,positive,factor_registry,72h,-0.01570142,-0.01570142,-15.5223,17706,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 SUMD30: (Sum(up moves,30)-Sum(down moves,30))/(Sum(abs moves,30)+eps); signed move dominance"
q158_cntd_30h,alpha158_rolling_direction,positive,factor_registry,1h,-0.00595826,-0.00595826,-6.9031,17776,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTD30: Mean(close > Ref(close,1),30) - Mean(close < Ref(close,1),30); signed up/down bar balance"
q158_cntd_30h,alpha158_rolling_direction,positive,factor_registry,4h,-0.00725361,-0.00725361,-8.1895,17774,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTD30: Mean(close > Ref(close,1),30) - Mean(close < Ref(close,1),30); signed up/down bar balance"
q158_cntd_30h,alpha158_rolling_direction,positive,factor_registry,24h,-0.00059536,-0.00059536,-0.6593,17754,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTD30: Mean(close > Ref(close,1),30) - Mean(close < Ref(close,1),30); signed up/down bar balance"
q158_cntd_30h,alpha158_rolling_direction,positive,factor_registry,72h,0.00157491,0.00157491,1.8194,17706,186.1,3308279,0.002406,False,COMPUTED,"Alpha158 CNTD30: Mean(close > Ref(close,1),30) - Mean(close < Ref(close,1),30); signed up/down bar balance"
