factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
mom_72h,momentum,positive,False,COMPUTED,4,4,24h,-0.01583241
mom_120h,momentum,positive,False,COMPUTED,4,4,24h,-0.01190786
rev_1h,reversal,positive,False,COMPUTED,4,4,1h,0.03650558
rev_72h,reversal,positive,False,COMPUTED,4,4,24h,0.03093993
vol_ratio_20_80,volatility,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.00758088
realized_skew_20h,realized_shape,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.01181661
realized_kurt_20h,realized_shape,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.00382706
amihud_illiquidity_20h,liquidity,negative,False,COMPUTED,4,4,72h,-0.00434491
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.00419661
price_volume_corr_20h,volume_price,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.02173599
trend_efficiency_24h,trend_quality,positive,False,COMPUTED,4,4,72h,-0.00109483
price_pos_120h,price_position,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00347955
