factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
wq101_alpha14,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.01672902
wq101_alpha15,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.004495
wq101_alpha16,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.02371484
wq101_alpha17,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.02133886
wq101_alpha18,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,-0.00073965
wq101_alpha19,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.01692581
wq101_alpha20,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.01809815
wq101_alpha22,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.00424363
wq101_alpha26,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.02642808
wq101_alpha27,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.02407085
